County                        Registered Voters             Ballots Cast                  Voter Turnout                 
94231                         25                            13                            0                             13                            2                             0                             2                             15                            
94232                         9                             5                             0                             5                             1                             0                             1                             6                             
94233                         5                             0                             0                             0                             3                             0                             3                             3                             
94234                         139                           51                            0                             51                            14                            0                             14                            65                            
94235                         7                             3                             0                             3                             0                             0                             0                             3                             
94236                         12                            0                             0                             0                             3                             0                             3                             3                             
94237                         108                           36                            0                             36                            11                            0                             11                            47                            
94238                         132                           47                            0                             47                            18                            0                             18                            65                            
94239                         77                            20                            0                             20                            9                             0                             9                             29                            
94240                         67                            17                            0                             17                            5                             0                             5                             22                            
94241                         126                           65                            0                             65                            23                            0                             23                            88                            
94242                         41                            11                            0                             11                            8                             0                             8                             19                            
94243                         235                           96                            0                             96                            24                            0                             24                            120                           
94244                         89                            42                            0                             42                            5                             0                             5                             47                            
94245                         134                           46                            0                             46                            14                            0                             14                            60                            
94246                         78                            24                            0                             24                            15                            0                             15                            39                            
94247                         27                            2                             0                             2                             1                             0                             1                             3                             
95248                         53                            25                            0                             25                            9                             0                             9                             34                            
95249                         4                             4                             0                             4                             0                             0                             0                             4                             
95250                         13                            8                             0                             8                             0                             0                             0                             8                             
95251                         191                           68                            0                             68                            24                            0                             24                            92                            
95252                         40                            14                            0                             14                            6                             0                             6                             20                            
95253                         0                             0                             0                             0                             0                             0                             0                             0                             
95254                         198                           32                            0                             32                            39                            0                             39                            71                            
95255                         177                           38                            0                             38                            31                            0                             31                            69                            
95256                         88                            14                            0                             14                            10                            0                             10                            24                            
95257                         150                           63                            0                             63                            13                            0                             13                            76                            
95258                         9                             2                             0                             2                             1                             0                             1                             3                             
95259                         0                             0                             0                             0                             0                             0                             0                             0                             
95260                         232                           79                            0                             79                            22                            0                             22                            101                           
95261                         3                             0                             0                             0                             1                             0                             1                             1                             
95262                         7                             3                             0                             3                             2                             0                             2                             5                             
95263                         1                             0                             0                             0                             0                             0                             0                             0                             
95264                         16                            9                             0                             9                             0                             0                             0                             9                             
95265                         176                           63                            0                             63                            18                            0                             18                            81                            
95266                         18                            8                             0                             8                             2                             0                             2                             10                            
95267                         11                            1                             0                             1                             0                             0                             0                             1                             
95268                         0                             0                             0                             0                             0                             0                             0                             0                             
95269                         256                           41                            0                             41                            57                            0                             57                            98                            
Totals:                       104477                        21075                         5502                          26577                         14410                         3064                          17474                         44051                         

                                                                                                           Measure J - Merced Community College - 55% Vote Required (Vote For 1)
                                                            Bonds No                                                                                  Bonds Yes                                                                                 
County                        Registered Voters             Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Total                         
01001                         738                           64                            32                            96                            97                            26                            123                           219                           
01002                         969                           92                            26                            118                           144                           36                            180                           298                           
01003                         1089                          105                           36                            141                           169                           55                            224                           365                           
01004                         689                           73                            27                            100                           94                            29                            123                           223                           
01005                         1559                          183                           37                            220                           239                           52                            291                           511                           
01006                         1130                          83                            21                            104                           178                           58                            236                           340                           
01007                         685                           45                            22                            67                            118                           24                            142                           209                           
01008                         974                           86                            24                            110                           180                           24                            204                           314                           
01009                         544                           33                            10                            43                            90                            6                             96                            139                           
01010                         954                           50                            12                            62                            124                           35                            159                           221                           
01011                         485                           33                            6                             39                            70                            10                            80                            119                           
01012                         429                           47                            17                            64                            63                            12                            75                            139                           
01013                         467                           56                            19                            75                            57                            8                             65                            140                           
01014                         297                           50                            9                             59                            36                            5                             41                            100                           
01015                         605                           83                            27                            110                           108                           37                            145                           255                           
01016                         672                           87                            32                            119                           105                           34                            139                           258                           
01017                         386                           129                           30                            159                           31                            4                             35                            194                           
02018                         509                           135                           36                            171                           100                           52                            152                           323                           
02019                         404                           139                           33                            172                           65                            16                            81                            253                           
02020                         391                           113                           49                            162                           66                            22                            88                            250                           
02021                         589                           106                           51                            157                           98                            28                            126                           283                           
02022                         330                           61                            24                            85                            54                            15                            69                            154                           
02023                         478                           106                           42                            148                           103                           21                            124                           272                           
02024                         407                           37                            16                            53                            61                            23                            84                            137                           
02025                         1069                          167                           76                            243                           185                           57                            242                           485                           
02026                         508                           97                            61                            158                           76                            29                            105                           263                           
02027                         830                           148                           69                            217                           161                           44                            205                           422                           
02028                         375                           61                            17                            78                            82                            15                            97                            175                           
02029                         735                           84                            18                            102                           146                           36                            182                           284                           
02030                         899                           168                           46                            214                           150                           44                            194                           408                           
02031                         652                           118                           34                            152                           137                           11                            148                           300                           
02032                         754                           111                           44                            155                           108                           31                            139                           294                           
02033                         576                           78                            29                            107                           95                            31                            126                           233                           
02034                         922                           84                            24                            108                           126                           18                            144                           252                           
02035                         367                           48                            8                             56                            64                            13                            77                            133                           
02036                         666                           120                           52                            172                           136                           34                            170                           342                           
02037                         806                           154                           55                            209                           143                           21                            164                           373                           
02038                         302                           63                            47                            110                           53                            22                            75                            185                           
02039                         556                           96                            34                            130                           92                            33                            125                           255                           
02040                         413                           80                            24                            104                           65                            14                            79                            183                           
02041                         939                           199                           52                            251                           219                           46                            265                           516                           
02042                         873                           200                           61                            261                           168                           66                            234                           495                           
02043                         900                           189                           87                            276                           141                           35                            176                           452                           
02044                         305                           17                            3                             20                            70                            12                            82                            102                           
02045                         819                           98                            29                            127                           146                           28                            174                           301                           
02046                         599                           90                            46                            136                           144                           28                            172                           308                           
02047                         1599                          196                           57                            253                           379                           75                            454                           707                           
02048                         531                           149                           43                            192                           97                            24                            121                           313                           
02049                         378                           38                            8                             46                            61                            14                            75                            121                           
02050                         288                           60                            10                            70                            49                            1                             50                            120                           
02051                         703                           148                           59                            207                           152                           38                            190                           397                           
02052                         631                           118                           44                            162                           153                           29                            182                           344                           
02053                         269                           57                            11                            68                            43                            22                            65                            133                           
02054                         374                           127                           34                            161                           72                            18                            90                            251                           
02055                         435                           131                           50                            181                           71                            24                            95                            276                           
02056                         271                           66                            5                             71                            385                           60                            445                           516                           
03057                         1185                          149                           56                            205                           149                           37                            186                           391                           
03058                         881                           101                           42                            143                           140                           27                            167                           310                           
03059                         1152                          203                           84                            287                           134                           51                            185                           472                           
03060                         828                           149                           45                            194                           122                           21                            143                           337                           
03061                         1410                          248                           61                            309                           202                           48                            250                           559                           
03062                         1111                          149                           63                            212                           133                           32                            165                           377                           
03063                         503                           92                            25                            117                           81                            15                            96                            213                           
03064                         1063                          238                           131                           369                           109                           63                            172                           541                           
03065                         934                           232                           72                            304                           135                           46                            181                           485                           
03066                         871                           150                           45                            195                           93                            18                            111                           306                           
03067                         565                           97                            31                            128                           168                           12                            180                           308                           
03068                         1000                          132                           31                            163                           190                           26                            216                           379                           
03069                         441                           88                            24                            112                           49                            12                            61                            173                           
03070                         844                           284                           66                            350                           87                            30                            117                           467                           
03071                         338                           58                            22                            80                            50                            8                             58                            138                           
03072                         1025                          126                           45                            171                           137                           46                            183                           354                           
03073                         1080                          115                           33                            148                           122                           28                            150                           298                           
03074                         956                           294                           72                            366                           137                           30                            167                           533                           
03075                         675                           202                           56                            258                           67                            21                            88                            346                           
03076                         326                           110                           29                            139                           31                            7                             38                            177                           
03077                         1222                          81                            24                            105                           228                           38                            266                           371                           
03078                         1125                          205                           60                            265                           182                           63                            245                           510                           
03079                         923                           126                           27                            153                           150                           31                            181                           334                           
03080                         738                           71                            16                            87                            137                           20                            157                           244                           
03081                         620                           124                           44                            168                           85                            23                            108                           276                           
04082                         299                           74                            33                            107                           35                            11                            46                            153                           
04083                         454                           91                            43                            134                           59                            10                            69                            203                           
04084                         369                           102                           42                            144                           41                            15                            56                            200                           
04085                         327                           51                            9                             60                            48                            11                            59                            119                           
04086                         593                           97                            36                            133                           88                            28                            116                           249                           
04087                         1344                          153                           52                            205                           180                           66                            246                           451                           
04088                         1507                          175                           57                            232                           193                           62                            255                           487                           
04089                         448                           155                           32                            187                           88                            12                            100                           287                           
04098                         270                           67                            37                            104                           52                            9                             61                            165                           
04100                         344                           112                           38                            150                           29                            12                            41                            191                           
04101                         974                           106                           48                            154                           125                           50                            175                           329                           
04102                         1193                          111                           32                            143                           159                           31                            190                           333                           
04103                         983                           89                            36                            125                           126                           45                            171                           296                           
05104                         546                           168                           25                            193                           71                            12                            83                            276                           
05105                         1015                          150                           59                            209                           153                           52                            205                           414                           
05106                         1065                          208                           54                            262                           149                           37                            186                           448                           
05107                         768                           115                           37                            152                           111                           24                            135                           287                           
05108                         1108                          159                           55                            214                           161                           42                            203                           417                           
05109                         927                           163                           48                            211                           165                           24                            189                           400                           
05110                         838                           212                           48                            260                           118                           24                            142                           402                           
05111                         1082                          159                           31                            190                           154                           29                            183                           373                           
05112                         476                           88                            22                            110                           60                            24                            84                            194                           
05113                         1213                          208                           30                            238                           224                           30                            254                           492                           
05114                         540                           227                           49                            276                           65                            11                            76                            352                           
05115                         1276                          185                           55                            240                           218                           35                            253                           493                           
05116                         1115                          119                           36                            155                           163                           33                            196                           351                           
05117                         1265                          163                           41                            204                           181                           48                            229                           433                           
05118                         1620                          175                           40                            215                           261                           50                            311                           526                           
05119                         925                           161                           78                            239                           124                           46                            170                           409                           
05120                         897                           104                           18                            122                           136                           26                            162                           284                           
05121                         617                           67                            23                            90                            75                            13                            88                            178                           
05122                         451                           42                            7                             49                            62                            10                            72                            121                           
05123                         301                           44                            13                            57                            50                            6                             56                            113                           
05124                         369                           30                            3                             33                            45                            7                             52                            85                            
05125                         423                           91                            34                            125                           40                            8                             48                            173                           
05127                         506                           131                           48                            179                           38                            14                            52                            231                           
91128                         12                            2                             0                             2                             0                             0                             0                             2                             
91129                         34                            1                             0                             1                             6                             0                             6                             7                             
91130                         106                           10                            0                             10                            9                             0                             9                             19                            
91131                         10                            3                             0                             3                             2                             0                             2                             5                             
91132                         5                             2                             0                             2                             1                             0                             1                             3                             
91133                         149                           54                            0                             54                            33                            0                             33                            87                            
