Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
0000247,,,,0000247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,22,980,,Polling,0,0.00%,0,0.00%,1,4.55%,,1,4.55%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,16,72.73%,0,0.00%,0,0.00%,0,0.00%,1,4.55%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,9.09%,1,4.55%,0,0.00%,0,0.00%,22,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,148,980,,Vote by Mail,1,0.74%,0,0.00%,4,2.94%,,0,0.00%,0,0.00%,,1,0.74%,0,0.00%,4,2.94%,34,25.00%,0,0.00%,13,9.56%,0,0.00%,0,0.00%,26,19.12%,1,0.74%,0,0.00%,3,2.21%,49,36.03%,0,0.00%,0,0.00%,0,0.00%,136,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,170,980,,Total,1,0.63%,0,0.00%,5,3.16%,,1,0.63%,0,0.00%,,1,0.63%,0,0.00%,4,2.53%,50,31.65%,0,0.00%,13,8.23%,0,0.00%,1,0.63%,26,16.46%,1,0.63%,0,0.00%,3,1.90%,51,32.28%,1,0.63%,0,0.00%,0,0.00%,158,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000248,,,,0000248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,2,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,2,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,2,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000249,,,,0000249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,6,305,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,4,66.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,43,305,,Vote by Mail,0,0.00%,0,0.00%,4,9.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,4.88%,18,43.90%,1,2.44%,4,9.76%,0,0.00%,0,0.00%,1,2.44%,0,0.00%,0,0.00%,2,4.88%,7,17.07%,2,4.88%,0,0.00%,0,0.00%,41,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,49,305,,Total,0,0.00%,0,0.00%,4,8.51%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,4.26%,22,46.81%,1,2.13%,4,8.51%,0,0.00%,0,0.00%,2,4.26%,0,0.00%,0,0.00%,2,4.26%,8,17.02%,2,4.26%,0,0.00%,0,0.00%,47,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000250,,,,0000250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,4,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,4,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,4,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000251,,,,0000251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,155,"2,407",,Polling,0,0.00%,0,0.00%,5,3.25%,,0,0.00%,0,0.00%,,0,0.00%,1,0.65%,1,0.65%,90,58.44%,0,0.00%,4,2.60%,0,0.00%,1,0.65%,12,7.79%,0,0.00%,0,0.00%,1,0.65%,37,24.03%,1,0.65%,1,0.65%,0,0.00%,154,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,370,"2,407",,Vote by Mail,2,0.55%,0,0.00%,10,2.75%,,0,0.00%,3,0.83%,,0,0.00%,0,0.00%,0,0.00%,163,44.90%,0,0.00%,25,6.89%,0,0.00%,0,0.00%,52,14.33%,0,0.00%,0,0.00%,6,1.65%,102,28.10%,0,0.00%,0,0.00%,0,0.00%,363,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,525,"2,407",,Total,2,0.39%,0,0.00%,15,2.90%,,0,0.00%,3,0.58%,,0,0.00%,1,0.19%,1,0.19%,253,48.94%,0,0.00%,29,5.61%,0,0.00%,1,0.19%,64,12.38%,0,0.00%,0,0.00%,7,1.35%,139,26.89%,1,0.19%,1,0.19%,0,0.00%,517,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000252,,,,0000252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,78,"1,925",,Polling,0,0.00%,0,0.00%,2,2.63%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,32,42.11%,0,0.00%,1,1.32%,0,0.00%,0,0.00%,4,5.26%,0,0.00%,0,0.00%,1,1.32%,36,47.37%,0,0.00%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,305,"1,925",,Vote by Mail,0,0.00%,0,0.00%,25,8.59%,,0,0.00%,3,1.03%,,1,0.34%,0,0.00%,7,2.41%,78,26.80%,0,0.00%,25,8.59%,0,0.00%,0,0.00%,47,16.15%,1,0.34%,0,0.00%,17,5.84%,84,28.87%,2,0.69%,1,0.34%,0,0.00%,291,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,383,"1,925",,Total,0,0.00%,0,0.00%,27,7.36%,,0,0.00%,3,0.82%,,1,0.27%,0,0.00%,7,1.91%,110,29.97%,0,0.00%,26,7.08%,0,0.00%,0,0.00%,51,13.90%,1,0.27%,0,0.00%,18,4.90%,120,32.70%,2,0.54%,1,0.27%,0,0.00%,367,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000253,,,,0000253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,86,"2,052",,Polling,1,1.18%,0,0.00%,5,5.88%,,0,0.00%,0,0.00%,,1,1.18%,1,1.18%,0,0.00%,48,56.47%,0,0.00%,2,2.35%,0,0.00%,0,0.00%,6,7.06%,0,0.00%,0,0.00%,0,0.00%,21,24.71%,0,0.00%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,354,"2,052",,Vote by Mail,0,0.00%,0,0.00%,18,5.31%,,0,0.00%,1,0.29%,,0,0.00%,1,0.29%,7,2.06%,115,33.92%,1,0.29%,26,7.67%,0,0.00%,0,0.00%,49,14.45%,0,0.00%,0,0.00%,12,3.54%,103,30.38%,6,1.77%,0,0.00%,0,0.00%,339,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,440,"2,052",,Total,1,0.24%,0,0.00%,23,5.42%,,0,0.00%,1,0.24%,,1,0.24%,2,0.47%,7,1.65%,163,38.44%,1,0.24%,28,6.60%,0,0.00%,0,0.00%,55,12.97%,0,0.00%,0,0.00%,12,2.83%,124,29.25%,6,1.42%,0,0.00%,0,0.00%,424,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000254,,,,0000254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,93,"2,224",,Polling,0,0.00%,0,0.00%,3,3.26%,,0,0.00%,1,1.09%,,0,0.00%,0,0.00%,0,0.00%,61,66.30%,0,0.00%,1,1.09%,0,0.00%,1,1.09%,6,6.52%,0,0.00%,1,1.09%,1,1.09%,17,18.48%,0,0.00%,0,0.00%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,350,"2,224",,Vote by Mail,2,0.60%,0,0.00%,14,4.17%,,0,0.00%,4,1.19%,,1,0.30%,0,0.00%,0,0.00%,128,38.10%,0,0.00%,28,8.33%,0,0.00%,2,0.60%,55,16.37%,0,0.00%,0,0.00%,12,3.57%,90,26.79%,0,0.00%,0,0.00%,0,0.00%,336,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,443,"2,224",,Total,2,0.47%,0,0.00%,17,3.97%,,0,0.00%,5,1.17%,,1,0.23%,0,0.00%,0,0.00%,189,44.16%,0,0.00%,29,6.78%,0,0.00%,3,0.70%,61,14.25%,0,0.00%,1,0.23%,13,3.04%,107,25.00%,0,0.00%,0,0.00%,0,0.00%,428,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000255,,,,0000255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,67,"1,564",,Polling,1,1.56%,0,0.00%,3,4.69%,,0,0.00%,0,0.00%,,0,0.00%,1,1.56%,0,0.00%,19,29.69%,0,0.00%,1,1.56%,0,0.00%,0,0.00%,7,10.94%,0,0.00%,0,0.00%,0,0.00%,32,50.00%,0,0.00%,0,0.00%,0,0.00%,64,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,280,"1,564",,Vote by Mail,4,1.49%,0,0.00%,19,7.09%,,0,0.00%,1,0.37%,,0,0.00%,0,0.00%,0,0.00%,80,29.85%,0,0.00%,25,9.33%,0,0.00%,0,0.00%,37,13.81%,0,0.00%,0,0.00%,9,3.36%,89,33.21%,4,1.49%,0,0.00%,0,0.00%,268,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,347,"1,564",,Total,5,1.51%,0,0.00%,22,6.63%,,0,0.00%,1,0.30%,,0,0.00%,1,0.30%,0,0.00%,99,29.82%,0,0.00%,26,7.83%,0,0.00%,0,0.00%,44,13.25%,0,0.00%,0,0.00%,9,2.71%,121,36.45%,4,1.20%,0,0.00%,0,0.00%,332,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000256,,,,0000256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,62,"1,607",,Polling,0,0.00%,0,0.00%,6,10.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,23,38.33%,0,0.00%,1,1.67%,0,0.00%,1,1.67%,8,13.33%,0,0.00%,0,0.00%,0,0.00%,21,35.00%,0,0.00%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,274,"1,607",,Vote by Mail,0,0.00%,1,0.37%,22,8.18%,,1,0.37%,3,1.12%,,0,0.00%,0,0.00%,6,2.23%,74,27.51%,0,0.00%,19,7.06%,0,0.00%,1,0.37%,39,14.50%,0,0.00%,0,0.00%,6,2.23%,95,35.32%,1,0.37%,1,0.37%,0,0.00%,269,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,336,"1,607",,Total,0,0.00%,1,0.30%,28,8.51%,,1,0.30%,3,0.91%,,0,0.00%,0,0.00%,6,1.82%,97,29.48%,0,0.00%,20,6.08%,0,0.00%,2,0.61%,47,14.29%,0,0.00%,0,0.00%,6,1.82%,116,35.26%,1,0.30%,1,0.30%,0,0.00%,329,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000257,,,,0000257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,79,"1,650",,Polling,0,0.00%,0,0.00%,13,16.67%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,30,38.46%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,8.97%,0,0.00%,0,0.00%,0,0.00%,28,35.90%,0,0.00%,0,0.00%,0,0.00%,78,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,410,"1,650",,Vote by Mail,0,0.00%,0,0.00%,52,13.16%,,1,0.25%,4,1.01%,,1,0.25%,0,0.00%,14,3.54%,112,28.35%,0,0.00%,13,3.29%,0,0.00%,0,0.00%,42,10.63%,0,0.00%,1,0.25%,40,10.13%,112,28.35%,2,0.51%,1,0.25%,0,0.00%,395,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,489,"1,650",,Total,0,0.00%,0,0.00%,65,13.74%,,1,0.21%,4,0.85%,,1,0.21%,0,0.00%,14,2.96%,142,30.02%,0,0.00%,13,2.75%,0,0.00%,0,0.00%,49,10.36%,0,0.00%,1,0.21%,40,8.46%,140,29.60%,2,0.42%,1,0.21%,0,0.00%,473,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000258,,,,0000258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,58,"1,602",,Polling,0,0.00%,0,0.00%,7,12.07%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,20,34.48%,0,0.00%,1,1.72%,0,0.00%,0,0.00%,4,6.90%,0,0.00%,0,0.00%,0,0.00%,26,44.83%,0,0.00%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,337,"1,602",,Vote by Mail,0,0.00%,0,0.00%,49,14.80%,,0,0.00%,5,1.51%,,0,0.00%,0,0.00%,22,6.65%,88,26.59%,0,0.00%,12,3.63%,0,0.00%,0,0.00%,42,12.69%,0,0.00%,0,0.00%,26,7.85%,85,25.68%,2,0.60%,0,0.00%,0,0.00%,331,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,395,"1,602",,Total,0,0.00%,0,0.00%,56,14.40%,,0,0.00%,5,1.29%,,0,0.00%,0,0.00%,22,5.66%,108,27.76%,0,0.00%,13,3.34%,0,0.00%,0,0.00%,46,11.83%,0,0.00%,0,0.00%,26,6.68%,111,28.53%,2,0.51%,0,0.00%,0,0.00%,389,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000259,,,,0000259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,13,322,,Polling,0,0.00%,0,0.00%,3,23.08%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,5,38.46%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,23.08%,0,0.00%,0,0.00%,0,0.00%,2,15.38%,0,0.00%,0,0.00%,0,0.00%,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,73,322,,Vote by Mail,1,1.39%,1,1.39%,13,18.06%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,2.78%,27,37.50%,0,0.00%,1,1.39%,0,0.00%,0,0.00%,7,9.72%,0,0.00%,0,0.00%,4,5.56%,16,22.22%,0,0.00%,0,0.00%,0,0.00%,72,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,86,322,,Total,1,1.18%,1,1.18%,16,18.82%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,2.35%,32,37.65%,0,0.00%,1,1.18%,0,0.00%,0,0.00%,10,11.76%,0,0.00%,0,0.00%,4,4.71%,18,21.18%,0,0.00%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000260,,,,0000260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,61,"1,902",,Polling,0,0.00%,0,0.00%,4,6.67%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.67%,24,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,6.67%,0,0.00%,0,0.00%,1,1.67%,24,40.00%,2,3.33%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,459,"1,902",,Vote by Mail,1,0.22%,0,0.00%,56,12.50%,,0,0.00%,2,0.45%,,0,0.00%,0,0.00%,24,5.36%,114,25.45%,1,0.22%,9,2.01%,0,0.00%,0,0.00%,61,13.62%,0,0.00%,1,0.22%,54,12.05%,123,27.46%,2,0.45%,0,0.00%,0,0.00%,448,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,520,"1,902",,Total,1,0.20%,0,0.00%,60,11.81%,,0,0.00%,2,0.39%,,0,0.00%,0,0.00%,25,4.92%,138,27.17%,1,0.20%,9,1.77%,0,0.00%,0,0.00%,65,12.80%,0,0.00%,1,0.20%,55,10.83%,147,28.94%,4,0.79%,0,0.00%,0,0.00%,508,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000261,,,,0000261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,49,"1,999",,Polling,0,0.00%,0,0.00%,6,12.24%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,18,36.73%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,6.12%,0,0.00%,0,0.00%,3,6.12%,18,36.73%,1,2.04%,0,0.00%,0,0.00%,49,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,437,"1,999",,Vote by Mail,0,0.00%,0,0.00%,57,13.41%,,1,0.24%,2,0.47%,,0,0.00%,0,0.00%,21,4.94%,85,20.00%,0,0.00%,18,4.24%,0,0.00%,3,0.71%,67,15.76%,0,0.00%,0,0.00%,34,8.00%,134,31.53%,3,0.71%,0,0.00%,0,0.00%,425,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,486,"1,999",,Total,0,0.00%,0,0.00%,63,13.29%,,1,0.21%,2,0.42%,,0,0.00%,0,0.00%,21,4.43%,103,21.73%,0,0.00%,18,3.80%,0,0.00%,3,0.63%,70,14.77%,0,0.00%,0,0.00%,37,7.81%,152,32.07%,4,0.84%,0,0.00%,0,0.00%,474,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000262,,,,0000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,36,"1,178",,Polling,0,0.00%,0,0.00%,4,11.43%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,9,25.71%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,22,62.86%,0,0.00%,0,0.00%,0,0.00%,35,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,270,"1,178",,Vote by Mail,0,0.00%,0,0.00%,26,9.92%,,2,0.76%,5,1.91%,,0,0.00%,0,0.00%,13,4.96%,60,22.90%,0,0.00%,5,1.91%,0,0.00%,1,0.38%,32,12.21%,0,0.00%,1,0.38%,23,8.78%,92,35.11%,2,0.76%,0,0.00%,0,0.00%,262,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,306,"1,178",,Total,0,0.00%,0,0.00%,30,10.10%,,2,0.67%,5,1.68%,,0,0.00%,0,0.00%,13,4.38%,69,23.23%,0,0.00%,5,1.68%,0,0.00%,1,0.34%,32,10.77%,0,0.00%,1,0.34%,23,7.74%,114,38.38%,2,0.67%,0,0.00%,0,0.00%,297,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000263,,,,0000263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,2,167,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,20,167,,Vote by Mail,2,10.53%,0,0.00%,4,21.05%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,10.53%,3,15.79%,0,0.00%,1,5.26%,0,0.00%,0,0.00%,1,5.26%,0,0.00%,0,0.00%,0,0.00%,6,31.58%,0,0.00%,0,0.00%,0,0.00%,19,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,22,167,,Total,2,9.52%,0,0.00%,4,19.05%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,9.52%,4,19.05%,0,0.00%,1,4.76%,0,0.00%,0,0.00%,1,4.76%,0,0.00%,0,0.00%,0,0.00%,7,33.33%,0,0.00%,0,0.00%,0,0.00%,21,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000264,,,,0000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,8,613,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,25.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,25.00%,0,0.00%,0,0.00%,0,0.00%,4,50.00%,0,0.00%,0,0.00%,0,0.00%,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,97,613,,Vote by Mail,0,0.00%,0,0.00%,4,4.26%,,0,0.00%,1,1.06%,,0,0.00%,0,0.00%,7,7.45%,13,13.83%,0,0.00%,2,2.13%,0,0.00%,0,0.00%,22,23.40%,0,0.00%,0,0.00%,8,8.51%,37,39.36%,0,0.00%,0,0.00%,0,0.00%,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,105,613,,Total,0,0.00%,0,0.00%,4,3.92%,,0,0.00%,1,0.98%,,0,0.00%,0,0.00%,7,6.86%,15,14.71%,0,0.00%,2,1.96%,0,0.00%,0,0.00%,24,23.53%,0,0.00%,0,0.00%,8,7.84%,41,40.20%,0,0.00%,0,0.00%,0,0.00%,102,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000265,,,,0000265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,4,242,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,25.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,75.00%,0,0.00%,0,0.00%,0,0.00%,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,45,242,,Vote by Mail,0,0.00%,0,0.00%,9,20.45%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,14,31.82%,0,0.00%,1,2.27%,0,0.00%,0,0.00%,6,13.64%,0,0.00%,0,0.00%,1,2.27%,13,29.55%,0,0.00%,0,0.00%,0,0.00%,44,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,49,242,,Total,0,0.00%,0,0.00%,9,18.75%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,15,31.25%,0,0.00%,1,2.08%,0,0.00%,0,0.00%,6,12.50%,0,0.00%,0,0.00%,1,2.08%,16,33.33%,0,0.00%,0,0.00%,0,0.00%,48,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000266,,,,0000266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,1,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,1,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
