Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
Vote by Mail,7,36,,Vote by Mail,0,0.00%,0,0.00%,2,28.57%,,0,0.00%,3,42.86%,,0,0.00%,0,0.00%,0,0.00%,2,28.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,8,36,,Total,0,0.00%,0,0.00%,2,25.00%,,0,0.00%,3,37.50%,,0,0.00%,0,0.00%,0,0.00%,3,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000163,,,,0000163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,9,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,1,9,,Vote by Mail,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,1,9,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000164,,,,0000164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,1,93,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,1,100.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,17,93,,Vote by Mail,0,0.00%,0,0.00%,1,6.25%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,3,18.75%,0,0.00%,0,0.00%,1,6.25%,0,0.00%,0,0.00%,3,18.75%,0,0.00%,0,0.00%,1,6.25%,7,43.75%,0,0.00%,0,0.00%,0,0.00%,16,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,18,93,,Total,0,0.00%,0,0.00%,1,5.88%,,0,0.00%,1,5.88%,,0,0.00%,0,0.00%,3,17.65%,0,0.00%,0,0.00%,1,5.88%,0,0.00%,0,0.00%,3,17.65%,0,0.00%,0,0.00%,1,5.88%,7,41.18%,0,0.00%,0,0.00%,0,0.00%,17,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000165,,,,0000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,1,137,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,18,137,,Vote by Mail,0,0.00%,0,0.00%,1,5.88%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,3,17.65%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,41.18%,0,0.00%,0,0.00%,1,5.88%,5,29.41%,0,0.00%,0,0.00%,0,0.00%,17,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,19,137,,Total,0,0.00%,0,0.00%,1,5.56%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,4,22.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,38.89%,0,0.00%,0,0.00%,1,5.56%,5,27.78%,0,0.00%,0,0.00%,0,0.00%,18,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000166,,,,0000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,7,219,,Polling,0,0.00%,0,0.00%,1,14.29%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,3,42.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,14.29%,0,0.00%,0,0.00%,0,0.00%,2,28.57%,0,0.00%,0,0.00%,0,0.00%,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,45,219,,Vote by Mail,0,0.00%,0,0.00%,9,21.95%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,3,7.32%,6,14.63%,0,0.00%,3,7.32%,0,0.00%,0,0.00%,6,14.63%,0,0.00%,0,0.00%,6,14.63%,8,19.51%,0,0.00%,0,0.00%,0,0.00%,41,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,52,219,,Total,0,0.00%,0,0.00%,10,20.83%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,3,6.25%,9,18.75%,0,0.00%,3,6.25%,0,0.00%,0,0.00%,7,14.58%,0,0.00%,0,0.00%,6,12.50%,10,20.83%,0,0.00%,0,0.00%,0,0.00%,48,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000167,,,,0000167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,19,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,2,19,,Vote by Mail,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,2,19,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000168,,,,0000168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,89,"3,038",,Polling,0,0.00%,0,0.00%,6,6.82%,,1,1.14%,1,1.14%,,1,1.14%,0,0.00%,2,2.27%,38,43.18%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,6.82%,0,0.00%,0,0.00%,1,1.14%,32,36.36%,0,0.00%,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
