,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,,,,,County Jurisdiction,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes
C31S20A47E4B5SBUSB11003,264,"1,462",,11,0,C31S20A47E4B5SBUSB11003,1,0.40%,0,,0.00%,13,5.14%,0,,0.00%,1,0.40%,1,0.40%,0,0.00%,2,0.79%,130,51.38%,0,0.00%,5,1.98%,0,0.00%,2,0.79%,28,11.07%,0,0.00%,0,0.00%,2,0.79%,68,26.88%,0,0.00%,0,0.00%,0,0.00%,253
C31S20A47E4B5SBUSB11004,250,"1,480",,6,1,C31S20A47E4B5SBUSB11004,0,0.00%,0,,0.00%,7,2.88%,0,,0.00%,0,0.00%,1,0.41%,1,0.41%,0,0.00%,135,55.56%,0,0.00%,6,2.47%,0,0.00%,0,0.00%,20,8.23%,1,0.41%,0,0.00%,0,0.00%,71,29.22%,1,0.41%,0,0.00%,0,0.00%,243
C31S20A47E4B5SBUSB11005,235,"1,311",,3,1,C31S20A47E4B5SBUSB11005,2,0.87%,0,,0.00%,7,3.03%,0,,0.00%,1,0.43%,0,0.00%,0,0.00%,0,0.00%,88,38.10%,0,0.00%,3,1.30%,0,0.00%,1,0.43%,37,16.02%,0,0.00%,1,0.43%,3,1.30%,87,37.66%,1,0.43%,0,0.00%,0,0.00%,231
C31S20A47E4B5SBUSB11006,208,"1,590",,6,1,C31S20A47E4B5SBUSB11006,3,1.49%,0,,0.00%,5,2.49%,0,,0.00%,1,0.50%,1,0.50%,1,0.50%,0,0.00%,94,46.77%,0,0.00%,7,3.48%,0,0.00%,0,0.00%,22,10.95%,0,0.00%,0,0.00%,4,1.99%,63,31.34%,0,0.00%,0,0.00%,0,0.00%,201
C31S20A47E4B5SBUSB21007,55,531,,0,0,C31S20A47E4B5SBUSB21007,0,0.00%,0,,0.00%,2,3.64%,0,,0.00%,1,1.82%,0,0.00%,0,0.00%,0,0.00%,26,47.27%,0,0.00%,3,5.45%,0,0.00%,0,0.00%,8,14.55%,1,1.82%,0,0.00%,0,0.00%,14,25.45%,0,0.00%,0,0.00%,0,0.00%,55
C31S20A47E4B5SBUSB31008,266,"1,440",,5,0,C31S20A47E4B5SBUSB31008,3,1.15%,0,,0.00%,4,1.53%,0,,0.00%,3,1.15%,1,0.38%,3,1.15%,1,0.38%,155,59.39%,1,0.38%,17,6.51%,0,0.00%,0,0.00%,21,8.05%,0,0.00%,0,0.00%,1,0.38%,50,19.16%,1,0.38%,0,0.00%,0,0.00%,261
C31S20A47E4B5SBUSB31009,3,8,,****,****,C31S20A47E4B5SBUSB31009,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C31S20A47E4B5SBUSB31010,222,912,,8,0,C31S20A47E4B5SBUSB31010,3,1.40%,0,,0.00%,6,2.80%,0,,0.00%,2,0.93%,1,0.47%,0,0.00%,1,0.47%,101,47.20%,0,0.00%,5,2.34%,0,0.00%,1,0.47%,28,13.08%,0,0.00%,0,0.00%,4,1.87%,62,28.97%,0,0.00%,0,0.00%,0,0.00%,214
C31S20A47E4B5SBUSB31011,0,0,,0,0,C31S20A47E4B5SBUSB31011,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C31S20A47E4B5SBUSB31012,0,0,,0,0,C31S20A47E4B5SBUSB31012,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C31S20A47E4B5SBUSB31013,33,146,,2,0,C31S20A47E4B5SBUSB31013,0,0.00%,0,,0.00%,2,6.45%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,54.84%,2,6.45%,1,3.23%,0,0.00%,0,0.00%,2,6.45%,0,0.00%,0,0.00%,1,3.23%,6,19.35%,0,0.00%,0,0.00%,0,0.00%,31
C31S20A47E4B5SBUSB31014,19,130,,1,0,C31S20A47E4B5SBUSB31014,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,5.56%,7,38.89%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,5.56%,0,0.00%,0,0.00%,0,0.00%,9,50.00%,0,0.00%,0,0.00%,0,0.00%,18
C31S20A47E4B5SBUSB61015,323,"1,636",,6,1,C31S20A47E4B5SBUSB61015,0,0.00%,0,,0.00%,9,2.85%,0,,0.00%,1,0.32%,0,0.00%,1,0.32%,1,0.32%,142,44.94%,1,0.32%,8,2.53%,1,0.32%,2,0.63%,29,9.18%,0,0.00%,1,0.32%,3,0.95%,117,37.03%,0,0.00%,0,0.00%,0,0.00%,316
C31S20A47E4B5SBUSB61016,389,"1,673",,5,2,C31S20A47E4B5SBUSB61016,3,0.79%,0,,0.00%,18,4.71%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,4,1.05%,151,39.53%,0,0.00%,7,1.83%,1,0.26%,1,0.26%,49,12.83%,0,0.00%,1,0.26%,6,1.57%,141,36.91%,0,0.00%,0,0.00%,0,0.00%,382
C31S20A47E4B5SBUSB61017,294,"1,668",,10,2,C31S20A47E4B5SBUSB61017,2,0.71%,0,,0.00%,7,2.48%,1,,0.35%,2,0.71%,0,0.00%,0,0.00%,2,0.71%,141,50.00%,0,0.00%,13,4.61%,0,0.00%,0,0.00%,40,14.18%,0,0.00%,1,0.35%,2,0.71%,70,24.82%,1,0.35%,0,0.00%,0,0.00%,282
C31S20A47E4B5SBUSB61018,0,10,,0,0,C31S20A47E4B5SBUSB61018,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C31S20A47E4B5SBUSB61019,166,779,,4,1,C31S20A47E4B5SBUSB61019,0,0.00%,0,,0.00%,9,5.59%,0,,0.00%,0,0.00%,0,0.00%,1,0.62%,2,1.24%,67,41.61%,0,0.00%,4,2.48%,0,0.00%,0,0.00%,16,9.94%,0,0.00%,2,1.24%,4,2.48%,56,34.78%,0,0.00%,0,0.00%,0,0.00%,161
C31S20A47E4B5SBUSB61020,95,445,,4,0,C31S20A47E4B5SBUSB61020,0,0.00%,0,,0.00%,3,3.30%,0,,0.00%,0,0.00%,0,0.00%,2,2.20%,1,1.10%,58,63.74%,0,0.00%,1,1.10%,0,0.00%,0,0.00%,7,7.69%,0,0.00%,0,0.00%,0,0.00%,19,20.88%,0,0.00%,0,0.00%,0,0.00%,91
C31S20A47E4B5SBUSB61021,37,91,,1,0,C31S20A47E4B5SBUSB61021,0,0.00%,0,,0.00%,3,8.33%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,2.78%,4,11.11%,1,2.78%,3,8.33%,0,0.00%,0,0.00%,9,25.00%,0,0.00%,0,0.00%,0,0.00%,15,41.67%,0,0.00%,0,0.00%,0,0.00%,36
C31S20A47E4B5SBUUNI1022,55,347,,0,0,C31S20A47E4B5SBUUNI1022,0,0.00%,0,,0.00%,1,1.82%,0,,0.00%,0,0.00%,0,0.00%,1,1.82%,0,0.00%,31,56.36%,1,1.82%,2,3.64%,0,0.00%,0,0.00%,2,3.64%,0,0.00%,0,0.00%,1,1.82%,13,23.64%,3,5.45%,0,0.00%,0,0.00%,55
C31S20A47E4B5SBUUNI1023,191,"1,538",,2,0,C31S20A47E4B5SBUUNI1023,2,1.06%,0,,0.00%,9,4.76%,0,,0.00%,3,1.59%,1,0.53%,0,0.00%,0,0.00%,111,58.73%,0,0.00%,5,2.65%,0,0.00%,0,0.00%,18,9.52%,1,0.53%,0,0.00%,0,0.00%,38,20.11%,1,0.53%,0,0.00%,0,0.00%,189
C31S20A47E4B5SBUUNI1024,162,"1,375",,4,0,C31S20A47E4B5SBUUNI1024,3,1.90%,0,,0.00%,4,2.53%,0,,0.00%,0,0.00%,0,0.00%,1,0.63%,2,1.27%,94,59.49%,0,0.00%,4,2.53%,0,0.00%,0,0.00%,19,12.03%,0,0.00%,0,0.00%,2,1.27%,29,18.35%,0,0.00%,0,0.00%,0,0.00%,158
C31S20A47E4B5SBUUNI1025,113,727,,1,0,C31S20A47E4B5SBUUNI1025,1,0.89%,0,,0.00%,8,7.14%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.89%,58,51.79%,1,0.89%,4,3.57%,0,0.00%,0,0.00%,20,17.86%,0,0.00%,1,0.89%,1,0.89%,17,15.18%,0,0.00%,0,0.00%,0,0.00%,112
C31S20A47E4B5SBUUNI1026,0,0,,0,0,C31S20A47E4B5SBUUNI1026,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C31S23A40E1B2CUHONT1027,0,0,,0,0,C31S23A40E1B2CUHONT1027,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C31S23A40E1B2CUHRC11028,118,546,,1,0,C31S23A40E1B2CUHRC11028,0,0.00%,1,,0.85%,7,5.98%,0,,0.00%,1,0.85%,0,0.00%,0,0.00%,0,0.00%,37,31.62%,0,0.00%,1,0.85%,0,0.00%,0,0.00%,17,14.53%,0,0.00%,0,0.00%,3,2.56%,49,41.88%,1,0.85%,0,0.00%,0,0.00%,117
C31S23A40E1B2CUHRC11029,343,"1,733",,13,0,C31S23A40E1B2CUHRC11029,0,0.00%,0,,0.00%,24,7.27%,0,,0.00%,2,0.61%,1,0.30%,1,0.30%,6,1.82%,112,33.94%,0,0.00%,9,2.73%,0,0.00%,1,0.30%,27,8.18%,0,0.00%,1,0.30%,8,2.42%,131,39.70%,7,2.12%,0,0.00%,0,0.00%,330
C31S23A40E1B2CUHRC11030,364,"1,760",,11,0,C31S23A40E1B2CUHRC11030,0,0.00%,0,,0.00%,34,9.63%,0,,0.00%,1,0.28%,0,0.00%,1,0.28%,4,1.13%,146,41.36%,0,0.00%,11,3.12%,0,0.00%,0,0.00%,35,9.92%,0,0.00%,0,0.00%,17,4.82%,100,28.33%,3,0.85%,1,0.28%,0,0.00%,353
C31S23A40E1B2CUHRC11031,239,"1,141",,12,0,C31S23A40E1B2CUHRC11031,3,1.32%,0,,0.00%,29,12.78%,1,,0.44%,1,0.44%,0,0.00%,0,0.00%,2,0.88%,69,30.40%,0,0.00%,5,2.20%,0,0.00%,0,0.00%,24,10.57%,0,0.00%,0,0.00%,9,3.96%,82,36.12%,2,0.88%,0,0.00%,0,0.00%,227
C31S23A40E1B2CUHRC11032,214,983,,10,0,C31S23A40E1B2CUHRC11032,0,0.00%,0,,0.00%,19,9.31%,1,,0.49%,2,0.98%,0,0.00%,0,0.00%,2,0.98%,77,37.75%,1,0.49%,3,1.47%,0,0.00%,0,0.00%,27,13.24%,0,0.00%,0,0.00%,5,2.45%,64,31.37%,3,1.47%,0,0.00%,0,0.00%,204
C31S23A40E1B2CUHRC11033,327,"1,381",,9,0,C31S23A40E1B2CUHRC11033,0,0.00%,0,,0.00%,30,9.43%,2,,0.63%,2,0.63%,1,0.31%,0,0.00%,2,0.63%,128,40.25%,0,0.00%,3,0.94%,0,0.00%,0,0.00%,22,6.92%,0,0.00%,0,0.00%,10,3.14%,116,36.48%,2,0.63%,0,0.00%,0,0.00%,318
C31S23A40E1B2CUHRC41034,342,"1,585",,9,2,C31S23A40E1B2CUHRC41034,0,0.00%,0,,0.00%,39,11.78%,0,,0.00%,1,0.30%,0,0.00%,0,0.00%,3,0.91%,123,37.16%,1,0.30%,11,3.32%,0,0.00%,0,0.00%,39,11.78%,0,0.00%,1,0.30%,9,2.72%,102,30.82%,2,0.60%,0,0.00%,0,0.00%,331
C31S23A40E1B2CUHRC41035,105,473,,3,0,C31S23A40E1B2CUHRC41035,0,0.00%,0,,0.00%,5,4.90%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,6,5.88%,30,29.41%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,14.71%,0,0.00%,0,0.00%,3,2.94%,42,41.18%,1,0.98%,0,0.00%,0,0.00%,102
C31S23A40E1B2CUHRC41036,230,"1,289",,3,0,C31S23A40E1B2CUHRC41036,0,0.00%,0,,0.00%,17,7.49%,0,,0.00%,1,0.44%,0,0.00%,0,0.00%,6,2.64%,60,26.43%,0,0.00%,2,0.88%,1,0.44%,0,0.00%,28,12.33%,0,0.00%,0,0.00%,12,5.29%,98,43.17%,2,0.88%,0,0.00%,0,0.00%,227
C31S23A40E1B2CUHRC41037,198,935,,4,0,C31S23A40E1B2CUHRC41037,1,0.52%,0,,0.00%,24,12.37%,0,,0.00%,1,0.52%,0,0.00%,0,0.00%,1,0.52%,56,28.87%,0,0.00%,2,1.03%,0,0.00%,0,0.00%,21,10.82%,0,0.00%,1,0.52%,9,4.64%,77,39.69%,1,0.52%,0,0.00%,0,0.00%,194
C31S23A40E1B2CUHRC11038,197,982,,3,0,C31S23A40E1B2CUHRC11038,2,1.03%,0,,0.00%,17,8.76%,0,,0.00%,1,0.52%,0,0.00%,0,0.00%,0,0.00%,52,26.80%,0,0.00%,5,2.58%,0,0.00%,1,0.52%,32,16.49%,0,0.00%,0,0.00%,5,2.58%,77,39.69%,2,1.03%,0,0.00%,0,0.00%,194
C31S23A40E1B2CUHRC11039,145,766,,6,0,C31S23A40E1B2CUHRC11039,0,0.00%,0,,0.00%,11,7.91%,0,,0.00%,1,0.72%,0,0.00%,1,0.72%,2,1.44%,34,24.46%,0,0.00%,4,2.88%,0,0.00%,0,0.00%,24,17.27%,0,0.00%,1,0.72%,9,6.47%,49,35.25%,2,1.44%,1,0.72%,0,0.00%,139
C31S23A40E1B2CUHRC31040,286,"1,251",,3,0,C31S23A40E1B2CUHRC31040,1,0.35%,0,,0.00%,33,11.66%,0,,0.00%,2,0.71%,0,0.00%,0,0.00%,0,0.00%,94,33.22%,0,0.00%,3,1.06%,0,0.00%,0,0.00%,38,13.43%,0,0.00%,0,0.00%,6,2.12%,103,36.40%,3,1.06%,0,0.00%,0,0.00%,283
C31S23A40E1B2CUHRC31041,471,"1,864",,7,0,C31S23A40E1B2CUHRC31041,0,0.00%,1,,0.22%,33,7.11%,1,,0.22%,6,1.29%,0,0.00%,0,0.00%,6,1.29%,147,31.68%,2,0.43%,13,2.80%,0,0.00%,0,0.00%,42,9.05%,0,0.00%,0,0.00%,18,3.88%,190,40.95%,3,0.65%,2,0.43%,0,0.00%,464
C31S23A40E1B2CUHRC31042,440,"1,913",,3,0,C31S23A40E1B2CUHRC31042,0,0.00%,0,,0.00%,49,11.21%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,6,1.37%,142,32.49%,0,0.00%,13,2.97%,0,0.00%,0,0.00%,47,10.76%,0,0.00%,0,0.00%,13,2.97%,164,37.53%,3,0.69%,0,0.00%,0,0.00%,437
C31S23A40E1B2CUHRC31043,33,235,,1,0,C31S23A40E1B2CUHRC31043,0,0.00%,0,,0.00%,5,15.63%,0,,0.00%,1,3.13%,0,0.00%,0,0.00%,0,0.00%,13,40.63%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,6.25%,0,0.00%,0,0.00%,2,6.25%,9,28.13%,0,0.00%,0,0.00%,0,0.00%,32
C31S23A40E1B2CUHRC31044,262,"1,297",,3,0,C31S23A40E1B2CUHRC31044,0,0.00%,0,,0.00%,22,8.49%,0,,0.00%,3,1.16%,0,0.00%,0,0.00%,1,0.39%,100,38.61%,0,0.00%,4,1.54%,0,0.00%,0,0.00%,34,13.13%,0,0.00%,0,0.00%,4,1.54%,90,34.75%,0,0.00%,1,0.39%,0,0.00%,259
C31S23A40E1B2CUHRC41045,88,475,,4,1,C31S23A40E1B2CUHRC41045,0,0.00%,0,,0.00%,5,6.02%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,2.41%,29,34.94%,0,0.00%,1,1.20%,0,0.00%,0,0.00%,8,9.64%,0,0.00%,0,0.00%,0,0.00%,38,45.78%,0,0.00%,0,0.00%,0,0.00%,83
C31S23A40E1B2CUHRC31046,443,"2,145",,9,0,C31S23A40E1B2CUHRC31046,1,0.23%,0,,0.00%,42,9.68%,1,,0.23%,1,0.23%,0,0.00%,0,0.00%,6,1.38%,135,31.11%,0,0.00%,12,2.76%,1,0.23%,1,0.23%,40,9.22%,0,0.00%,0,0.00%,17,3.92%,174,40.09%,3,0.69%,0,0.00%,0,0.00%,434
C31S23A40E1B2CUHRC31047,399,"1,809",,9,0,C31S23A40E1B2CUHRC31047,0,0.00%,0,,0.00%,28,7.18%,0,,0.00%,2,0.51%,1,0.26%,0,0.00%,9,2.31%,135,34.62%,1,0.26%,7,1.79%,0,0.00%,0,0.00%,48,12.31%,0,0.00%,0,0.00%,18,4.62%,140,35.90%,0,0.00%,1,0.26%,0,0.00%,390
C31S23A40E1B2CUHRC31048,43,226,,1,0,C31S23A40E1B2CUHRC31048,0,0.00%,0,,0.00%,3,7.14%,0,,0.00%,0,0.00%,1,2.38%,0,0.00%,0,0.00%,13,30.95%,0,0.00%,1,2.38%,0,0.00%,0,0.00%,6,14.29%,0,0.00%,0,0.00%,2,4.76%,16,38.10%,0,0.00%,0,0.00%,0,0.00%,42
C31S23A40E1B2CUHRC31049,274,"1,390",,9,0,C31S23A40E1B2CUHRC31049,0,0.00%,0,,0.00%,16,6.04%,0,,0.00%,3,1.13%,0,0.00%,0,0.00%,5,1.89%,93,35.09%,0,0.00%,9,3.40%,0,0.00%,0,0.00%,24,9.06%,0,0.00%,0,0.00%,7,2.64%,106,40.00%,2,0.75%,0,0.00%,0,0.00%,265
C31S23A40E1B2CUHRC41050,81,497,,3,0,C31S23A40E1B2CUHRC41050,0,0.00%,0,,0.00%,9,11.54%,0,,0.00%,0,0.00%,0,0.00%,1,1.28%,4,5.13%,21,26.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,8.97%,0,0.00%,0,0.00%,1,1.28%,33,42.31%,1,1.28%,1,1.28%,0,0.00%,78
C31S23A40E1B2CUHRC41051,187,882,,5,1,C31S23A40E1B2CUHRC41051,0,0.00%,0,,0.00%,18,9.94%,0,,0.00%,2,1.10%,0,0.00%,1,0.55%,2,1.10%,70,38.67%,0,0.00%,4,2.21%,0,0.00%,1,0.55%,16,8.84%,0,0.00%,0,0.00%,2,1.10%,65,35.91%,0,0.00%,0,0.00%,0,0.00%,181
C31S23A40E1B2CUHRC41052,1,0,,****,****,C31S23A40E1B2CUHRC41052,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C31S23A40E1B2CUHRC41053,192,914,,2,0,C31S23A40E1B2CUHRC41053,0,0.00%,0,,0.00%,27,14.21%,1,,0.53%,1,0.53%,0,0.00%,0,0.00%,4,2.11%,59,31.05%,0,0.00%,5,2.63%,0,0.00%,0,0.00%,21,11.05%,0,0.00%,0,0.00%,8,4.21%,64,33.68%,0,0.00%,0,0.00%,0,0.00%,190
C31S23A40E1B2CUHRC41054,155,849,,4,0,C31S23A40E1B2CUHRC41054,0,0.00%,0,,0.00%,14,9.27%,0,,0.00%,1,0.66%,0,0.00%,0,0.00%,2,1.32%,48,31.79%,0,0.00%,6,3.97%,0,0.00%,0,0.00%,13,8.61%,0,0.00%,0,0.00%,5,3.31%,62,41.06%,0,0.00%,0,0.00%,0,0.00%,151
C31S23A40E1B2CUHRC41055,366,"1,938",,3,0,C31S23A40E1B2CUHRC41055,0,0.00%,0,,0.00%,25,6.89%,0,,0.00%,3,0.83%,0,0.00%,0,0.00%,5,1.38%,110,30.30%,0,0.00%,7,1.93%,0,0.00%,0,0.00%,41,11.29%,0,0.00%,0,0.00%,16,4.41%,155,42.70%,1,0.28%,0,0.00%,0,0.00%,363
C31S23A40E1B2CUHRC41056,436,"2,141",,6,1,C31S23A40E1B2CUHRC41056,1,0.23%,1,,0.23%,37,8.62%,0,,0.00%,2,0.47%,0,0.00%,0,0.00%,8,1.86%,145,33.80%,0,0.00%,6,1.40%,0,0.00%,1,0.23%,48,11.19%,0,0.00%,0,0.00%,17,3.96%,159,37.06%,3,0.70%,1,0.23%,0,0.00%,429
C31S23A40E1B2CUHRC41057,339,"1,637",,2,0,C31S23A40E1B2CUHRC41057,1,0.30%,0,,0.00%,27,8.01%,0,,0.00%,2,0.59%,0,0.00%,0,0.00%,7,2.08%,97,28.78%,0,0.00%,11,3.26%,0,0.00%,0,0.00%,37,10.98%,0,0.00%,0,0.00%,9,2.67%,145,43.03%,1,0.30%,0,0.00%,0,0.00%,337
C31S23A40E1B2CUHRC41058,351,"1,939",,8,0,C31S23A40E1B2CUHRC41058,1,0.29%,1,,0.29%,33,9.62%,0,,0.00%,3,0.87%,0,0.00%,0,0.00%,4,1.17%,112,32.65%,0,0.00%,4,1.17%,0,0.00%,0,0.00%,23,6.71%,0,0.00%,0,0.00%,10,2.92%,149,43.44%,3,0.87%,0,0.00%,0,0.00%,343
C31S23A40E1B2CUHRC11059,195,962,,5,0,C31S23A40E1B2CUHRC11059,0,0.00%,0,,0.00%,30,15.79%,1,,0.53%,0,0.00%,0,0.00%,0,0.00%,4,2.11%,56,29.47%,0,0.00%,6,3.16%,0,0.00%,0,0.00%,21,11.05%,0,0.00%,1,0.53%,1,0.53%,70,36.84%,0,0.00%,0,0.00%,0,0.00%,190
C31S23A40E1B2CUHRC11060,112,559,,5,0,C31S23A40E1B2CUHRC11060,1,0.93%,0,,0.00%,7,6.54%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.93%,47,43.93%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,10.28%,0,0.00%,0,0.00%,2,1.87%,37,34.58%,0,0.00%,1,0.93%,0,0.00%,107
C31S23A40E1B2CUHRC11061,229,"1,067",,7,0,C31S23A40E1B2CUHRC11061,0,0.00%,0,,0.00%,23,10.36%,0,,0.00%,3,1.35%,0,0.00%,0,0.00%,4,1.80%,57,25.68%,0,0.00%,5,2.25%,0,0.00%,0,0.00%,23,10.36%,0,0.00%,0,0.00%,4,1.80%,99,44.59%,4,1.80%,0,0.00%,0,0.00%,222
C31S23A40E1B2CUHRC21062,466,"1,826",,8,0,C31S23A40E1B2CUHRC21062,2,0.44%,0,,0.00%,53,11.57%,0,,0.00%,4,0.87%,1,0.22%,0,0.00%,5,1.09%,167,36.46%,0,0.00%,17,3.71%,0,0.00%,0,0.00%,47,10.26%,0,0.00%,0,0.00%,18,3.93%,136,29.69%,6,1.31%,2,0.44%,0,0.00%,458
C31S23A40E1B2CUHRC11063,16,85,,0,0,C31S23A40E1B2CUHRC11063,1,6.25%,0,,0.00%,0,0.00%,0,,0.00%,1,6.25%,0,0.00%,0,0.00%,0,0.00%,4,25.00%,0,0.00%,3,18.75%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,12.50%,5,31.25%,0,0.00%,0,0.00%,0,0.00%,16
C31S23A40E1B2CUHRC21064,346,"1,681",,5,1,C31S23A40E1B2CUHRC21064,2,0.59%,0,,0.00%,33,9.71%,0,,0.00%,1,0.29%,1,0.29%,0,0.00%,9,2.65%,130,38.24%,2,0.59%,5,1.47%,0,0.00%,0,0.00%,39,11.47%,0,0.00%,0,0.00%,8,2.35%,108,31.76%,2,0.59%,0,0.00%,0,0.00%,340
C31S23A40E1B2CUHRC21065,358,"1,455",,12,4,C31S23A40E1B2CUHRC21065,1,0.29%,0,,0.00%,26,7.60%,1,,0.29%,2,0.58%,0,0.00%,2,0.58%,5,1.46%,125,36.55%,1,0.29%,14,4.09%,1,0.29%,0,0.00%,41,11.99%,0,0.00%,0,0.00%,9,2.63%,110,32.16%,1,0.29%,3,0.88%,0,0.00%,342
C31S23A40E1B2CUHRC21066,84,418,,5,0,C31S23A40E1B2CUHRC21066,0,0.00%,0,,0.00%,9,11.39%,0,,0.00%,2,2.53%,0,0.00%,0,0.00%,0,0.00%,26,32.91%,0,0.00%,2,2.53%,0,0.00%,0,0.00%,11,13.92%,0,0.00%,0,0.00%,3,3.80%,26,32.91%,0,0.00%,0,0.00%,0,0.00%,79
C31S23A40E1B2CUHRC21067,39,168,,3,0,C31S23A40E1B2CUHRC21067,0,0.00%,0,,0.00%,1,2.78%,0,,0.00%,0,0.00%,1,2.78%,0,0.00%,0,0.00%,10,27.78%,0,0.00%,2,5.56%,0,0.00%,0,0.00%,7,19.44%,0,0.00%,0,0.00%,1,2.78%,14,38.89%,0,0.00%,0,0.00%,0,0.00%,36
C31S23A40E1B2CUHRC31068,420,"2,002",,8,0,C31S23A40E1B2CUHRC31068,1,0.24%,0,,0.00%,39,9.47%,1,,0.24%,0,0.00%,1,0.24%,0,0.00%,10,2.43%,148,35.92%,0,0.00%,10,2.43%,0,0.00%,0,0.00%,34,8.25%,0,0.00%,2,0.49%,15,3.64%,150,36.41%,1,0.24%,0,0.00%,0,0.00%,412
C31S23A40E1B2CUHRC31069,431,"1,872",,11,0,C31S23A40E1B2CUHRC31069,1,0.24%,0,,0.00%,48,11.43%,1,,0.24%,2,0.48%,0,0.00%,0,0.00%,3,0.71%,158,37.62%,0,0.00%,3,0.71%,0,0.00%,0,0.00%,30,7.14%,0,0.00%,0,0.00%,14,3.33%,156,37.14%,4,0.95%,0,0.00%,0,0.00%,420
C31S23A40E1B2CUHRC31070,386,"1,737",,11,1,C31S23A40E1B2CUHRC31070,2,0.53%,0,,0.00%,38,10.16%,0,,0.00%,3,0.80%,0,0.00%,0,0.00%,1,0.27%,134,35.83%,0,0.00%,11,2.94%,0,0.00%,0,0.00%,37,9.89%,0,0.00%,0,0.00%,10,2.67%,131,35.03%,6,1.60%,1,0.27%,0,0.00%,374
C31S23A40E1B2CUHRC31071,0,0,,0,0,C31S23A40E1B2CUHRC31071,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C31S23A40E1B2CUHRC21072,353,"1,591",,7,0,C31S23A40E1B2CUHRC21072,3,0.87%,1,,0.29%,32,9.25%,1,,0.29%,2,0.58%,4,1.16%,0,0.00%,2,0.58%,153,44.22%,0,0.00%,10,2.89%,0,0.00%,0,0.00%,32,9.25%,0,0.00%,0,0.00%,5,1.45%,101,29.19%,0,0.00%,0,0.00%,0,0.00%,346
C31S23A40E1B2CUHRC21073,109,583,,0,0,C31S23A40E1B2CUHRC21073,0,0.00%,0,,0.00%,7,6.42%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.92%,57,52.29%,0,0.00%,4,3.67%,0,0.00%,0,0.00%,8,7.34%,0,0.00%,1,0.92%,1,0.92%,29,26.61%,1,0.92%,0,0.00%,0,0.00%,109
