Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Total,3,0,,Total,0,0.00%,0,0.00%,87,24.65%,,0,0.00%,7,1.98%,,0,0.00%,0,0.00%,8,2.27%,123,34.84%,0,0.00%,1,0.28%,0,0.00%,0,0.00%,42,11.90%,0,0.00%,1,0.28%,14,3.97%,68,19.26%,2,0.57%,0,0.00%,0,0.00%,353,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9416,,,,Pct 9416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,61,20.75%,,0,0.00%,10,3.40%,,0,0.00%,0,0.00%,5,1.70%,121,41.16%,0,0.00%,1,0.34%,0,0.00%,1,0.34%,41,13.95%,0,0.00%,0,0.00%,9,3.06%,41,13.95%,4,1.36%,0,0.00%,0,0.00%,294,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,2,,Election Day,0,0.00%,0,0.00%,50,26.88%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,77,41.40%,0,0.00%,0,0.00%,0,0.00%,1,0.54%,8,4.30%,0,0.00%,0,0.00%,1,0.54%,48,25.81%,1,0.54%,0,0.00%,0,0.00%,186,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,2,,Total,0,0.00%,0,0.00%,111,23.13%,,0,0.00%,10,2.08%,,0,0.00%,0,0.00%,5,1.04%,198,41.25%,0,0.00%,1,0.21%,0,0.00%,2,0.42%,49,10.21%,0,0.00%,0,0.00%,10,2.08%,89,18.54%,5,1.04%,0,0.00%,0,0.00%,480,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9417,,,,Pct 9417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,43,19.20%,,0,0.00%,5,2.23%,,0,0.00%,0,0.00%,2,0.89%,94,41.96%,0,0.00%,3,1.34%,0,0.00%,0,0.00%,23,10.27%,0,0.00%,0,0.00%,6,2.68%,45,20.09%,2,0.89%,1,0.45%,0,0.00%,224,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,35,25.74%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,53,38.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,12.50%,0,0.00%,0,0.00%,0,0.00%,30,22.06%,1,0.74%,0,0.00%,0,0.00%,136,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,78,21.67%,,0,0.00%,5,1.39%,,0,0.00%,0,0.00%,2,0.56%,147,40.83%,0,0.00%,3,0.83%,0,0.00%,0,0.00%,40,11.11%,0,0.00%,0,0.00%,6,1.67%,75,20.83%,3,0.83%,1,0.28%,0,0.00%,360,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9418,,,,Pct 9418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,32,15.61%,,0,0.00%,8,3.90%,,0,0.00%,0,0.00%,10,4.88%,65,31.71%,0,0.00%,4,1.95%,0,0.00%,0,0.00%,33,16.10%,0,0.00%,0,0.00%,9,4.39%,44,21.46%,0,0.00%,0,0.00%,0,0.00%,205,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,0,0.00%,12,8.16%,,0,0.00%,3,2.04%,,0,0.00%,0,0.00%,0,0.00%,61,41.50%,0,0.00%,2,1.36%,0,0.00%,0,0.00%,21,14.29%,0,0.00%,0,0.00%,0,0.00%,46,31.29%,2,1.36%,0,0.00%,0,0.00%,147,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,0,,Total,0,0.00%,0,0.00%,44,12.50%,,0,0.00%,11,3.13%,,0,0.00%,0,0.00%,10,2.84%,126,35.80%,0,0.00%,6,1.70%,0,0.00%,0,0.00%,54,15.34%,0,0.00%,0,0.00%,9,2.56%,90,25.57%,2,0.57%,0,0.00%,0,0.00%,352,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9419,,,,Pct 9419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,6,0,,Vote by Mail,0,0.00%,1,0.40%,49,19.60%,,0,0.00%,5,2.00%,,0,0.00%,0,0.00%,1,0.40%,77,30.80%,0,0.00%,5,2.00%,0,0.00%,0,0.00%,36,14.40%,0,0.00%,0,0.00%,13,5.20%,61,24.40%,2,0.80%,0,0.00%,0,0.00%,250,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,24,19.35%,,0,0.00%,1,0.81%,,0,0.00%,0,0.00%,1,0.81%,48,38.71%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,13.71%,0,0.00%,0,0.00%,0,0.00%,33,26.61%,0,0.00%,0,0.00%,0,0.00%,124,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,0,,Total,0,0.00%,1,0.27%,73,19.52%,,0,0.00%,6,1.60%,,0,0.00%,0,0.00%,2,0.53%,125,33.42%,0,0.00%,5,1.34%,0,0.00%,0,0.00%,53,14.17%,0,0.00%,0,0.00%,13,3.48%,94,25.13%,2,0.53%,0,0.00%,0,0.00%,374,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9421,,,,Pct 9421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,2,0.81%,0,0.00%,59,23.79%,,0,0.00%,9,3.63%,,0,0.00%,0,0.00%,4,1.61%,79,31.85%,0,0.00%,1,0.40%,0,0.00%,0,0.00%,35,14.11%,0,0.00%,0,0.00%,5,2.02%,53,21.37%,1,0.40%,0,0.00%,0,0.00%,248,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,1,0.65%,0,0.00%,34,21.94%,,0,0.00%,0,0.00%,,0,0.00%,1,0.65%,0,0.00%,69,44.52%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,6.45%,0,0.00%,0,0.00%,0,0.00%,39,25.16%,1,0.65%,0,0.00%,0,0.00%,155,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,3,0.74%,0,0.00%,93,23.08%,,0,0.00%,9,2.23%,,0,0.00%,1,0.25%,4,0.99%,148,36.72%,0,0.00%,1,0.25%,0,0.00%,0,0.00%,45,11.17%,0,0.00%,0,0.00%,5,1.24%,92,22.83%,2,0.50%,0,0.00%,0,0.00%,403,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9422,,,,Pct 9422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,58,20.64%,,0,0.00%,8,2.85%,,0,0.00%,0,0.00%,5,1.78%,110,39.15%,0,0.00%,7,2.49%,0,0.00%,0,0.00%,30,10.68%,0,0.00%,0,0.00%,14,4.98%,49,17.44%,0,0.00%,0,0.00%,0,0.00%,281,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,1,0.52%,0,0.00%,46,23.96%,,0,0.00%,1,0.52%,,0,0.00%,0,0.00%,0,0.00%,72,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,5.73%,0,0.00%,0,0.00%,2,1.04%,57,29.69%,2,1.04%,0,0.00%,0,0.00%,192,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,1,0.21%,0,0.00%,104,21.99%,,0,0.00%,9,1.90%,,0,0.00%,0,0.00%,5,1.06%,182,38.48%,0,0.00%,7,1.48%,0,0.00%,0,0.00%,41,8.67%,0,0.00%,0,0.00%,16,3.38%,106,22.41%,2,0.42%,0,0.00%,0,0.00%,473,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9423,,,,Pct 9423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,1,,Vote by Mail,0,0.00%,0,0.00%,45,18.44%,,0,0.00%,5,2.05%,,0,0.00%,0,0.00%,5,2.05%,92,37.70%,0,0.00%,4,1.64%,0,0.00%,0,0.00%,19,7.79%,0,0.00%,0,0.00%,16,6.56%,55,22.54%,3,1.23%,0,0.00%,0,0.00%,244,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,0,0.00%,0,0.00%,33,20.37%,,0,0.00%,1,0.62%,,0,0.00%,0,0.00%,0,0.00%,84,51.85%,0,0.00%,1,0.62%,0,0.00%,0,0.00%,8,4.94%,0,0.00%,0,0.00%,1,0.62%,34,20.99%,0,0.00%,0,0.00%,0,0.00%,162,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,2,,Total,0,0.00%,0,0.00%,78,19.21%,,0,0.00%,6,1.48%,,0,0.00%,0,0.00%,5,1.23%,176,43.35%,0,0.00%,5,1.23%,0,0.00%,0,0.00%,27,6.65%,0,0.00%,0,0.00%,17,4.19%,89,21.92%,3,0.74%,0,0.00%,0,0.00%,406,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9424,,,,Pct 9424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,50,18.59%,,0,0.00%,13,4.83%,,0,0.00%,0,0.00%,7,2.60%,95,35.32%,0,0.00%,2,0.74%,0,0.00%,0,0.00%,40,14.87%,0,0.00%,1,0.37%,6,2.23%,53,19.70%,1,0.37%,1,0.37%,0,0.00%,269,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,32,21.19%,,0,0.00%,1,0.66%,,0,0.00%,0,0.00%,0,0.00%,66,43.71%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,2.65%,0,0.00%,0,0.00%,1,0.66%,45,29.80%,1,0.66%,1,0.66%,0,0.00%,151,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,0,0.00%,0,0.00%,82,19.52%,,0,0.00%,14,3.33%,,0,0.00%,0,0.00%,7,1.67%,161,38.33%,0,0.00%,2,0.48%,0,0.00%,0,0.00%,44,10.48%,0,0.00%,1,0.24%,7,1.67%,98,23.33%,2,0.48%,2,0.48%,0,0.00%,420,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9425,,,,Pct 9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,1,,Vote by Mail,0,0.00%,0,0.00%,42,18.75%,,0,0.00%,11,4.91%,,0,0.00%,0,0.00%,8,3.57%,74,33.04%,0,0.00%,3,1.34%,0,0.00%,1,0.45%,30,13.39%,0,0.00%,1,0.45%,7,3.13%,42,18.75%,5,2.23%,0,0.00%,0,0.00%,224,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,0,0.00%,31,19.62%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,71,44.94%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,6.96%,0,0.00%,0,0.00%,1,0.63%,43,27.22%,1,0.63%,0,0.00%,0,0.00%,158,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,1,,Total,0,0.00%,0,0.00%,73,19.11%,,0,0.00%,11,2.88%,,0,0.00%,0,0.00%,8,2.09%,145,37.96%,0,0.00%,3,0.79%,0,0.00%,1,0.26%,41,10.73%,0,0.00%,1,0.26%,8,2.09%,85,22.25%,6,1.57%,0,0.00%,0,0.00%,382,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9426,,,,Pct 9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,6,0,,Vote by Mail,0,0.00%,0,0.00%,38,18.10%,,0,0.00%,11,5.24%,,0,0.00%,0,0.00%,3,1.43%,81,38.57%,0,0.00%,5,2.38%,0,0.00%,0,0.00%,20,9.52%,0,0.00%,0,0.00%,5,2.38%,44,20.95%,2,0.95%,1,0.48%,0,0.00%,210,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,22,16.06%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,60,43.80%,0,0.00%,1,0.73%,0,0.00%,0,0.00%,8,5.84%,0,0.00%,0,0.00%,0,0.00%,46,33.58%,0,0.00%,0,0.00%,0,0.00%,137,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,7,0,,Total,0,0.00%,0,0.00%,60,17.29%,,0,0.00%,11,3.17%,,0,0.00%,0,0.00%,3,0.86%,141,40.63%,0,0.00%,6,1.73%,0,0.00%,0,0.00%,28,8.07%,0,0.00%,0,0.00%,5,1.44%,90,25.94%,2,0.58%,1,0.29%,0,0.00%,347,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9427,,,,Pct 9427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,45,18.37%,,0,0.00%,6,2.45%,,0,0.00%,0,0.00%,4,1.63%,77,31.43%,0,0.00%,5,2.04%,0,0.00%,2,0.82%,40,16.33%,0,0.00%,0,0.00%,9,3.67%,54,22.04%,3,1.22%,0,0.00%,0,0.00%,245,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,1,,Election Day,0,0.00%,0,0.00%,22,15.28%,,0,0.00%,1,0.69%,,0,0.00%,0,0.00%,0,0.00%,57,39.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,9.03%,0,0.00%,0,0.00%,1,0.69%,48,33.33%,2,1.39%,0,0.00%,0,0.00%,144,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,1,,Total,0,0.00%,0,0.00%,67,17.22%,,0,0.00%,7,1.80%,,0,0.00%,0,0.00%,4,1.03%,134,34.45%,0,0.00%,5,1.29%,0,0.00%,2,0.51%,53,13.62%,0,0.00%,0,0.00%,10,2.57%,102,26.22%,5,1.29%,0,0.00%,0,0.00%,389,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9428,,,,Pct 9428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,45,18.37%,,0,0.00%,13,5.31%,,0,0.00%,0,0.00%,2,0.82%,85,34.69%,0,0.00%,2,0.82%,0,0.00%,0,0.00%,41,16.73%,0,0.00%,0,0.00%,10,4.08%,45,18.37%,2,0.82%,0,0.00%,0,0.00%,245,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,25,17.01%,,0,0.00%,2,1.36%,,0,0.00%,0,0.00%,2,1.36%,69,46.94%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,8.84%,0,0.00%,0,0.00%,0,0.00%,36,24.49%,0,0.00%,0,0.00%,0,0.00%,147,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,0,0.00%,0,0.00%,70,17.86%,,0,0.00%,15,3.83%,,0,0.00%,0,0.00%,4,1.02%,154,39.29%,0,0.00%,2,0.51%,0,0.00%,0,0.00%,54,13.78%,0,0.00%,0,0.00%,10,2.55%,81,20.66%,2,0.51%,0,0.00%,0,0.00%,392,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9429,,,,Pct 9429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,40,15.94%,,0,0.00%,7,2.79%,,0,0.00%,0,0.00%,7,2.79%,102,40.64%,0,0.00%,3,1.20%,0,0.00%,0,0.00%,36,14.34%,0,0.00%,0,0.00%,12,4.78%,39,15.54%,5,1.99%,0,0.00%,0,0.00%,251,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,25,16.78%,,0,0.00%,1,0.67%,,0,0.00%,1,0.67%,1,0.67%,67,44.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,7.38%,0,0.00%,1,0.67%,0,0.00%,40,26.85%,1,0.67%,1,0.67%,0,0.00%,149,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,0,0.00%,0,0.00%,65,16.25%,,0,0.00%,8,2.00%,,0,0.00%,1,0.25%,8,2.00%,169,42.25%,0,0.00%,3,0.75%,0,0.00%,0,0.00%,47,11.75%,0,0.00%,1,0.25%,12,3.00%,79,19.75%,6,1.50%,1,0.25%,0,0.00%,400,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9431,,,,Pct 9431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,1,,Vote by Mail,0,0.00%,0,0.00%,41,14.64%,,0,0.00%,14,5.00%,,0,0.00%,1,0.36%,9,3.21%,82,29.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,44,15.71%,0,0.00%,1,0.36%,15,5.36%,72,25.71%,1,0.36%,0,0.00%,0,0.00%,280,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,1,0.60%,34,20.36%,,1,0.60%,1,0.60%,,0,0.00%,0,0.00%,0,0.00%,63,37.72%,0,0.00%,1,0.60%,0,0.00%,0,0.00%,14,8.38%,0,0.00%,0,0.00%,0,0.00%,50,29.94%,2,1.20%,0,0.00%,0,0.00%,167,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,1,,Total,0,0.00%,1,0.22%,75,16.78%,,1,0.22%,15,3.36%,,0,0.00%,1,0.22%,9,2.01%,145,32.44%,0,0.00%,1,0.22%,0,0.00%,0,0.00%,58,12.98%,0,0.00%,1,0.22%,15,3.36%,122,27.29%,3,0.67%,0,0.00%,0,0.00%,447,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9432,,,,Pct 9432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,45,16.79%,,0,0.00%,8,2.99%,,0,0.00%,0,0.00%,2,0.75%,83,30.97%,0,0.00%,3,1.12%,0,0.00%,0,0.00%,51,19.03%,0,0.00%,0,0.00%,8,2.99%,66,24.63%,2,0.75%,0,0.00%,0,0.00%,268,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,1,0.72%,0,0.00%,24,17.39%,,0,0.00%,2,1.45%,,0,0.00%,0,0.00%,0,0.00%,57,41.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,10.87%,0,0.00%,0,0.00%,0,0.00%,39,28.26%,0,0.00%,0,0.00%,0,0.00%,138,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,1,0.25%,0,0.00%,69,17.00%,,0,0.00%,10,2.46%,,0,0.00%,0,0.00%,2,0.49%,140,34.48%,0,0.00%,3,0.74%,0,0.00%,0,0.00%,66,16.26%,0,0.00%,0,0.00%,8,1.97%,105,25.86%,2,0.49%,0,0.00%,0,0.00%,406,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9433,,,,Pct 9433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,32,12.70%,,1,0.40%,17,6.75%,,0,0.00%,0,0.00%,6,2.38%,89,35.32%,0,0.00%,3,1.19%,0,0.00%,0,0.00%,28,11.11%,1,0.40%,0,0.00%,13,5.16%,62,24.60%,0,0.00%,0,0.00%,0,0.00%,252,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,0,0.00%,21,19.44%,,0,0.00%,3,2.78%,,0,0.00%,0,0.00%,0,0.00%,41,37.96%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,10.19%,0,0.00%,0,0.00%,0,0.00%,31,28.70%,1,0.93%,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,0,,Total,0,0.00%,0,0.00%,53,14.72%,,1,0.28%,20,5.56%,,0,0.00%,0,0.00%,6,1.67%,130,36.11%,0,0.00%,3,0.83%,0,0.00%,0,0.00%,39,10.83%,1,0.28%,0,0.00%,13,3.61%,93,25.83%,1,0.28%,0,0.00%,0,0.00%,360,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9434,,,,Pct 9434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,63,23.08%,,1,0.37%,3,1.10%,,0,0.00%,0,0.00%,3,1.10%,90,32.97%,0,0.00%,4,1.47%,0,0.00%,0,0.00%,30,10.99%,0,0.00%,1,0.37%,7,2.56%,66,24.18%,3,1.10%,2,0.73%,0,0.00%,273,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,1,0.45%,46,20.63%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,93,41.70%,0,0.00%,1,0.45%,0,0.00%,0,0.00%,14,6.28%,0,0.00%,0,0.00%,0,0.00%,64,28.70%,4,1.79%,0,0.00%,0,0.00%,223,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,0,,Total,0,0.00%,1,0.20%,109,21.98%,,1,0.20%,3,0.60%,,0,0.00%,0,0.00%,3,0.60%,183,36.90%,0,0.00%,5,1.01%,0,0.00%,0,0.00%,44,8.87%,0,0.00%,1,0.20%,7,1.41%,130,26.21%,7,1.41%,2,0.40%,0,0.00%,496,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9435,,,,Pct 9435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,1,,Vote by Mail,0,0.00%,0,0.00%,44,17.39%,,0,0.00%,9,3.56%,,0,0.00%,0,0.00%,5,1.98%,110,43.48%,0,0.00%,4,1.58%,0,0.00%,0,0.00%,31,12.25%,0,0.00%,0,0.00%,5,1.98%,44,17.39%,1,0.40%,0,0.00%,0,0.00%,253,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,4,0,,Election Day,0,0.00%,1,0.55%,39,21.55%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,72,39.78%,0,0.00%,1,0.55%,0,0.00%,0,0.00%,25,13.81%,0,0.00%,0,0.00%,0,0.00%,43,23.76%,0,0.00%,0,0.00%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,7,1,,Total,0,0.00%,1,0.23%,83,19.12%,,0,0.00%,9,2.07%,,0,0.00%,0,0.00%,5,1.15%,182,41.94%,0,0.00%,5,1.15%,0,0.00%,0,0.00%,56,12.90%,0,0.00%,0,0.00%,5,1.15%,87,20.05%,1,0.23%,0,0.00%,0,0.00%,434,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9436,,,,Pct 9436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,34,12.32%,,0,0.00%,18,6.52%,,0,0.00%,0,0.00%,3,1.09%,115,41.67%,1,0.36%,2,0.72%,0,0.00%,0,0.00%,47,17.03%,0,0.00%,0,0.00%,10,3.62%,45,16.30%,1,0.36%,0,0.00%,0,0.00%,276,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
