COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREF. - DEM,Democratic, , , ,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JULIAN CASTRO,MICHAEL A ELLINGER,ELIZABETH WARREN,M WILLIAMSON,ANDREW YANG,R DE LA FUENTE III,JOHN K DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,M R BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R BIDEN,TULSI GABBARD,MARK S GREENSTEIN,
ALHAMBRA,0150039A,26,193,N, ,VBM PORTION,207,0,0,19,0,5,1,0,2,109,0,4,0,0,22,0,0,5,20,1,0, 
ALHAMBRA,0150039A,26,193,N,1029,TOTAL,458,0,1,42,0,7,2,0,2,241,0,9,0,0,42,0,0,6,83,1,0, 
ALHAMBRA,0150042B,27,193,N, ,POLLING PLACE,230,0,0,19,0,1,0,0,0,105,0,2,0,0,16,0,0,2,81,2,0, 
ALHAMBRA,0150042B,27,193,N, ,VBM PORTION,202,0,0,19,0,4,0,1,4,86,0,2,0,0,18,0,0,11,54,0,0, 
ALHAMBRA,0150042B,27,193,N,925,TOTAL,432,0,0,38,0,5,0,1,4,191,0,4,0,0,34,0,0,13,135,2,0, 
ALHAMBRA,0150044D,28,193,N, ,POLLING PLACE,231,0,0,19,0,2,0,0,1,124,2,3,0,1,13,0,0,3,55,0,1, 
ALHAMBRA,0150044D,28,193,N, ,VBM PORTION,196,2,0,19,0,9,0,0,1,87,0,6,0,1,21,0,0,5,32,6,0, 
ALHAMBRA,0150044D,28,193,N,967,TOTAL,427,2,0,38,0,11,0,0,2,211,2,9,0,2,34,0,0,8,87,6,1, 
ALHAMBRA,0150045A,29,193,N, ,POLLING PLACE,224,0,0,24,0,5,0,1,1,92,0,1,0,0,29,0,0,2,65,0,0, 
ALHAMBRA,0150045A,29,193,N, ,VBM PORTION,206,1,0,35,0,6,0,0,3,58,1,3,0,0,43,0,0,4,45,0,0, 
ALHAMBRA,0150045A,29,193,N,905,TOTAL,430,1,0,59,0,11,0,1,4,150,1,4,0,0,72,0,0,6,110,0,0, 
ALHAMBRA,0150051A,30,193,N, ,POLLING PLACE,190,0,0,18,0,4,0,0,0,103,1,2,0,0,14,0,0,2,37,2,0, 
ALHAMBRA,0150051A,30,193,N, ,VBM PORTION,208,1,0,20,0,13,0,0,7,73,0,4,0,0,27,0,0,11,42,2,0, 
ALHAMBRA,0150051A,30,193,N,861,TOTAL,398,1,0,38,0,17,0,0,7,176,1,6,0,0,41,0,0,13,79,4,0, 
ALHAMBRA,0150055A,31,193,N, ,POLLING PLACE,268,1,0,18,0,1,0,0,6,127,3,6,0,0,10,0,0,2,87,1,0, 
ALHAMBRA,0150055A,31,193,N, ,VBM PORTION,218,0,0,17,0,7,0,1,3,86,0,12,0,0,26,0,0,7,52,2,0, 
ALHAMBRA,0150055A,31,193,N,914,TOTAL,486,1,0,35,0,8,0,1,9,213,3,18,0,0,36,0,0,9,139,3,0, 
ALHAMBRA,0150059A,32,193,N, ,POLLING PLACE,187,0,0,11,0,3,0,0,4,96,0,1,0,0,24,0,0,0,47,0,0, 
ALHAMBRA,0150059A,32,193,N, ,VBM PORTION,162,0,0,25,0,6,0,0,0,62,0,7,0,0,16,0,0,5,32,1,0, 
ALHAMBRA,0150059A,32,193,N,838,TOTAL,349,0,0,36,0,9,0,0,4,158,0,8,0,0,40,0,0,5,79,1,0, 
ALHAMBRA,0150063A,33,193,N, ,POLLING PLACE,238,0,0,27,0,2,0,0,0,116,0,5,0,0,12,0,0,0,74,0,0, 
ALHAMBRA,0150063A,33,193,N, ,VBM PORTION,202,0,0,15,0,8,0,0,2,88,0,3,0,0,17,0,1,7,50,3,0, 
ALHAMBRA,0150063A,33,193,N,864,TOTAL,440,0,0,42,0,10,0,0,2,204,0,8,0,0,29,0,1,7,124,3,0, 
ALHAMBRA,0150065A,34,193,N, ,POLLING PLACE,310,0,0,20,0,1,0,0,0,153,1,7,0,1,28,0,0,2,85,2,0, 
ALHAMBRA,0150065A,34,193,N, ,VBM PORTION,262,3,0,22,0,3,1,0,4,98,0,6,0,0,29,0,0,7,80,2,0, 
ALHAMBRA,0150065A,34,193,N,1046,TOTAL,572,3,0,42,0,4,1,0,4,251,1,13,0,1,57,0,0,9,165,4,0, 
ALHAMBRA,0150067A,35,193,N, ,POLLING PLACE,312,0,0,35,0,1,0,1,1,135,2,8,0,0,31,0,0,2,90,1,0, 
ALHAMBRA,0150067A,35,193,N, ,VBM PORTION,239,0,0,31,1,16,0,0,4,84,0,3,0,0,32,0,0,4,57,0,0, 
ALHAMBRA,0150067A,35,193,N,917,TOTAL,551,0,0,66,1,17,0,1,5,219,2,11,0,0,63,0,0,6,147,1,0, 
ALHAMBRA,0150079A,36,193,N, ,POLLING PLACE,241,1,0,28,0,0,0,0,2,107,2,5,0,0,19,0,0,1,65,2,0, 
ALHAMBRA,0150079A,36,193,N, ,VBM PORTION,238,0,0,28,1,11,0,0,4,81,0,8,0,0,30,0,0,11,53,0,0, 
ALHAMBRA,0150079A,36,193,N,971,TOTAL,479,1,0,56,1,11,0,0,6,188,2,13,0,0,49,0,0,12,118,2,0, 
ALONDRA PARK,0180001A,37,399,N, ,POLLING PLACE,108,0,1,8,3,1,0,1,0,67,0,0,0,1,4,0,0,0,22,0,0, 
ALONDRA PARK,0180001A,37,399,N, ,VBM PORTION,95,0,0,9,0,5,0,0,0,45,0,2,0,0,7,0,0,1,20,1,0, 
ALONDRA PARK,0180001A,37,399,N,603,TOTAL,203,0,1,17,3,6,0,1,0,112,0,2,0,1,11,0,0,1,42,1,0, 
ALTADENA,0200003A,38,85,N, ,POLLING PLACE,545,9,1,108,1,0,0,1,2,167,0,2,0,0,26,0,0,7,216,2,0, 
ALTADENA,0200003A,38,85,N, ,VBM PORTION,431,0,0,89,1,1,0,1,2,128,0,11,0,1,36,0,1,16,127,0,0, 
ALTADENA,0200003A,38,85,N,1467,TOTAL,976,9,1,197,2,1,0,2,4,295,0,13,0,1,62,0,1,23,343,2,0, 
ALTADENA,0200005A,39,85,N, ,POLLING PLACE,570,1,1,86,5,2,0,1,2,172,0,3,0,1,22,0,1,5,260,1,0, 
ALTADENA,0200005A,39,85,N, ,VBM PORTION,409,1,0,97,0,0,0,0,10,99,0,2,0,0,57,0,0,12,128,0,1, 
ALTADENA,0200005A,39,85,N,1265,TOTAL,979,2,1,183,5,2,0,1,12,271,0,5,0,1,79,0,1,17,388,1,1, 
ALTADENA,0200008B,40,85,N, ,POLLING PLACE,473,10,3,78,2,1,0,1,3,156,0,2,0,0,32,0,0,2,174,0,0, 
