,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Election Day,23,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,23,7,30.4347826086957%,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0
Canvass,23,17,73.9130434782609%,0,0,2,0,0,0,0,1,4,0,0,0,0,2,0,0,0,8,0,0,17,0,0,0,0,0,0,0
Total,23,24,104.347826086957%,0,0,3,0,0,0,0,1,4,0,0,0,0,6,0,0,1,8,0,0,23,0,0,0,0,0,0,0
1039  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,29,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,29,12,41.3793103448276%,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,4,2,0,0,12,0,0,0,0,0,0,0
Canvass,29,15,51.7241379310345%,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,7,0,0,15,0,0,0,0,0,0,0
Total,29,27,93.1034482758621%,0,0,5,0,0,0,0,0,1,0,0,0,0,7,0,0,5,9,0,0,27,0,0,0,0,0,0,0
1041  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,15,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,15,7,46.6666666666667%,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0
Canvass,15,7,46.6666666666667%,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0
Total,15,14,93.3333333333333%,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,5,0,0,14,0,0,0,0,0,0,0
1043  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,7,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,7,4,57.1428571428571%,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0
Canvass,7,1,14.2857142857143%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Total,7,5,71.4285714285714%,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0
1044  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
