,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Total,987,632,64.03242147923%,2,0,77,0,3,0,0,12,291,0,11,1,3,63,0,1,34,123,2,1,624,0,0,0,0,0,0,0
7313  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,94,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,94,40,42.5531914893617%,0,0,5,0,1,0,0,1,11,0,1,0,0,7,0,0,8,4,1,0,39,0,0,0,0,0,0,0
Canvass,94,35,37.2340425531915%,0,0,2,0,0,0,0,0,19,0,1,0,0,1,0,0,0,11,0,0,34,0,0,0,0,0,0,0
Total,94,75,79.7872340425532%,0,0,7,0,1,0,0,1,30,0,2,0,0,8,0,0,8,15,1,0,73,0,0,0,0,0,0,0
7314  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,16,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,16,4,25%,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0
Canvass,16,8,50%,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0
Total,16,12,75%,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,1,1,1,0,12,0,0,0,0,0,0,0
7315  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,120,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,120,29,24.1666666666667%,0,0,3,0,0,0,0,1,7,0,4,0,0,4,0,0,1,6,1,0,27,0,0,0,0,0,0,0
Canvass,120,47,39.1666666666667%,0,0,2,0,0,0,0,1,23,0,2,0,0,5,0,0,2,11,0,0,46,0,0,0,0,0,0,0
Total,120,76,63.3333333333333%,0,0,5,0,0,0,0,2,30,0,6,0,0,9,0,0,3,17,1,0,73,0,0,0,0,0,0,0
7316  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,106,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,106,24,22.6415094339623%,0,0,3,0,0,0,0,4,10,0,2,0,0,0,0,0,2,3,0,0,24,0,0,0,0,0,0,0
Canvass,106,40,37.7358490566038%,0,0,6,0,0,0,0,0,23,0,0,0,0,0,0,0,1,8,0,0,38,0,0,0,0,0,0,0
Total,106,64,60.377358490566%,0,0,9,0,0,0,0,4,33,0,2,0,0,0,0,0,3,11,0,0,62,0,0,0,0,0,0,0
7317  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,11,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,11,3,27.2727272727273%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
Canvass,11,8,72.7272727272727%,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,8,0,0,0,0,0,0,0
Total,11,11,100%,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,0,2,1,0,0,11,0,0,0,0,0,0,0
7318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1304,179,13.7269938650307%,0,0,24,1,0,0,0,0,65,0,0,0,0,13,0,0,0,75,0,0,178,0,0,0,0,0,0,0
Vote by Mail,1304,416,31.9018404907975%,1,0,51,0,0,0,2,18,75,0,20,0,2,112,0,2,48,74,2,0,407,0,0,0,0,0,0,0
Canvass,1304,492,37.7300613496933%,0,0,65,0,1,0,0,9,173,0,7,0,0,47,1,1,8,170,3,0,485,0,0,0,0,0,0,0
Total,1304,1087,83.3588957055215%,1,0,140,1,1,0,2,27,313,0,27,0,2,172,1,3,56,319,5,0,1070,0,0,0,0,0,0,0
7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,878,213,24.2596810933941%,1,0,51,0,1,0,0,0,86,0,0,0,0,7,0,0,0,64,1,0,211,0,0,0,0,0,0,0
Vote by Mail,878,237,26.9931662870159%,0,0,49,1,5,0,0,19,72,0,6,0,0,36,0,0,27,20,2,0,237,0,0,0,0,0,0,0
Canvass,878,343,39.0660592255125%,0,0,74,0,0,0,0,5,146,0,2,0,0,19,0,0,10,81,2,0,339,0,0,0,0,0,0,0
Total,878,793,90.3189066059226%,1,0,174,1,6,0,0,24,304,0,8,0,0,62,0,0,37,165,5,0,787,0,0,0,0,0,0,0
7401  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,86,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,86,28,32.5581395348837%,0,0,2,0,0,0,0,2,8,0,0,0,0,7,0,0,4,4,1,0,28,0,0,0,0,0,0,0
Canvass,86,45,52.3255813953488%,0,0,4,0,0,0,0,0,16,0,0,0,0,7,0,0,1,12,3,0,43,0,0,0,0,0,0,0
Total,86,73,84.8837209302326%,0,0,6,0,0,0,0,2,24,0,0,0,0,14,0,0,5,16,4,0,71,0,0,0,0,0,0,0
7402  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,40,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,40,21,52.5%,0,0,2,0,0,0,0,4,3,0,1,0,0,1,0,1,7,2,0,0,21,0,0,0,0,0,0,0
Canvass,40,15,37.5%,0,0,2,0,0,0,0,0,3,0,0,0,0,4,0,0,3,2,0,0,14,0,0,0,0,0,0,0
Total,40,36,90%,0,0,4,0,0,0,0,4,6,0,1,0,0,5,0,1,10,4,0,0,35,0,0,0,0,0,0,0
7403  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,62,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,62,20,32.258064516129%,0,0,1,0,0,0,0,1,6,0,1,0,0,3,0,1,4,3,0,0,20,0,0,0,0,0,0,0
Canvass,62,32,51.6129032258065%,0,0,2,1,0,0,0,1,4,0,0,0,0,3,0,0,3,16,0,0,30,0,0,0,0,0,0,0
Total,62,52,83.8709677419355%,0,0,3,1,0,0,0,2,10,0,1,0,0,6,0,1,7,19,0,0,50,0,0,0,0,0,0,0
7404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,191,22,11.5183246073298%,0,0,5,0,0,0,0,0,6,0,1,0,0,2,0,0,1,5,0,0,20,0,0,0,0,0,0,0
Vote by Mail,191,53,27.7486910994764%,0,0,8,0,0,1,0,6,8,0,1,0,0,10,0,0,7,10,1,0,52,0,0,0,0,0,0,0
Canvass,191,93,48.6910994764398%,0,0,16,0,2,0,0,3,29,0,0,0,0,13,0,0,8,21,0,0,92,0,0,0,0,0,0,0
Total,191,168,87.9581151832461%,0,0,29,0,2,1,0,9,43,0,2,0,0,25,0,0,16,36,1,0,164,0,0,0,0,0,0,0
7405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,556,88,15.8273381294964%,0,0,11,0,0,0,0,1,24,0,2,0,0,7,0,0,0,38,3,0,86,0,0,0,0,0,0,0
Vote by Mail,556,190,34.1726618705036%,1,0,25,0,0,0,0,23,44,0,17,0,0,35,0,0,27,7,4,0,183,0,0,0,0,0,0,0
Canvass,556,211,37.9496402877698%,0,0,37,0,1,0,0,9,60,0,6,0,0,13,0,0,9,74,0,0,209,0,0,0,0,0,0,0
Total,556,489,87.9496402877698%,1,0,73,0,1,0,0,33,128,0,25,0,0,55,0,0,36,119,7,0,478,0,0,0,0,0,0,0
7406  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,56,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,56,16,28.5714285714286%,0,0,1,0,0,0,0,2,4,0,0,0,0,6,0,0,2,1,0,0,16,0,0,0,0,0,0,0
Canvass,56,35,62.5%,0,0,3,0,0,0,0,0,9,0,0,0,0,8,0,0,0,14,0,0,34,0,0,0,0,0,0,0
Total,56,51,91.0714285714286%,0,0,4,0,0,0,0,2,13,0,0,0,0,14,0,0,2,15,0,0,50,0,0,0,0,0,0,0
7407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,218,19,8.71559633027523%,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,0,0,0,0
Vote by Mail,218,67,30.7339449541284%,0,0,10,0,0,0,0,8,14,0,3,0,0,11,0,0,10,9,0,0,65,0,0,0,0,0,0,0
Canvass,218,112,51.3761467889908%,1,0,6,0,0,0,0,1,37,0,3,0,0,15,0,0,2,45,1,0,111,0,0,0,0,0,0,0
Total,218,198,90.8256880733945%,1,0,20,0,0,0,0,9,60,0,6,0,0,26,0,0,12,60,1,0,195,0,0,0,0,0,0,0
7408  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,111,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,111,40,36.036036036036%,0,0,5,0,1,0,0,6,9,0,2,0,0,10,0,0,5,2,0,0,40,0,0,0,0,0,0,0
Canvass,111,60,54.0540540540541%,0,0,7,0,0,0,0,2,19,0,0,0,0,5,0,0,3,22,1,0,59,0,0,0,0,0,0,0
Total,111,100,90.0900900900901%,0,0,12,0,1,0,0,8,28,0,2,0,0,15,0,0,8,24,1,0,99,0,0,0,0,0,0,0
7409  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,17,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,17,3,17.6470588235294%,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Canvass,17,10,58.8235294117647%,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,0,0,10,0,0,0,0,0,0,0
Total,17,13,76.4705882352941%,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,2,6,0,0,13,0,0,0,0,0,0,0
7410  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,8,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,8,2,25%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
Canvass,8,6,75%,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0
Total,8,8,100%,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0
7411  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,103,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,103,39,37.8640776699029%,0,0,4,0,0,0,0,5,3,0,3,0,0,18,0,0,4,2,0,0,39,0,0,0,0,0,0,0
Canvass,103,58,56.3106796116505%,0,0,7,0,0,0,0,1,11,0,0,0,0,13,0,0,2,24,0,0,58,0,0,0,0,0,0,0
Total,103,97,94.1747572815534%,0,0,11,0,0,0,0,6,14,0,3,0,0,31,0,0,6,26,0,0,97,0,0,0,0,0,0,0
7412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,261,57,21.8390804597701%,0,0,9,0,1,0,0,1,24,0,0,0,0,1,0,0,0,19,0,0,55,0,0,0,0,0,0,0
Vote by Mail,261,84,32.183908045977%,0,0,9,1,3,0,0,4,15,0,6,0,0,20,0,0,15,6,1,0,80,0,0,0,0,0,0,0
Canvass,261,92,35.2490421455939%,0,0,14,0,1,0,0,0,27,0,3,0,0,5,0,0,3,35,0,0,88,0,0,0,0,0,0,0
Total,261,233,89.272030651341%,0,0,32,1,5,0,0,5,66,0,9,0,0,26,0,0,18,60,1,0,223,0,0,0,0,0,0,0
7413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,952,110,11.5546218487395%,0,0,8,0,0,0,0,2,51,0,0,0,0,5,0,0,0,39,3,0,108,0,0,0,0,0,0,0
Vote by Mail,952,277,29.0966386554622%,1,0,37,2,3,0,0,10,77,0,9,0,0,62,0,0,31,35,0,1,268,0,0,0,0,0,0,0
Canvass,952,360,37.8151260504202%,0,0,40,1,0,0,0,10,120,0,9,0,0,44,0,0,11,117,0,0,352,0,0,0,0,0,0,0
Total,952,747,78.4663865546219%,1,0,85,3,3,0,0,22,248,0,18,0,0,111,0,0,42,191,3,1,728,0,0,0,0,0,0,0
7414  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,27,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,27,15,55.5555555555556%,0,0,4,0,0,0,0,1,5,0,0,0,0,4,0,0,1,0,0,0,15,0,0,0,0,0,0,0
Canvass,27,11,40.7407407407407%,0,0,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,11,0,0,0,0,0,0,0
Total,27,26,96.2962962962963%,0,0,7,0,0,0,0,1,10,0,0,0,0,5,0,0,1,2,0,0,26,0,0,0,0,0,0,0
7415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,574,79,13.7630662020906%,0,0,16,0,1,0,0,2,18,0,0,0,0,9,0,0,0,33,0,0,79,0,0,0,0,0,0,0
Vote by Mail,574,225,39.198606271777%,0,0,34,1,1,0,0,23,43,0,3,0,0,59,0,0,22,32,1,0,219,0,0,0,0,0,0,0
Canvass,574,220,38.3275261324042%,0,0,32,1,2,0,0,10,58,0,4,0,0,39,0,0,8,65,0,0,219,0,0,0,0,0,0,0
Total,574,524,91.2891986062718%,0,0,82,2,4,0,0,35,119,0,7,0,0,107,0,0,30,130,1,0,517,0,0,0,0,0,0,0
7416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,378,55,14.5502645502645%,0,0,9,0,0,0,0,0,22,0,0,0,0,2,0,0,0,20,0,0,53,0,0,0,0,0,0,0
Vote by Mail,378,148,39.1534391534392%,0,0,15,0,1,0,0,6,37,0,16,0,0,32,0,0,15,22,1,0,145,0,0,0,0,0,0,0
Canvass,378,115,30.4232804232804%,1,0,18,0,0,0,0,2,33,0,6,0,0,10,0,0,5,36,0,0,111,0,0,0,0,0,0,0
Total,378,318,84.1269841269841%,1,0,42,0,1,0,0,8,92,0,22,0,0,44,0,0,20,78,1,0,309,0,0,0,0,0,0,0
7417  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,9,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,9,6,66.6666666666667%,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Canvass,9,3,33.3333333333333%,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Total,9,9,100%,0,0,1,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0
7418  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,35,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,35,14,40%,0,0,1,0,0,0,0,0,6,0,0,0,0,5,0,0,1,1,0,0,14,0,0,0,0,0,0,0
Canvass,35,13,37.1428571428571%,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,6,0,0,13,0,0,0,0,0,0,0
Total,35,27,77.1428571428572%,0,0,1,0,0,0,0,1,9,0,0,0,0,8,0,0,1,7,0,0,27,0,0,0,0,0,0,0
7419  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,41,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,41,18,43.9024390243903%,0,0,1,0,0,0,0,2,8,0,0,0,0,4,0,0,2,1,0,0,18,0,0,0,0,0,0,0
Canvass,41,16,39.0243902439024%,0,0,2,0,0,0,0,0,9,0,0,0,0,1,0,0,1,3,0,0,16,0,0,0,0,0,0,0
Total,41,34,82.9268292682927%,0,0,3,0,0,0,0,2,17,0,0,0,0,5,0,0,3,4,0,0,34,0,0,0,0,0,0,0
7420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,862,124,14.385150812065%,0,0,19,0,0,0,0,0,41,0,1,0,0,6,0,0,0,55,0,0,122,0,0,0,0,0,0,0
Vote by Mail,862,203,23.5498839907193%,0,0,18,0,4,0,0,15,56,0,8,0,1,40,0,0,23,32,1,0,198,0,0,0,0,0,0,0
Canvass,862,371,43.0394431554524%,0,0,63,0,1,1,0,6,138,0,5,0,0,33,0,0,6,113,1,0,367,0,0,0,0,0,0,0
Total,862,698,80.9744779582367%,0,0,100,0,5,1,0,21,235,0,14,0,1,79,0,0,29,200,2,0,687,0,0,0,0,0,0,0
7421  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7422  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,22,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,22,6,27.2727272727273%,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,6,0,0,0,0,0,0,0
Canvass,22,7,31.8181818181818%,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0
Total,22,13,59.0909090909091%,0,0,1,0,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,13,0,0,0,0,0,0,0
7423  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,42,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,42,17,40.4761904761905%,0,0,0,0,0,0,0,1,5,0,0,0,0,7,0,0,2,2,0,0,17,0,0,0,0,0,0,0
Canvass,42,16,38.0952380952381%,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,3,8,0,0,16,0,0,0,0,0,0,0
Total,42,33,78.5714285714286%,0,0,3,0,0,0,0,2,5,0,0,0,0,8,0,0,5,10,0,0,33,0,0,0,0,0,0,0
7424  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,3,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,3,1,33.3333333333333%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Canvass,3,1,33.3333333333333%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Total,3,2,66.6666666666667%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7425  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,32,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,32,11,34.375%,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,4,2,1,0,11,0,0,0,0,0,0,0
Canvass,32,13,40.625%,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,2,3,0,0,12,0,0,0,0,0,0,0
Total,32,24,75%,0,0,2,0,0,0,0,1,6,0,0,0,0,2,0,0,6,5,1,0,23,0,0,0,0,0,0,0
7426  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,74,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,74,29,39.1891891891892%,0,0,7,0,1,0,0,3,10,0,1,0,0,3,0,0,1,2,0,0,28,0,0,0,0,0,0,0
Canvass,74,27,36.4864864864865%,0,1,0,0,0,0,0,0,6,0,1,0,0,4,0,0,1,8,2,0,23,0,0,0,0,0,0,0
Total,74,56,75.6756756756757%,0,1,7,0,1,0,0,3,16,0,2,0,0,7,0,0,2,10,2,0,51,0,0,0,0,0,0,0
7427  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,87,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,87,24,27.5862068965517%,0,0,4,0,0,0,0,4,5,0,0,0,0,5,0,0,1,0,2,0,21,0,0,0,0,0,0,0
Canvass,87,43,49.4252873563218%,0,0,2,0,0,0,0,1,16,0,2,0,0,4,0,0,0,14,0,0,39,0,0,0,0,0,0,0
Total,87,67,77.0114942528736%,0,0,6,0,0,0,0,5,21,0,2,0,0,9,0,0,1,14,2,0,60,0,0,0,0,0,0,0
7428  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,131,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,131,46,35.1145038167939%,0,0,1,0,0,0,0,4,13,0,2,0,0,13,0,1,2,5,3,0,44,0,0,0,0,0,0,0
Canvass,131,74,56.4885496183206%,0,0,16,0,1,0,0,3,26,0,0,0,0,7,0,0,2,19,0,0,74,0,0,0,0,0,0,0
Total,131,120,91.6030534351145%,0,0,17,0,1,0,0,7,39,0,2,0,0,20,0,1,4,24,3,0,118,0,0,0,0,0,0,0
7429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,461,86,18.6550976138829%,0,0,13,0,0,0,0,0,26,0,1,0,0,15,0,0,1,29,1,0,86,0,0,0,0,0,0,0
Vote by Mail,461,148,32.1041214750542%,0,0,10,0,1,0,0,21,30,0,5,0,0,40,0,0,18,17,0,0,142,0,0,0,0,0,0,0
Canvass,461,166,36.0086767895879%,0,0,20,0,1,0,0,7,38,0,4,0,0,19,0,0,8,65,0,0,162,0,0,0,0,0,0,0
Total,461,400,86.767895878525%,0,0,43,0,2,0,0,28,94,0,10,0,0,74,0,0,27,111,1,0,390,0,0,0,0,0,0,0
7430  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,127,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,127,40,31.496062992126%,0,0,3,0,0,0,0,4,7,0,3,0,0,7,0,0,9,7,0,0,40,0,0,0,0,0,0,0
Canvass,127,65,51.1811023622047%,0,0,8,0,0,0,0,0,18,0,1,0,0,7,0,0,6,23,0,0,63,0,0,0,0,0,0,0
Total,127,105,82.6771653543307%,0,0,11,0,0,0,0,4,25,0,4,0,0,14,0,0,15,30,0,0,103,0,0,0,0,0,0,0
7431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1015,126,12.4137931034483%,3,0,13,0,0,0,0,0,64,0,0,0,0,4,0,0,1,38,1,0,124,0,0,0,0,0,0,0
Vote by Mail,1015,260,25.615763546798%,0,0,37,0,1,1,0,17,63,0,11,0,0,51,0,1,34,38,0,0,254,0,0,0,0,0,0,0
Canvass,1015,389,38.3251231527094%,0,0,50,0,2,0,0,6,153,0,9,0,1,29,0,1,7,118,5,0,381,0,0,0,0,0,0,0
Total,1015,775,76.3546798029557%,3,0,100,0,3,1,0,23,280,0,20,0,1,84,0,2,42,194,6,0,759,0,0,0,0,0,0,0
7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,966,141,14.5962732919255%,0,0,12,0,0,0,0,0,39,0,1,0,0,18,0,1,0,66,2,0,139,0,0,0,0,0,0,0
Vote by Mail,966,327,33.8509316770186%,0,0,33,0,2,0,1,28,78,0,24,0,0,64,0,0,32,58,1,0,321,0,0,0,0,0,0,0
Canvass,966,359,37.1635610766046%,0,0,29,1,0,0,0,15,136,0,1,0,0,37,0,0,13,118,3,0,353,0,0,0,0,0,0,0
Total,966,827,85.6107660455487%,0,0,74,1,2,0,1,43,253,0,26,0,0,119,0,1,45,242,6,0,813,0,0,0,0,0,0,0
7433  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,426,111,26.056338028169%,0,0,17,0,0,0,0,1,33,0,1,0,0,8,0,0,0,50,0,0,110,0,0,0,0,0,0,0
Vote by Mail,426,143,33.5680751173709%,0,1,10,0,0,1,0,11,28,0,8,0,0,36,0,0,22,23,0,0,140,0,0,0,0,0,0,0
Canvass,426,156,36.6197183098592%,0,0,17,0,2,1,0,5,63,0,1,0,0,10,0,0,5,47,0,0,151,0,0,0,0,0,0,0
Total,426,410,96.2441314553991%,0,1,44,0,2,2,0,17,124,0,10,0,0,54,0,0,27,120,0,0,401,0,0,0,0,0,0,0
7435  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
