Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference LIB,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,JO JORGENSEN,DAN BEHRMAN,,ERIK CHASE GERHARDT,Write In,Sorinne  Ardeleanu,Nicholas D'Artagnan Dumas,Geby Eva Espinosa,James Orlando Ogle,,
20150,Vote by Mail,13,6,46.15 %,,,1,,,,1,,,,,,
20150,Polling Place,13,2,15.38 %,,,,,,,,,,,,,
20150,Total,13,8,61.54 %,,,1,,,,1,,,,,,
20221,Vote by Mail,14,5,35.71 %,,,,,,,,,,,,,
20221,Polling Place,14,1,7.14 %,,,,,,,,,,,,,
20221,Total,14,6,42.86 %,,,,,,,,,,,,,
20232,Vote by Mail,11,3,27.27 %,,,,,,,1,,,,,,
20232,Polling Place,11,3,27.27 %,,,,,,,2,,,,,,
20232,Total,11,6,54.55 %,,,,,,,3,,,,,,
20241,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,
20241,Polling Place,1,0,0.00 %,,,,,,,,,,,,,
20241,Total,1,0,0.00 %,,,,,,,,,,,,,
20242,Vote by Mail,14,2,14.29 %,,,,1,,,,,,,,,
20242,Polling Place,14,2,14.29 %,,,,1,,,,,,,,,
20242,Total,14,4,28.57 %,,,,2,,,,,,,,,
20251,Vote by Mail,14,3,21.43 %,,,,,,,,,,,,,
20251,Polling Place,14,1,7.14 %,,,,,,,,,,,,,
20251,Total,14,4,28.57 %,,,,,,,,,,,,,
20253,Vote by Mail,0,0,,,,,,,,,,,,,,
20253,Polling Place,0,0,,,,,,,,,,,,,,
20253,Total,0,0,,,,,,,,,,,,,,
20260,Vote by Mail,10,2,20.00 %,,,,,,,1,,,,,,
20260,Polling Place,10,2,20.00 %,,,,,,,,,,,,,
20260,Total,10,4,40.00 %,,,,,,,1,,,,,,
20280,Vote by Mail,19,8,42.11 %,,,,,,,1,,,,,,
