Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1 Presidential Preference AIP,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,PHIL COLLINS,"ROQUE ""ROCKY"" DE LA FUENTE",,CHARLES KRAUT,J.R. MYERS,DON BLANKENSHIP,Write In,,
50521,Total,13,9,69.23 %,,,1,,,,1,2,3,,
51010,Vote by Mail,43,10,23.26 %,,,,,,,,,5,,
51010,Polling Place,43,3,6.98 %,,,1,2,,,,,,,
51010,Total,43,13,30.23 %,,,1,2,,,,,5,,
51080,Vote by Mail,25,9,36.00 %,,,1,,,,,,6,,
51080,Polling Place,25,0,0.00 %,,,,,,,,,,,
51080,Total,25,9,36.00 %,,,1,,,,,,6,,
51090,Vote by Mail,35,12,34.29 %,,,,,,,,,5,,
51090,Polling Place,35,7,20.00 %,,,,,,,2,,3,,
51090,Total,35,19,54.29 %,,,,,,,2,,8,,
51620,Vote by Mail,2,2,100.00 %,,,,,,,,,1,,
51620,Polling Place,2,0,0.00 %,,,,,,,,,,,
51620,Total,2,2,100.00 %,,,,,,,,,1,,
54010,Vote by Mail,33,11,33.33 %,,,,,,,,,8,,
54010,Polling Place,33,4,12.12 %,,,,,,1,1,,1,,
54010,Total,33,15,45.45 %,,,,,,1,1,,9,,
54020,Vote by Mail,16,7,43.75 %,,,1,,,,,,1,,
54020,Polling Place,16,1,6.25 %,,,,,,,,,,,
54020,Total,16,8,50.00 %,,,1,,,,,,1,,
54031,Vote by Mail,43,9,20.93 %,,,,,,,1,,5,,
54031,Polling Place,43,3,6.98 %,,,,,,,,,,,
54031,Total,43,12,27.91 %,,,,,,,1,,5,,
54051,Vote by Mail,45,13,28.89 %,,,,,,,2,,5,,
54051,Polling Place,45,8,17.78 %,,,4,,,,,,1,,
54051,Total,45,21,46.67 %,,,4,,,,2,,6,,
54061,Vote by Mail,33,9,27.27 %,,,,1,,,1,,4,,
54061,Polling Place,33,6,18.18 %,,,1,,,,,1,2,,
54061,Total,33,15,45.45 %,,,1,1,,,1,1,6,,
54070,Vote by Mail,46,21,45.65 %,,,1,,,,1,1,10,,
54070,Polling Place,46,6,13.04 %,,,2,1,,,,,2,,
54070,Total,46,27,58.70 %,,,3,1,,,1,1,12,,
,,,,,,,,,,,,,,,
Total - Vote by Mail,,3875,1378,35.56 %,,,94,50,,41,52,58,578,,
Total - Polling Place,,3875,381,9.83 %,,,50,15,,17,17,28,105,,
Contest Total,,3875,1759,45.39 %,,,144,65,,58,69,86,683,,
