Santa Cruz,,,,,,,,,Precinct Canvass,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1 Presidential Preference PAF,,,,,,,,,,
,,,,,,,1,1,,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,HOWIE HAWKINS,GLORIA LA RIVA,,Write In,,
31140,Vote by Mail,5,1,20.00 %,,,,1,,,,
31140,Polling Place,5,1,20.00 %,,,,,,1,,
31140,Total,5,2,40.00 %,,,,1,,1,,
31150,Vote by Mail,7,1,14.29 %,,,,,,1,,
31150,Polling Place,7,1,14.29 %,,,1,,,,,
31150,Total,7,2,28.57 %,,,1,,,1,,
31160,Vote by Mail,2,1,50.00 %,,,,,,1,,
31160,Polling Place,2,0,0.00 %,,,,,,,,
31160,Total,2,1,50.00 %,,,,,,1,,
31190,Vote by Mail,5,1,20.00 %,,,,1,,,,
31190,Polling Place,5,0,0.00 %,,,,,,,,
31190,Total,5,1,20.00 %,,,,1,,,,
31210,Vote by Mail,8,1,12.50 %,,,,,,1,,
31210,Polling Place,8,0,0.00 %,,,,,,,,
31210,Total,8,1,12.50 %,,,,,,1,,
31240,Vote by Mail,7,1,14.29 %,,,,1,,,,
31240,Polling Place,7,1,14.29 %,,,,,,1,,
31240,Total,7,2,28.57 %,,,,1,,1,,
31250,Vote by Mail,5,0,0.00 %,,,,,,,,
31250,Polling Place,5,0,0.00 %,,,,,,,,
31250,Total,5,0,0.00 %,,,,,,,,
31300,Vote by Mail,5,1,20.00 %,,,,,,1,,
31300,Polling Place,5,0,0.00 %,,,,,,,,
31300,Total,5,1,20.00 %,,,,,,1,,
31400,Vote by Mail,5,0,0.00 %,,,,,,,,
31400,Polling Place,5,1,20.00 %,,,,1,,,,
31400,Total,5,1,20.00 %,,,,1,,,,
31450,Vote by Mail,4,1,25.00 %,,,1,,,,,
31450,Polling Place,4,0,0.00 %,,,,,,,,
31450,Total,4,1,25.00 %,,,1,,,,,
31480,Vote by Mail,4,0,0.00 %,,,,,,,,
31480,Polling Place,4,0,0.00 %,,,,,,,,
31480,Total,4,0,0.00 %,,,,,,,,
31490,Vote by Mail,1,0,0.00 %,,,,,,,,
31490,Polling Place,1,0,0.00 %,,,,,,,,
31490,Total,1,0,0.00 %,,,,,,,,
31560,Vote by Mail,2,0,0.00 %,,,,,,,,
31560,Polling Place,2,1,50.00 %,,,,,,,,
31560,Total,2,1,50.00 %,,,,,,,,
31580,Vote by Mail,5,2,40.00 %,,,,,,1,,
31580,Polling Place,5,0,0.00 %,,,,,,,,
31580,Total,5,2,40.00 %,,,,,,1,,
31600,Vote by Mail,2,0,0.00 %,,,,,,,,
31600,Polling Place,2,0,0.00 %,,,,,,,,
31600,Total,2,0,0.00 %,,,,,,,,
31610,Vote by Mail,0,0,,,,,,,,,
31610,Polling Place,0,0,,,,,,,,,
31610,Total,0,0,,,,,,,,,
31630,Vote by Mail,0,0,,,,,,,,,
31630,Polling Place,0,0,,,,,,,,,
31630,Total,0,0,,,,,,,,,
31650,Vote by Mail,0,0,,,,,,,,,
31650,Polling Place,0,0,,,,,,,,,
31650,Total,0,0,,,,,,,,,
31690,Vote by Mail,0,0,,,,,,,,,
31690,Polling Place,0,0,,,,,,,,,
31690,Total,0,0,,,,,,,,,
31710,Vote by Mail,1,1,100.00 %,,,,1,,,,
31710,Polling Place,1,0,0.00 %,,,,,,,,
31710,Total,1,1,100.00 %,,,,1,,,,
40010,Vote by Mail,0,0,,,,,,,,,
40010,Polling Place,0,0,,,,,,,,,
40010,Total,0,0,,,,,,,,,
40071,Vote by Mail,1,0,0.00 %,,,,,,,,
40071,Polling Place,1,0,0.00 %,,,,,,,,
40071,Total,1,0,0.00 %,,,,,,,,
40161,Vote by Mail,16,3,18.75 %,,,1,2,,,,
40161,Polling Place,16,1,6.25 %,,,,,,,,
40161,Total,16,4,25.00 %,,,1,2,,,,
40162,Vote by Mail,2,0,0.00 %,,,,,,,,
40162,Polling Place,2,0,0.00 %,,,,,,,,
40162,Total,2,0,0.00 %,,,,,,,,
40170,Vote by Mail,1,0,0.00 %,,,,,,,,
40170,Polling Place,1,0,0.00 %,,,,,,,,
40170,Total,1,0,0.00 %,,,,,,,,
40230,Vote by Mail,0,0,,,,,,,,,
40230,Polling Place,0,0,,,,,,,,,
40230,Total,0,0,,,,,,,,,
40270,Vote by Mail,1,0,0.00 %,,,,,,,,
40270,Polling Place,1,0,0.00 %,,,,,,,,
40270,Total,1,0,0.00 %,,,,,,,,
40310,Vote by Mail,0,0,,,,,,,,,
40310,Polling Place,0,0,,,,,,,,,
40310,Total,0,0,,,,,,,,,
43100,Vote by Mail,15,0,0.00 %,,,,,,,,
43100,Polling Place,15,0,0.00 %,,,,,,,,
43100,Total,15,0,0.00 %,,,,,,,,
43200,Vote by Mail,22,3,13.64 %,,,1,1,,,,
43200,Polling Place,22,2,9.09 %,,,,1,,,,
43200,Total,22,5,22.73 %,,,1,2,,,,
43410,Vote by Mail,9,2,22.22 %,,,,,,2,,
43410,Polling Place,9,0,0.00 %,,,,,,,,
43410,Total,9,2,22.22 %,,,,,,2,,
43441,Vote by Mail,7,0,0.00 %,,,,,,,,
43441,Polling Place,7,0,0.00 %,,,,,,,,
43441,Total,7,0,0.00 %,,,,,,,,
43501,Vote by Mail,7,0,0.00 %,,,,,,,,
43501,Polling Place,7,0,0.00 %,,,,,,,,
43501,Total,7,0,0.00 %,,,,,,,,
43540,Vote by Mail,8,1,12.50 %,,,,,,1,,
43540,Polling Place,8,1,12.50 %,,,,,,,,
43540,Total,8,2,25.00 %,,,,,,1,,
43610,Vote by Mail,18,2,11.11 %,,,,1,,1,,
43610,Polling Place,18,1,5.56 %,,,,,,1,,
43610,Total,18,3,16.67 %,,,,1,,2,,
43621,Vote by Mail,7,0,0.00 %,,,,,,,,
43621,Polling Place,7,0,0.00 %,,,,,,,,
43621,Total,7,0,0.00 %,,,,,,,,
43710,Vote by Mail,10,1,10.00 %,,,,,,1,,
43710,Polling Place,10,0,0.00 %,,,,,,,,
43710,Total,10,1,10.00 %,,,,,,1,,
