COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
LOS ANGELES CITY GEN-MAYOR, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN RUTH BASS,RICK J CARUSO,
LOS ANGELES,9000197B,1139,12,N, ,VBM PORTION,1078,537,508, 
LOS ANGELES,9000197B,1139,12,N,3416,TOTAL,1276,614,622, 
LOS ANGELES,9000205B,1140,9,N, ,POLLING PLACE,149,58,87, 
LOS ANGELES,9000205B,1140,9,N, ,VBM PORTION,671,293,365, 
LOS ANGELES,9000205B,1140,9,N,2679,TOTAL,820,351,452, 
LOS ANGELES,9000206A,1141,30,N, ,POLLING PLACE,235,96,127, 
LOS ANGELES,9000206A,1141,30,N, ,VBM PORTION,899,451,422, 
LOS ANGELES,9000206A,1141,30,N,3269,TOTAL,1134,547,549, 
LOS ANGELES,9000222A,1142,379,N, ,POLLING PLACE,235,61,170, 
LOS ANGELES,9000222A,1142,379,N, ,VBM PORTION,922,361,532, 
LOS ANGELES,9000222A,1142,379,N,2647,TOTAL,1157,422,702, 
LOS ANGELES,9000224A,1143,771,N, ,POLLING PLACE,185,44,129, 
LOS ANGELES,9000224A,1143,771,N, ,VBM PORTION,642,298,322, 
LOS ANGELES,9000224A,1143,771,N,2045,TOTAL,827,342,451, 
LOS ANGELES,9000228A,1144,777,N, ,POLLING PLACE,229,82,140, 
LOS ANGELES,9000228A,1144,777,N, ,VBM PORTION,1070,531,503, 
LOS ANGELES,9000228A,1144,777,N,3027,TOTAL,1299,613,643, 
LOS ANGELES,9000229A,1145,771,N, ,POLLING PLACE,209,81,117, 
LOS ANGELES,9000229A,1145,771,N, ,VBM PORTION,982,469,485, 
LOS ANGELES,9000229A,1145,771,N,2446,TOTAL,1191,550,602, 
LOS ANGELES,9000230A,1146,777,N, ,POLLING PLACE,223,42,175, 
LOS ANGELES,9000230A,1146,777,N, ,VBM PORTION,1097,419,657, 
LOS ANGELES,9000230A,1146,777,N,2210,TOTAL,1320,461,832, 
LOS ANGELES,9000236B,1147,30,N, ,POLLING PLACE,346,103,234, 
LOS ANGELES,9000236B,1147,30,N, ,VBM PORTION,1189,503,656, 
LOS ANGELES,9000236B,1147,30,N,3378,TOTAL,1535,606,890, 
LOS ANGELES,9000237A,1148,449,N, ,POLLING PLACE,271,177,91, 
LOS ANGELES,9000237A,1148,449,N, ,VBM PORTION,1072,769,280, 
LOS ANGELES,9000237A,1148,449,N,2601,TOTAL,1343,946,371, 
LOS ANGELES,9000243A,1149,291,N, ,POLLING PLACE,220,112,96, 
LOS ANGELES,9000243A,1149,291,N, ,VBM PORTION,778,496,271, 
LOS ANGELES,9000243A,1149,291,N,2341,TOTAL,998,608,367, 
LOS ANGELES,9000244A,1150,298,N, ,POLLING PLACE,118,46,67, 
LOS ANGELES,9000244A,1150,298,N, ,VBM PORTION,361,191,164, 
LOS ANGELES,9000244A,1150,298,N,2209,TOTAL,479,237,231, 
LOS ANGELES,9000246B,1151,777,N, ,POLLING PLACE,384,104,277, 
LOS ANGELES,9000246B,1151,777,N, ,VBM PORTION,1170,572,569, 
LOS ANGELES,9000246B,1151,777,N,2918,TOTAL,1554,676,846, 
LOS ANGELES,9000249A,1152,291,N, ,POLLING PLACE,193,107,81, 
LOS ANGELES,9000249A,1152,291,N, ,VBM PORTION,732,381,336, 
LOS ANGELES,9000249A,1152,291,N,2912,TOTAL,925,488,417, 
LOS ANGELES,9000251B,1153,622,N, ,POLLING PLACE,229,98,124, 
LOS ANGELES,9000251B,1153,622,N, ,VBM PORTION,1240,725,492, 
LOS ANGELES,9000251B,1153,622,N,2308,TOTAL,1469,823,616, 
LOS ANGELES,9000255A,1154,777,N, ,POLLING PLACE,209,64,144, 
LOS ANGELES,9000255A,1154,777,N, ,VBM PORTION,838,446,368, 
LOS ANGELES,9000255A,1154,777,N,2211,TOTAL,1047,510,512, 
LOS ANGELES,9000256A,7577,622,N, ,POLLING PLACE,62,8,54, 
LOS ANGELES,9000256A,7577,622,N, ,VBM PORTION,211,62,146, 
LOS ANGELES,9000256A,7577,622,N,480,TOTAL,273,70,200, 
LOS ANGELES,9000257A,1155,777,N, ,POLLING PLACE,336,120,209, 
LOS ANGELES,9000257A,1155,777,N, ,VBM PORTION,1639,923,684, 
LOS ANGELES,9000257A,1155,777,N,3587,TOTAL,1975,1043,893, 
LOS ANGELES,9000259A,1156,777,N, ,POLLING PLACE,290,82,196, 
LOS ANGELES,9000259A,1156,777,N, ,VBM PORTION,1306,635,627, 
LOS ANGELES,9000259A,1156,777,N,3500,TOTAL,1596,717,823, 
LOS ANGELES,9000261A,1157,622,N, ,POLLING PLACE,187,80,101, 
LOS ANGELES,9000261A,1157,622,N, ,VBM PORTION,1037,698,320, 
LOS ANGELES,9000261A,1157,622,N,2206,TOTAL,1224,778,421, 
LOS ANGELES,9000263A,1158,204,N, ,POLLING PLACE,363,221,139, 
LOS ANGELES,9000263A,1158,204,N, ,VBM PORTION,1811,1263,507, 
LOS ANGELES,9000263A,1158,204,N,3455,TOTAL,2174,1484,646, 
LOS ANGELES,9000264A,7578,210,N, ,POLLING PLACE,67,15,52, 
LOS ANGELES,9000264A,7578,210,N, ,VBM PORTION,431,169,260, 
LOS ANGELES,9000264A,7578,210,N,717,TOTAL,498,184,312, 
LOS ANGELES,9000267A,1159,210,N, ,POLLING PLACE,388,99,288, 
