,ID,District,AREA,Code,percent
967,37,42,660.45,9001361A,0.9999999999999988
968,37,42,660.45,9001355A,0.9999999999999989
969,37,42,660.45,9000267A,0.9999999999999996
970,37,42,660.45,9005931A,0.9985365492452166
972,37,42,660.45,9001379A,0.9999999999999997
973,37,42,660.45,7470001A,0.9976206880961254
976,47,51,65.54,0900010A,0.9992998253779494
977,38,43,52.63,9007341A,0.9909646311337977
980,39,44,100.18,0950186A,0.9992201776251471
981,38,43,52.63,9000184B,0.9999999999999998
982,38,43,52.63,9000510A,0.9999999999999999
983,38,43,52.63,9000078A,1.0000000000000002
984,38,43,52.63,9002281A,0.9999999999999998
985,38,43,52.63,9000382A,1.0000000000000007
986,38,43,52.63,9000472A,1.0000000000000002
987,38,43,52.63,9000457A,1.0000000000000002
988,38,43,52.63,9000101A,1.0000000000000002
989,38,43,52.63,9000510B,0.9999999999999999
990,38,43,52.63,9000474A,1.0000000000000004
991,38,43,52.63,9000406B,1.0000000000000002
992,38,43,52.63,9000405A,0.9996888433840357
994,38,43,52.63,9000381B,1.0000000000000002
995,38,43,52.63,9002318A,1.0000000000000002
996,38,43,52.63,9000512C,0.9999999999999998
997,38,43,52.63,9002894A,1.0000000000000002
998,38,43,52.63,9000110A,1.0000000000000004
999,38,43,52.63,9000576A,0.9999999999999998
1000,38,43,52.63,9001064A,1.0000000000000002
1001,38,43,52.63,9004201A,1.0000000000000002
1002,38,43,52.63,9000460A,1.0000000000000002
1003,38,43,52.63,9000465A,0.9999999999999998
1004,38,43,52.63,9000094B,1.0000000000000002
1005,38,43,52.63,9000090A,0.9999999999999987
1006,38,43,52.63,9000508A,0.9999545151391535
1008,38,43,52.63,9000469A,0.9999999999999998
1009,38,43,52.63,9000386B,1.0000000000000002
1010,38,43,52.63,9005638A,0.9983298689666389
1012,38,43,52.63,9000383A,0.9999999999999998
1013,38,43,52.63,9000097C,1.0000000000000007
1014,38,43,52.63,9000404A,1.0000000000000002
1015,38,43,52.63,9000089A,0.15244466880070565
1016,41,46,77.82,9000089A,0.8475553311992735
1018,41,46,77.82,9000737B,0.9999225225742328
1020,41,46,77.82,9005107A,0.9989267071061906
1021,38,43,52.63,9002131A,1.0000000000000002
1022,38,43,52.63,9000496A,0.9997034685541789
1024,38,43,52.63,9000177A,0.9999999999999997
1026,41,46,77.82,9005188A,0.998846024785268
1027,38,43,52.63,9004204A,0.9999999999999998
1028,38,43,52.63,9000566A,0.9999999999999997
1030,39,44,100.18,9005140A,0.9994042646092078
1031,38,43,52.63,9000563A,0.9999999999999998
1032,38,43,52.63,9000377A,0.9999999999999997
1033,38,43,52.63,9000606A,0.9999999999999996
1034,38,43,52.63,9007101E,1.0
1035,38,43,52.63,9000553D,1.0000000000000009
1036,38,43,52.63,9000135B,0.9988740830844922
1038,38,43,52.63,9000562A,1.0000000000000002
1039,38,43,52.63,9000980A,0.9987685481842143
1041,38,43,52.63,9000385A,1.0000000000000004
1042,38,43,52.63,9000569C,0.9999999999999994
1043,38,43,52.63,9000575A,0.9999999999999998
1044,38,43,52.63,9000142A,1.0000000000000002
1045,38,43,52.63,9000773B,0.9999999999999999
1046,38,43,52.63,9005530A,0.9999999999999999
1047,38,43,52.63,9007346A,0.7814657586195902
1048,39,44,100.18,9007346A,0.21853424138040842
1050,39,44,100.18,9002873A,0.9963514492768588
1052,39,44,100.18,9000611A,0.9943239449763057
1053,38,43,52.63,9002898A,0.9999999999999998
1055,41,46,77.82,9000193A,0.9985556911396316
1057,41,46,77.82,9000506A,0.996638288254969
1059,41,46,77.82,9000503A,0.9991469620441944
1061,41,46,77.82,9000490A,0.9999763172568074
1063,41,46,77.82,9000578A,0.9978269037202491
1064,38,43,52.63,9002396A,0.9992257959375835
1067,39,44,100.18,9007126A,0.9996433584888966
1069,39,44,100.18,9000154A,0.999019957220308
1071,39,44,100.18,9000215B,0.9962988690807689
1073,39,44,100.18,9000231A,0.9990917545090418
1074,38,43,52.63,9005663A,0.9566478774472575
1076,38,43,52.63,9005662A,0.9135348628681218
1079,39,44,100.18,0950042A,0.999378656408913
1081,39,44,100.18,0950029A,0.9998517114572908
1082,38,43,52.63,9000399A,0.9999999999999997
1084,39,44,100.18,9005183A,0.9973086253216404
1086,38,43,52.63,9002796A,0.5536389535539883
