President of the United States Presidential Preference - DEMOCRATIC - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
105004,,,,,,,3,,,,,,,,,,14,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
106001,,,,,,,18,,,,,,,,,,94,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
106013,,,,,,,3,,,,,,,,,,14,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
107005,,,,,,,20,,,,,,,,,,84,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
107007,,,,,,,5,,,,,,,,,,41,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
108002,,,,,,,12,,,,,,,,,,55,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
108008,,,,,,,3,,,,,,,,,,9,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
109001,,,,,,,13,,,,,,,,,,68,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
109003,,,,,,,9,,,,,,,,,,27,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
110001,,,,,,,10,,,,,,,,,,77,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
110002,,,,,,,21,,,,,,,,,,101,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
110006,,,,,,,4,,,,,,,,,,33,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
110008,,,,,,,4,,,,,,,,,,24,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
111003,,,,,,,7,,,,,,,,,,82,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
111005,,,,,,,14,,,,,,,,,,39,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
112001,,,,,,,7,,,,,,,,,,17,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
112002,,,,,,,3,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
114001,,,,,,,37,,,,,,,,,,211,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
115001,,,,,,,66,,,,,,,,,,219,,,,10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
115003,,,,,,,2,,,,,,,,,,18,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117001,,,,,,,39,,,,,,,,,,212,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117002,,,,,,,50,,,,,,,,,,287,,,,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117003,,,,,,,7,,,,,,,,,,59,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117004,,,,,,,9,,,,,,,,,,70,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117005,,,,,,,7,,,,,,,,,,48,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117006,,,,,,,23,,,,,,,,,,152,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117009,,,,,,,41,,,,,,,,,,193,,,,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
117014,,,,,,,44,,,,,,,,,,146,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117016,,,,,,,30,,,,,,,,,,175,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117021,,,,,,,30,,,,,,,,,,162,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117023,,,,,,,1,,,,,,,,,,10,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117027,,,,,,,68,,,,,,,,,,315,,,,10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117028,,,,,,,42,,,,,,,,,,186,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
