,District,area_col,Code,percent
228,4,3.055541396882398e-05,9001167A,0.372265001029661
229,2,6.794381957437983e-05,9000422A,0.9999999999999996
230,2,6.780623882020952e-05,9005155B,0.8031451711724085
231,4,1.6619642395296718e-05,9005155B,0.19685482882758656
232,2,5.697015963247973e-05,9002873A,1.0
233,2,4.5709043799517885e-05,9000611A,0.9703554264823367
236,4,4.970285123180236e-05,9000348C,0.9996484865512464
237,2,7.957933077976063e-05,9005142A,1.0000000000000002
238,2,9.003024262944071e-05,9001052A,0.9999999999999988
239,2,4.3131705999534676e-05,9003161A,0.9681320801035087
241,2,5.239924382335213e-05,9005159A,0.5399698621672374
242,4,4.464180882547852e-05,9005159A,0.4600301378327738
243,2,2.245861783413962e-05,9000732A,0.9996784040962644
244,2,4.1108801492362124e-05,9000193A,0.999479345833003
246,2,8.582385240287125e-05,9000506A,1.0000000000000002
247,2,3.530776833596803e-05,9000503A,1.0000000000000004
248,2,2.3831006612802807e-05,9005147A,1.0000000000000002
249,2,5.995812896443868e-05,9000490A,0.998378755200823
251,2,6.361906874351618e-05,9000578A,0.9999999999999996
252,2,9.079218594451346e-05,9002396A,0.9999999999999997
253,2,6.265117129259216e-05,9007126A,0.9999999999999998
255,4,9.258163782755351e-05,9000154A,0.9986691927000684
257,4,7.46263859234475e-05,9000215B,0.9971691923687442
259,4,7.928806043097388e-05,9000231A,0.9993769095852846
261,4,4.094621639287326e-05,9000841A,0.9002800419279426
262,2,4.2576421550231287e-05,9001152A,0.9999999999999996
264,4,7.282838347783312e-05,9001113A,0.9996379118267158
265,2,6.392045261051407e-05,9005663A,0.9996146220760901
266,2,9.316295405360332e-05,9005662A,0.9999219121964137
271,4,8.371481508059716e-05,9005183A,0.9969936855711008
273,2,3.5786996467762944e-05,9005151B,1.0
274,2,5.847596035380517e-06,9002527A,1.0000000000000002
275,2,1.8710455050381428e-05,9000511A,1.0
278,2,0.000177714812290139,9000416A,0.9639706584461161
281,2,0.00012073881980836565,9005667A,0.9987492089209102
282,2,3.0041730689141076e-05,9001158A,1.0000000000000002
283,2,0.00014540325774739879,9000428A,0.8228458139721861
284,4,3.0709411417569345e-05,9000428A,0.17378641322050195
285,2,0.00010833199051452133,9000251A,0.9943948476935291
288,7,0.0015838655244512748,9007323A,0.9960059043694826
289,2,3.170361379254322e-05,9002222A,1.0000000000000007
290,2,0.00011563894455643917,9000556A,1.0
291,2,6.95897782082609e-05,9000531A,0.9991984676937932
292,2,5.514369698222519e-05,9000520B,0.9970458128888786
293,2,0.00010599795742385173,9000498A,0.9990447492967462
295,2,9.95625632235429e-05,9003998A,0.998862161309673
297,2,8.526848724765716e-05,9000489A,0.9988865446155998
299,2,5.418899141600785e-05,9000116A,1.0000000000000002
300,2,0.00010465387952222743,9000607A,0.9999999999999997
301,2,9.018277755108417e-05,9002220A,0.9999999999999997
302,2,5.6834781449806894e-05,9001917A,0.9999999999999999
303,2,6.344124974955526e-05,9000592A,1.0000000000000002
304,2,4.104544864608083e-05,9000119A,1.0000000000000002
305,2,6.332158000174013e-05,9000688A,1.0000000000000002
306,2,0.00010653486830988228,9000509A,0.9990964114903212
308,2,2.818502032944764e-05,9000718A,1.0000000000000007
309,2,3.392910608200718e-05,9000125B,1.0000000000000007
310,2,6.0023521739105645e-05,9000543A,0.9961284404573886
311,2,3.9688974192094964e-05,9002221A,0.9999999999999998
312,2,6.840773841120045e-05,9000483A,1.0000000000000002
313,2,6.901432077549316e-05,9000516A,0.9991691429867346
315,2,3.8552057522742496e-05,9000165A,1.0000000000000002
316,2,0.0001720469431432254,9000500B,0.9999999999999984
317,2,7.382966037639654e-05,9000616A,0.9999427625428825
318,2,0.00010796713567414425,9000461A,0.9970790438977885
320,2,3.5893232203970106e-05,9000252A,0.9999999999999998
321,2,4.4976209972336526e-05,9000619A,0.9998235145690394
322,2,6.052230982137941e-05,9000523A,0.9993660160787381
324,2,9.506408428453718e-05,9000519B,0.9999999999999997
330,4,0.00011529914531071898,9000174A,0.9992988516405276
332,3,0.0001540439180940076,9000234A,1.0000000000000004
333,3,9.420863404159637e-05,9007883B,0.9993122483733707
335,3,5.289161565156775e-05,9000238A,0.9999999999999994
