Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 US Representative 20th Congressional District,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - ADAM BOLAÑOS SCOW,DEM - JIMMY PANETTA,,REP - JEFF GORMAN,Write In,,
20232,Total,1226,857,69.90 %,,,90,579,,158,1,,
20241,Vote by Mail,90,52,57.78 %,,,6,35,,9,,,
20241,Polling Place,90,3,3.33 %,,,2,1,,,,,
20241,Total,90,55,61.11 %,,,8,36,,9,,,
20242,Vote by Mail,1397,690,49.39 %,,,64,475,,135,,,
20242,Polling Place,1397,276,19.76 %,,,48,175,,43,,,
20242,Total,1397,966,69.15 %,,,112,650,,178,,,
20251,Vote by Mail,1208,547,45.28 %,,,73,350,,108,,,
20251,Polling Place,1208,267,22.10 %,,,53,158,,48,,,
20251,Total,1208,814,67.38 %,,,126,508,,156,,,
20253,Vote by Mail,16,13,81.25 %,,,2,9,,1,,,
20253,Polling Place,16,1,6.25 %,,,,1,,,,,
20253,Total,16,14,87.50 %,,,2,10,,1,,,
20260,Vote by Mail,1315,589,44.79 %,,,87,410,,74,1,,
20260,Polling Place,1315,282,21.44 %,,,42,176,,47,,,
20260,Total,1315,871,66.24 %,,,129,586,,121,1,,
20280,Vote by Mail,1684,777,46.14 %,,,103,511,,134,1,,
20280,Polling Place,1684,322,19.12 %,,,62,203,,47,,,
20280,Total,1684,1099,65.26 %,,,165,714,,181,1,,
20300,Vote by Mail,1352,613,45.34 %,,,78,419,,95,,,
20300,Polling Place,1352,281,20.78 %,,,36,179,,56,2,,
20300,Total,1352,894,66.12 %,,,114,598,,151,2,,
20320,Vote by Mail,1553,808,52.03 %,,,80,555,,160,,,
20320,Polling Place,1553,310,19.96 %,,,40,205,,56,,,
20320,Total,1553,1118,71.99 %,,,120,760,,216,,,
20330,Vote by Mail,1370,630,45.99 %,,,71,431,,108,1,,
20330,Polling Place,1370,270,19.71 %,,,33,182,,46,,,
20330,Total,1370,900,65.69 %,,,104,613,,154,1,,
20341,Vote by Mail,639,295,46.17 %,,,28,197,,64,,,
20341,Polling Place,639,128,20.03 %,,,15,90,,22,,,
20341,Total,639,423,66.20 %,,,43,287,,86,,,
20351,Vote by Mail,1234,523,42.38 %,,,66,372,,78,,,
20351,Polling Place,1234,345,27.96 %,,,47,242,,47,,,
20351,Total,1234,868,70.34 %,,,113,614,,125,,,
20354,Vote by Mail,1198,607,50.67 %,,,58,384,,153,,,
20354,Polling Place,1198,202,16.86 %,,,26,140,,33,,,
20354,Total,1198,809,67.53 %,,,84,524,,186,,,
20402,Vote by Mail,950,444,46.74 %,,,55,281,,98,2,,
20402,Polling Place,950,183,19.26 %,,,24,110,,45,,,
20402,Total,950,627,66.00 %,,,79,391,,143,2,,
20520,Vote by Mail,1297,702,54.12 %,,,35,494,,155,1,,
20520,Polling Place,1297,222,17.12 %,,,27,149,,40,1,,
20520,Total,1297,924,71.24 %,,,62,643,,195,2,,
20551,Vote by Mail,1199,561,46.79 %,,,56,364,,133,,,
20551,Polling Place,1199,299,24.94 %,,,28,199,,65,,,
20551,Total,1199,860,71.73 %,,,84,563,,198,,,
20591,Vote by Mail,0,0,,,,,,,,,,
20591,Polling Place,0,0,,,,,,,,,,
20591,Total,0,0,,,,,,,,,,
20622,Vote by Mail,0,0,,,,,,,,,,
20622,Polling Place,0,0,,,,,,,,,,
20622,Total,0,0,,,,,,,,,,
22010,Vote by Mail,1274,635,49.84 %,,,77,411,,129,1,,
22010,Polling Place,1274,216,16.95 %,,,33,131,,44,,,
22010,Total,1274,851,66.80 %,,,110,542,,173,1,,
22040,Vote by Mail,1025,501,48.88 %,,,51,327,,99,,,
22040,Polling Place,1025,208,20.29 %,,,28,132,,35,,,
22040,Total,1025,709,69.17 %,,,79,459,,134,,,
