Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1 Presidential Preference GRN,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DAVID ROLDE,HOWIE HAWKINS,,DARIO HUNTER,DENNIS LAMBERT,SEDINAM MOYOWASIFZA-CURRY,Write In,Kent Mesplay,,
20622,Polling Place,0,0,,,,,,,,,,,,,
20622,Total,0,0,,,,,,,,,,,,,
22010,Vote by Mail,9,3,33.33 %,,,,,,,1,1,1,,,
22010,Polling Place,9,1,11.11 %,,,,,,1,,,,,,
22010,Total,9,4,44.44 %,,,,,,1,1,1,1,,,
22040,Vote by Mail,6,1,16.67 %,,,,,,,1,,,,,
22040,Polling Place,6,0,0.00 %,,,,,,,,,,,,
22040,Total,6,1,16.67 %,,,,,,,1,,,,,
22050,Vote by Mail,16,3,18.75 %,,,,,,1,1,,1,,,
22050,Polling Place,16,3,18.75 %,,,,,,,,,2,,,
22050,Total,16,6,37.50 %,,,,,,1,1,,3,,,
23190,Vote by Mail,0,0,,,,,,,,,,,,,
23190,Polling Place,0,0,,,,,,,,,,,,,
23190,Total,0,0,,,,,,,,,,,,,
23311,Vote by Mail,7,1,14.29 %,,,,1,,,,,,,,
23311,Polling Place,7,0,0.00 %,,,,,,,,,,,,
23311,Total,7,1,14.29 %,,,,1,,,,,,,,
23312,Vote by Mail,4,0,0.00 %,,,,,,,,,,,,
23312,Polling Place,4,0,0.00 %,,,,,,,,,,,,
23312,Total,4,0,0.00 %,,,,,,,,,,,,
23492,Vote by Mail,0,0,,,,,,,,,,,,,
23492,Polling Place,0,0,,,,,,,,,,,,,
23492,Total,0,0,,,,,,,,,,,,,
23660,Vote by Mail,0,0,,,,,,,,,,,,,
23660,Polling Place,0,0,,,,,,,,,,,,,
23660,Total,0,0,,,,,,,,,,,,,
30010,Vote by Mail,2,0,0.00 %,,,,,,,,,,,,
30010,Polling Place,2,0,0.00 %,,,,,,,,,,,,
30010,Total,2,0,0.00 %,,,,,,,,,,,,
30020,Vote by Mail,13,3,23.08 %,,,,,,,,1,2,,,
30020,Polling Place,13,1,7.69 %,,,,,,,1,,,,,
30020,Total,13,4,30.77 %,,,,,,,1,1,2,,,
30030,Vote by Mail,19,4,21.05 %,,,,,,1,1,,2,,,
30030,Polling Place,19,2,10.53 %,,,1,,,1,,,,,,
30030,Total,19,6,31.58 %,,,1,,,2,1,,2,,,
30041,Vote by Mail,18,3,16.67 %,,,,,,,2,,,,,
30041,Polling Place,18,6,33.33 %,,,1,1,,,3,,,,,
30041,Total,18,9,50.00 %,,,1,1,,,5,,,,,
30042,Vote by Mail,1,1,100.00 %,,,,,,,1,,,,,
30042,Polling Place,1,0,0.00 %,,,,,,,,,,,,
30042,Total,1,1,100.00 %,,,,,,,1,,,,,
30043,Vote by Mail,0,0,,,,,,,,,,,,,
30043,Polling Place,0,0,,,,,,,,,,,,,
30043,Total,0,0,,,,,,,,,,,,,
30046,Vote by Mail,0,0,,,,,,,,,,,,,
30046,Polling Place,0,0,,,,,,,,,,,,,
30046,Total,0,0,,,,,,,,,,,,,
30047,Vote by Mail,0,0,,,,,,,,,,,,,
30047,Polling Place,0,0,,,,,,,,,,,,,
30047,Total,0,0,,,,,,,,,,,,,
30074,Vote by Mail,0,0,,,,,,,,,,,,,
30074,Polling Place,0,0,,,,,,,,,,,,,
30074,Total,0,0,,,,,,,,,,,,,
30080,Vote by Mail,7,2,28.57 %,,,1,,,,,,1,,,
30080,Polling Place,7,2,28.57 %,,,,,,,,1,,,,
30080,Total,7,4,57.14 %,,,1,,,,,1,1,,,
31010,Vote by Mail,12,3,25.00 %,,,,,,,,,,,,
31010,Polling Place,12,2,16.67 %,,,,,,,1,,,,,
31010,Total,12,5,41.67 %,,,,,,,1,,,,,
31011,Vote by Mail,7,4,57.14 %,,,,1,,,,,2,,,
31011,Polling Place,7,0,0.00 %,,,,,,,,,,,,
31011,Total,7,4,57.14 %,,,,1,,,,,2,,,
31012,Vote by Mail,0,0,,,,,,,,,,,,,
31012,Polling Place,0,0,,,,,,,,,,,,,
31012,Total,0,0,,,,,,,,,,,,,
31020,Vote by Mail,21,5,23.81 %,,,1,,,1,,1,2,,,
31020,Polling Place,21,1,4.76 %,,,,1,,,,,,,,
31020,Total,21,6,28.57 %,,,1,1,,1,,1,2,,,
31030,Vote by Mail,10,3,30.00 %,,,,,,1,1,,1,,,
31030,Polling Place,10,0,0.00 %,,,,,,,,,,,,
31030,Total,10,3,30.00 %,,,,,,1,1,,1,,,
31050,Vote by Mail,9,3,33.33 %,,,,,,,,1,1,,,
31050,Polling Place,9,1,11.11 %,,,,,,,1,,,,,
31050,Total,9,4,44.44 %,,,,,,,1,1,1,,,
31070,Vote by Mail,14,1,7.14 %,,,,1,,,,,,,,
31070,Polling Place,14,2,14.29 %,,,,1,,,1,,,,,
31070,Total,14,3,21.43 %,,,,2,,,1,,,,,
31131,Vote by Mail,6,5,83.33 %,,,,,,1,1,,1,,,
31131,Polling Place,6,0,0.00 %,,,,,,,,,,,,
31131,Total,6,5,83.33 %,,,,,,1,1,,1,,,
31140,Vote by Mail,29,6,20.69 %,,,,1,,1,,,1,,,
31140,Polling Place,29,9,31.03 %,,,,,,,3,,2,,,
31140,Total,29,15,51.72 %,,,,1,,1,3,,3,,,
31150,Vote by Mail,7,1,14.29 %,,,,,,,,,1,,,
31150,Polling Place,7,1,14.29 %,,,,,,,,,1,,,
31150,Total,7,2,28.57 %,,,,,,,,,2,,,
31160,Vote by Mail,19,4,21.05 %,,,,,,1,,,1,,,
31160,Polling Place,19,5,26.32 %,,,,1,,1,1,1,,,,
