Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,Write In,Nakia L. Anthony,,Daphne Denise Bradford,Willie Felix Carter,Michael Dename,Jeffrey H. Drobman,Robert Jordan,Heather Marie Stagg,,
20354,Vote by Mail,1198,383,31.97 %,,,1,,,,,,,,,,
20354,Polling Place,1198,153,12.77 %,,,,,,,,,,,,,
20354,Total,1198,536,44.74 %,,,1,,,,,,,,,,
20402,Vote by Mail,950,316,33.26 %,,,,,,,,,,,,,
20402,Polling Place,950,133,14.00 %,,,1,,,,,,,,,,
20402,Total,950,449,47.26 %,,,1,,,,,,,,,,
20520,Vote by Mail,1297,454,35.00 %,,,,,,,,,,,,,
20520,Polling Place,1297,174,13.42 %,,,,,,,,,,,,,
20520,Total,1297,628,48.42 %,,,,,,,,,,,,,
20551,Vote by Mail,1199,370,30.86 %,,,1,,,,,,,,,,
20551,Polling Place,1199,219,18.27 %,,,,,,,,,,,,,
20551,Total,1199,589,49.12 %,,,1,,,,,,,,,,
20591,Vote by Mail,0,0,,,,,,,,,,,,,,
20591,Polling Place,0,0,,,,,,,,,,,,,,
20591,Total,0,0,,,,,,,,,,,,,,
20622,Vote by Mail,0,0,,,,,,,,,,,,,,
20622,Polling Place,0,0,,,,,,,,,,,,,,
20622,Total,0,0,,,,,,,,,,,,,,
22010,Vote by Mail,1274,445,34.93 %,,,,,,,,,,,,,
22010,Polling Place,1274,168,13.19 %,,,1,,,,,,,,,,
22010,Total,1274,613,48.12 %,,,1,,,,,,,,,,
22040,Vote by Mail,1025,350,34.15 %,,,1,,,,,,,,,,
22040,Polling Place,1025,167,16.29 %,,,,,,,,,,,,,
22040,Total,1025,517,50.44 %,,,1,,,,,,,,,,
22050,Vote by Mail,1809,591,32.67 %,,,,,,,,,,,,,
22050,Polling Place,1809,264,14.59 %,,,,,,,,,,,,,
22050,Total,1809,855,47.26 %,,,,,,,,,,,,,
23190,Vote by Mail,0,0,,,,,,,,,,,,,,
23190,Polling Place,0,0,,,,,,,,,,,,,,
23190,Total,0,0,,,,,,,,,,,,,,
23311,Vote by Mail,2057,549,26.69 %,,,4,,,,,,,,,,
23311,Polling Place,2057,139,6.76 %,,,,,,,,,,,,,
23311,Total,2057,688,33.45 %,,,4,,,,,,,,,,
23312,Vote by Mail,1407,311,22.10 %,,,3,,,,,,,,,,
23312,Polling Place,1407,134,9.52 %,,,,,,,,,,,,,
23312,Total,1407,445,31.63 %,,,3,,,,,,,,,,
23492,Vote by Mail,0,0,,,,,,,,,,,,,,
23492,Polling Place,0,0,,,,,,,,,,,,,,
23492,Total,0,0,,,,,,,,,,,,,,
23660,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,
23660,Polling Place,1,0,0.00 %,,,,,,,,,,,,,
23660,Total,1,0,0.00 %,,,,,,,,,,,,,
30010,Vote by Mail,267,127,47.57 %,,,,,,,,,,,,,
30010,Polling Place,267,13,4.87 %,,,,,,,,,,,,,
30010,Total,267,140,52.43 %,,,,,,,,,,,,,
30020,Vote by Mail,492,145,29.47 %,,,,,,,,,,,,,
30020,Polling Place,492,155,31.50 %,,,,,,,,,,,,,
30020,Total,492,300,60.98 %,,,,,,,,,,,,,
30030,Vote by Mail,968,316,32.64 %,,,1,,,,,,,,,,
30030,Polling Place,968,238,24.59 %,,,,,,,,,,,,,
30030,Total,968,554,57.23 %,,,1,,,,,,,,,,
30041,Vote by Mail,1308,440,33.64 %,,,1,,,,,,,,,,
30041,Polling Place,1308,308,23.55 %,,,1,,,,,,,,,,
30041,Total,1308,748,57.19 %,,,2,,,,,,,,,,
30042,Vote by Mail,4,0,0.00 %,,,,,,,,,,,,,
30042,Polling Place,4,0,0.00 %,,,,,,,,,,,,,
30042,Total,4,0,0.00 %,,,,,,,,,,,,,
30043,Vote by Mail,21,8,38.10 %,,,,,,,,,,,,,
30043,Polling Place,21,2,9.52 %,,,,,,,,,,,,,
30043,Total,21,10,47.62 %,,,,,,,,,,,,,
30046,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,
30046,Polling Place,1,0,0.00 %,,,,,,,,,,,,,
30046,Total,1,0,0.00 %,,,,,,,,,,,,,
30047,Vote by Mail,0,0,,,,,,,,,,,,,,
30047,Polling Place,0,0,,,,,,,,,,,,,,
30047,Total,0,0,,,,,,,,,,,,,,
30074,Vote by Mail,14,6,42.86 %,,,,,,,,,,,,,
30074,Polling Place,14,1,7.14 %,,,,,,,,,,,,,
30074,Total,14,7,50.00 %,,,,,,,,,,,,,
30080,Vote by Mail,466,169,36.27 %,,,,,,,,,,,,,
30080,Polling Place,466,62,13.30 %,,,,,,,,,,,,,
30080,Total,466,231,49.57 %,,,,,,,,,,,,,
31010,Vote by Mail,1307,460,35.20 %,,,2,,,,,,,,,,
31010,Polling Place,1307,286,21.88 %,,,1,,,,,,,,,,
31010,Total,1307,746,57.08 %,,,3,,,,,,,,,,
31011,Vote by Mail,1459,580,39.75 %,,,1,,,,,,,,,,
31011,Polling Place,1459,325,22.28 %,,,,,,,,,,,,,
31011,Total,1459,905,62.03 %,,,1,,,,,,,,,,
31012,Vote by Mail,0,0,,,,,,,,,,,,,,
31012,Polling Place,0,0,,,,,,,,,,,,,,
31012,Total,0,0,,,,,,,,,,,,,,
31020,Vote by Mail,1457,549,37.68 %,,,,,,,,,,,,,
31020,Polling Place,1457,320,21.96 %,,,,,,,,,,,,,
31020,Total,1457,869,59.64 %,,,,,,,,,,,,,
31030,Vote by Mail,1536,544,35.42 %,,,1,,,,,,,,,,
31030,Polling Place,1536,431,28.06 %,,,,,,,,,,,,,
31030,Total,1536,975,63.48 %,,,1,,,,,,,,,,
31050,Vote by Mail,1224,479,39.13 %,,,1,,,,,,,,,,
31050,Polling Place,1224,301,24.59 %,,,,,,,,,,,,,
31050,Total,1224,780,63.73 %,,,1,,,,,,,,,,
31070,Vote by Mail,1356,550,40.56 %,,,,,,,,,,,,,
31070,Polling Place,1356,360,26.55 %,,,,,,,,,,,,,
31070,Total,1356,910,67.11 %,,,,,,,,,,,,,
31131,Vote by Mail,876,323,36.87 %,,,1,,,,,,,,,,
31131,Polling Place,876,159,18.15 %,,,1,,,,,,,,,,
31131,Total,876,482,55.02 %,,,2,,,,,,,,,,
31140,Vote by Mail,1701,597,35.10 %,,,2,,,,,,,,,,
31140,Polling Place,1701,474,27.87 %,,,,,,,,,,,,,
31140,Total,1701,1071,62.96 %,,,2,,,,,,,,,,
31150,Vote by Mail,1472,610,41.44 %,,,,,,,,,,,,,
31150,Polling Place,1472,324,22.01 %,,,,,,,,,,,,,
31150,Total,1472,934,63.45 %,,,,,,,,,,,,,
31160,Vote by Mail,1136,440,38.73 %,,,,,,,,,,,,,
31160,Polling Place,1136,315,27.73 %,,,1,,,,,,,,,,
31160,Total,1136,755,66.46 %,,,1,,,,,,,,,,
31190,Vote by Mail,1375,501,36.44 %,,,,,,,,,,,,,
31190,Polling Place,1375,316,22.98 %,,,,,,,,,,,,,
31190,Total,1375,817,59.42 %,,,,,,,,,,,,,
31210,Vote by Mail,1111,372,33.48 %,,,1,,,,,,,,,,
