Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Total,504,"1,764",,2,0.40%,1,0.20%,33,6.68%,,0,0.00%,3,0.61%,,0,0.00%,2,0.40%,4,0.81%,227,45.95%,0,0.00%,15,3.04%,0,0.00%,1,0.20%,49,9.92%,0,0.00%,0,0.00%,11,2.23%,144,29.15%,2,0.40%,0,0.00%,494,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,126,"1,510",,0,0.00%,0,0.00%,13,10.57%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,45,36.59%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,11.38%,0,0.00%,0,0.00%,0,0.00%,50,40.65%,1,0.81%,0,0.00%,123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,310,"1,510",,1,0.32%,0,0.00%,32,10.39%,,0,0.00%,4,1.30%,,0,0.00%,0,0.00%,5,1.62%,124,40.26%,0,0.00%,7,2.27%,0,0.00%,3,0.97%,36,11.69%,0,0.00%,0,0.00%,18,5.84%,73,23.70%,5,1.62%,0,0.00%,308,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,510",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,436,"1,510",,1,0.23%,0,0.00%,45,10.44%,,0,0.00%,4,0.93%,,0,0.00%,0,0.00%,5,1.16%,169,39.21%,0,0.00%,7,1.62%,0,0.00%,3,0.70%,50,11.60%,0,0.00%,0,0.00%,18,4.18%,123,28.54%,6,1.39%,0,0.00%,431,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,67,749,,0,0.00%,0,0.00%,3,4.55%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,35,53.03%,1,1.52%,1,1.52%,0,0.00%,1,1.52%,2,3.03%,0,0.00%,0,0.00%,0,0.00%,23,34.85%,0,0.00%,0,0.00%,66,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,129,749,,0,0.00%,0,0.00%,8,6.25%,,1,0.78%,1,0.78%,,0,0.00%,0,0.00%,2,1.56%,56,43.75%,0,0.00%,5,3.91%,0,0.00%,0,0.00%,16,12.50%,0,0.00%,0,0.00%,2,1.56%,37,28.91%,0,0.00%,0,0.00%,128,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,749,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,196,749,,0,0.00%,0,0.00%,11,5.67%,,1,0.52%,1,0.52%,,0,0.00%,0,0.00%,2,1.03%,91,46.91%,1,0.52%,6,3.09%,0,0.00%,1,0.52%,18,9.28%,0,0.00%,0,0.00%,2,1.03%,60,30.93%,0,0.00%,0,0.00%,194,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,56,"1,145",,2,3.64%,1,1.82%,2,3.64%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,32,58.18%,1,1.82%,1,1.82%,1,1.82%,0,0.00%,6,10.91%,0,0.00%,0,0.00%,0,0.00%,9,16.36%,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,193,"1,145",,0,0.00%,0,0.00%,10,5.29%,,0,0.00%,1,0.53%,,0,0.00%,0,0.00%,2,1.06%,107,56.61%,0,0.00%,4,2.12%,0,0.00%,0,0.00%,22,11.64%,0,0.00%,0,0.00%,1,0.53%,41,21.69%,1,0.53%,0,0.00%,189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,145",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,249,"1,145",,2,0.82%,1,0.41%,12,4.92%,,0,0.00%,1,0.41%,,0,0.00%,0,0.00%,2,0.82%,139,56.97%,1,0.41%,5,2.05%,1,0.41%,0,0.00%,28,11.48%,0,0.00%,0,0.00%,1,0.41%,50,20.49%,1,0.41%,0,0.00%,244,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,92,"1,458",,0,0.00%,0,0.00%,4,4.40%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,62,68.13%,1,1.10%,0,0.00%,0,0.00%,0,0.00%,11,12.09%,0,0.00%,0,0.00%,3,3.30%,10,10.99%,0,0.00%,0,0.00%,91,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,231,"1,458",,2,0.88%,0,0.00%,16,7.05%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,133,58.59%,1,0.44%,5,2.20%,1,0.44%,1,0.44%,21,9.25%,0,0.00%,0,0.00%,5,2.20%,42,18.50%,0,0.00%,0,0.00%,227,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,458",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,323,"1,458",,2,0.63%,0,0.00%,20,6.29%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,195,61.32%,2,0.63%,5,1.57%,1,0.31%,1,0.31%,32,10.06%,0,0.00%,0,0.00%,8,2.52%,52,16.35%,0,0.00%,0,0.00%,318,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,93,"1,476",,0,0.00%,0,0.00%,4,4.35%,,0,0.00%,1,1.09%,,0,0.00%,0,0.00%,0,0.00%,63,68.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,8.70%,0,0.00%,0,0.00%,0,0.00%,16,17.39%,0,0.00%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,287,"1,476",,5,1.77%,0,0.00%,13,4.61%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,171,60.64%,0,0.00%,4,1.42%,0,0.00%,0,0.00%,33,11.70%,0,0.00%,0,0.00%,7,2.48%,49,17.38%,0,0.00%,0,0.00%,282,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,476",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,380,"1,476",,5,1.34%,0,0.00%,17,4.55%,,0,0.00%,1,0.27%,,0,0.00%,0,0.00%,0,0.00%,234,62.57%,0,0.00%,4,1.07%,0,0.00%,0,0.00%,41,10.96%,0,0.00%,0,0.00%,7,1.87%,65,17.38%,0,0.00%,0,0.00%,374,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,97,"1,240",,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,2,2.11%,0,0.00%,0,0.00%,68,71.58%,1,1.05%,4,4.21%,0,0.00%,1,1.05%,4,4.21%,0,0.00%,0,0.00%,0,0.00%,15,15.79%,0,0.00%,0,0.00%,95,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,193,"1,240",,1,0.53%,0,0.00%,6,3.21%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,7,3.74%,113,60.43%,0,0.00%,6,3.21%,0,0.00%,1,0.53%,20,10.70%,0,0.00%,0,0.00%,3,1.60%,30,16.04%,0,0.00%,0,0.00%,187,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,240",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,290,"1,240",,1,0.35%,0,0.00%,6,2.13%,,0,0.00%,0,0.00%,,2,0.71%,0,0.00%,7,2.48%,181,64.18%,1,0.35%,10,3.55%,0,0.00%,2,0.71%,24,8.51%,0,0.00%,0,0.00%,3,1.06%,45,15.96%,0,0.00%,0,0.00%,282,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,127,"1,751",,0,0.00%,0,0.00%,3,2.40%,,1,0.80%,1,0.80%,,0,0.00%,0,0.00%,0,0.00%,68,54.40%,0,0.00%,2,1.60%,0,0.00%,1,0.80%,9,7.20%,0,0.00%,0,0.00%,0,0.00%,38,30.40%,2,1.60%,0,0.00%,125,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,318,"1,751",,1,0.32%,0,0.00%,12,3.83%,,0,0.00%,2,0.64%,,0,0.00%,0,0.00%,2,0.64%,166,53.04%,1,0.32%,10,3.19%,0,0.00%,0,0.00%,24,7.67%,0,0.00%,0,0.00%,9,2.88%,84,26.84%,2,0.64%,0,0.00%,313,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,751",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,445,"1,751",,1,0.23%,0,0.00%,15,3.42%,,1,0.23%,3,0.68%,,0,0.00%,0,0.00%,2,0.46%,234,53.42%,1,0.23%,12,2.74%,0,0.00%,1,0.23%,33,7.53%,0,0.00%,0,0.00%,9,2.05%,122,27.85%,4,0.91%,0,0.00%,438,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,106,"1,528",,0,0.00%,0,0.00%,4,3.92%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,3,2.94%,61,59.80%,0,0.00%,1,0.98%,0,0.00%,0,0.00%,3,2.94%,0,0.00%,0,0.00%,0,0.00%,28,27.45%,2,1.96%,0,0.00%,102,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,256,"1,528",,1,0.40%,0,0.00%,16,6.48%,,0,0.00%,1,0.40%,,0,0.00%,0,0.00%,1,0.40%,99,40.08%,1,0.40%,9,3.64%,0,0.00%,0,0.00%,36,14.57%,0,0.00%,0,0.00%,13,5.26%,70,28.34%,0,0.00%,0,0.00%,247,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,528",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,362,"1,528",,1,0.29%,0,0.00%,20,5.73%,,0,0.00%,1,0.29%,,0,0.00%,0,0.00%,4,1.15%,160,45.85%,1,0.29%,10,2.87%,0,0.00%,0,0.00%,39,11.17%,0,0.00%,0,0.00%,13,3.72%,98,28.08%,2,0.57%,0,0.00%,349,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,70,"1,372",,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,1,1.43%,0,0.00%,0,0.00%,42,60.00%,1,1.43%,1,1.43%,0,0.00%,0,0.00%,8,11.43%,0,0.00%,0,0.00%,0,0.00%,17,24.29%,0,0.00%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,189,"1,372",,8,4.28%,1,0.53%,10,5.35%,,0,0.00%,2,1.07%,,0,0.00%,0,0.00%,1,0.53%,91,48.66%,0,0.00%,11,5.88%,0,0.00%,0,0.00%,17,9.09%,0,0.00%,0,0.00%,1,0.53%,45,24.06%,0,0.00%,0,0.00%,187,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,372",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,259,"1,372",,8,3.11%,1,0.39%,10,3.89%,,0,0.00%,2,0.78%,,1,0.39%,0,0.00%,1,0.39%,133,51.75%,1,0.39%,12,4.67%,0,0.00%,0,0.00%,25,9.73%,0,0.00%,0,0.00%,1,0.39%,62,24.12%,0,0.00%,0,0.00%,257,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,148,"2,011",,3,2.10%,0,0.00%,7,4.90%,,0,0.00%,2,1.40%,,0,0.00%,0,0.00%,0,0.00%,95,66.43%,0,0.00%,3,2.10%,0,0.00%,3,2.10%,12,8.39%,0,0.00%,0,0.00%,1,0.70%,17,11.89%,0,0.00%,0,0.00%,143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,358,"2,011",,4,1.15%,0,0.00%,15,4.30%,,0,0.00%,1,0.29%,,0,0.00%,0,0.00%,3,0.86%,149,42.69%,0,0.00%,20,5.73%,0,0.00%,0,0.00%,45,12.89%,0,0.00%,0,0.00%,17,4.87%,94,26.93%,1,0.29%,0,0.00%,349,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"2,011",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,506,"2,011",,7,1.42%,0,0.00%,22,4.47%,,0,0.00%,3,0.61%,,0,0.00%,0,0.00%,3,0.61%,244,49.59%,0,0.00%,23,4.67%,0,0.00%,3,0.61%,57,11.59%,0,0.00%,0,0.00%,18,3.66%,111,22.56%,1,0.20%,0,0.00%,492,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,127,"1,849",,0,0.00%,1,0.85%,4,3.39%,,0,0.00%,1,0.85%,,0,0.00%,0,0.00%,0,0.00%,57,48.31%,0,0.00%,2,1.69%,0,0.00%,0,0.00%,7,5.93%,1,0.85%,0,0.00%,0,0.00%,44,37.29%,1,0.85%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,379,"1,849",,5,1.34%,1,0.27%,8,2.14%,,1,0.27%,4,1.07%,,0,0.00%,1,0.27%,0,0.00%,182,48.79%,0,0.00%,8,2.14%,1,0.27%,1,0.27%,40,10.72%,0,0.00%,1,0.27%,8,2.14%,109,29.22%,3,0.80%,0,0.00%,373,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,849",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,506,"1,849",,5,1.02%,2,0.41%,12,2.44%,,1,0.20%,5,1.02%,,0,0.00%,1,0.20%,0,0.00%,239,48.68%,0,0.00%,10,2.04%,1,0.20%,1,0.20%,47,9.57%,1,0.20%,1,0.20%,8,1.63%,153,31.16%,4,0.81%,0,0.00%,491,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,126,"1,861",,2,1.64%,0,0.00%,8,6.56%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,71,58.20%,0,0.00%,6,4.92%,0,0.00%,1,0.82%,13,10.66%,0,0.00%,0,0.00%,0,0.00%,21,17.21%,0,0.00%,0,0.00%,122,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,317,"1,861",,5,1.61%,0,0.00%,21,6.77%,,0,0.00%,2,0.65%,,0,0.00%,0,0.00%,2,0.65%,148,47.74%,0,0.00%,12,3.87%,0,0.00%,0,0.00%,24,7.74%,0,0.00%,1,0.32%,14,4.52%,81,26.13%,0,0.00%,0,0.00%,310,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,861",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,443,"1,861",,7,1.62%,0,0.00%,29,6.71%,,0,0.00%,2,0.46%,,0,0.00%,0,0.00%,2,0.46%,219,50.69%,0,0.00%,18,4.17%,0,0.00%,1,0.23%,37,8.56%,0,0.00%,1,0.23%,14,3.24%,102,23.61%,0,0.00%,0,0.00%,432,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,103,"1,414",,0,0.00%,0,0.00%,5,5.05%,,0,0.00%,0,0.00%,,1,1.01%,0,0.00%,0,0.00%,60,60.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,4.04%,1,1.01%,1,1.01%,0,0.00%,27,27.27%,0,0.00%,0,0.00%,99,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,216,"1,414",,3,1.41%,0,0.00%,7,3.29%,,0,0.00%,0,0.00%,,1,0.47%,0,0.00%,1,0.47%,117,54.93%,0,0.00%,6,2.82%,1,0.47%,1,0.47%,28,13.15%,0,0.00%,0,0.00%,5,2.35%,41,19.25%,2,0.94%,0,0.00%,213,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,414",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,319,"1,414",,3,0.96%,0,0.00%,12,3.85%,,0,0.00%,0,0.00%,,2,0.64%,0,0.00%,1,0.32%,177,56.73%,0,0.00%,6,1.92%,1,0.32%,1,0.32%,32,10.26%,1,0.32%,1,0.32%,5,1.60%,68,21.79%,2,0.64%,0,0.00%,312,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,149,"1,904",,2,1.36%,0,0.00%,6,4.08%,,0,0.00%,1,0.68%,,0,0.00%,0,0.00%,1,0.68%,91,61.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,9.52%,0,0.00%,0,0.00%,0,0.00%,32,21.77%,0,0.00%,0,0.00%,147,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,335,"1,904",,5,1.56%,0,0.00%,17,5.31%,,0,0.00%,2,0.63%,,0,0.00%,0,0.00%,1,0.31%,166,51.88%,0,0.00%,9,2.81%,0,0.00%,0,0.00%,44,13.75%,0,0.00%,0,0.00%,12,3.75%,62,19.38%,2,0.63%,0,0.00%,320,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,904",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,484,"1,904",,7,1.50%,0,0.00%,23,4.93%,,0,0.00%,3,0.64%,,0,0.00%,0,0.00%,2,0.43%,257,55.03%,0,0.00%,9,1.93%,0,0.00%,0,0.00%,58,12.42%,0,0.00%,0,0.00%,12,2.57%,94,20.13%,2,0.43%,0,0.00%,467,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,152,"1,819",,0,0.00%,0,0.00%,2,1.36%,,0,0.00%,3,2.04%,,0,0.00%,0,0.00%,0,0.00%,99,67.35%,2,1.36%,2,1.36%,0,0.00%,0,0.00%,13,8.84%,0,0.00%,0,0.00%,0,0.00%,24,16.33%,2,1.36%,0,0.00%,147,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,329,"1,819",,0,0.00%,1,0.31%,14,4.33%,,0,0.00%,1,0.31%,,0,0.00%,0,0.00%,1,0.31%,173,53.56%,1,0.31%,16,4.95%,0,0.00%,1,0.31%,32,9.91%,0,0.00%,0,0.00%,3,0.93%,78,24.15%,2,0.62%,0,0.00%,323,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,819",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,481,"1,819",,0,0.00%,1,0.21%,16,3.40%,,0,0.00%,4,0.85%,,0,0.00%,0,0.00%,1,0.21%,272,57.87%,3,0.64%,18,3.83%,0,0.00%,1,0.21%,45,9.57%,0,0.00%,0,0.00%,3,0.64%,102,21.70%,4,0.85%,0,0.00%,470,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,82,"1,291",,0,0.00%,0,0.00%,8,10.53%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,17,22.37%,1,1.32%,0,0.00%,0,0.00%,2,2.63%,7,9.21%,0,0.00%,0,0.00%,0,0.00%,41,53.95%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,170,"1,291",,1,0.60%,1,0.60%,15,8.98%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,8,4.79%,50,29.94%,1,0.60%,7,4.19%,0,0.00%,0,0.00%,17,10.18%,0,0.00%,0,0.00%,11,6.59%,52,31.14%,3,1.80%,1,0.60%,167,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,291",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,252,"1,291",,1,0.41%,1,0.41%,23,9.47%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,8,3.29%,67,27.57%,2,0.82%,7,2.88%,0,0.00%,2,0.82%,24,9.88%,0,0.00%,0,0.00%,11,4.53%,93,38.27%,3,1.23%,1,0.41%,243,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,16,646,,0,0.00%,0,0.00%,2,13.33%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,7,46.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,13.33%,0,0.00%,1,6.67%,0,0.00%,3,20.00%,0,0.00%,0,0.00%,15,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,56,646,,0,0.00%,0,0.00%,8,14.81%,,0,0.00%,1,1.85%,,0,0.00%,0,0.00%,5,9.26%,9,16.67%,0,0.00%,6,11.11%,0,0.00%,0,0.00%,7,12.96%,0,0.00%,0,0.00%,3,5.56%,13,24.07%,2,3.70%,0,0.00%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,646,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
