Page: 2 of 35,,,,,,,,,,,3/27/2020 3:38:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEMOCRATIC PARTY PRESIDENTIAL PREFERENCE (Vote for  1) 
DEM  **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMO104 0,,,,ALMO104 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,251,388,,Vote By Mail,0,0.00%,0,0.00%,22,8.98%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,19,7.76%,35,14.29%,0,0.00%,1,0.41%,0,0.00%,0,0.00%,77,31.43%,0,0.00%,0,0.00%,12,4.90%,79,32.24%,0,0.00%,0,0.00%,245,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,57,388,,Election Day,0,0.00%,0,0.00%,2,3.51%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,8,14.04%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,26.32%,0,0.00%,0,0.00%,0,0.00%,32,56.14%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,308,388,,Total,0,0.00%,0,0.00%,24,7.95%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,19,6.29%,43,14.24%,0,0.00%,1,0.33%,0,0.00%,0,0.00%,92,30.46%,0,0.00%,0,0.00%,12,3.97%,111,36.75%,0,0.00%,0,0.00%,302,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALMO105 0,,,,ALMO105 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,146,203,,Vote By Mail,0,0.00%,0,0.00%,11,7.53%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,7.53%,14,9.59%,0,0.00%,4,2.74%,0,0.00%,1,0.68%,56,38.36%,0,0.00%,0,0.00%,13,8.90%,34,23.29%,2,1.37%,0,0.00%,146,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,46,203,,Election Day,0,0.00%,0,0.00%,2,4.44%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,3,6.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,26.67%,0,0.00%,0,0.00%,0,0.00%,27,60.00%,1,2.22%,0,0.00%,45,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,192,203,,Total,0,0.00%,0,0.00%,13,6.81%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,5.76%,17,8.90%,0,0.00%,4,2.09%,0,0.00%,1,0.52%,68,35.60%,0,0.00%,0,0.00%,13,6.81%,61,31.94%,3,1.57%,0,0.00%,191,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALMO106 0,,,,ALMO106 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,223,310,,Vote By Mail,0,0.00%,0,0.00%,27,12.22%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,17,7.69%,26,11.76%,0,0.00%,6,2.71%,0,0.00%,2,0.90%,44,19.91%,0,0.00%,0,0.00%,16,7.24%,82,37.10%,1,0.45%,0,0.00%,221,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
