Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
Vote by Mail,"1,730",Vote by Mail,,2,0.86%,0,0.00%,14,6.03%,0,,0.00%,3,1.29%,1,,0.43%,0,0.00%,0,0.00%,90,38.79%,0,0.00%,6,2.59%,5,2.16%,3,1.29%,42,18.10%,0,0.00%,0,0.00%,11,4.74%,53,22.84%,2,0.86%,0,0.00%,232,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,730",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,730",Total,,3,0.91%,0,0.00%,19,5.79%,0,,0.00%,5,1.52%,1,,0.30%,0,0.00%,0,0.00%,130,39.63%,0,0.00%,9,2.74%,5,1.52%,4,1.22%,58,17.68%,0,0.00%,0,0.00%,11,3.35%,81,24.70%,2,0.61%,0,0.00%,328,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011725,,0011725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,157",Poll Place,,0,0.00%,0,0.00%,7,10.14%,0,,0.00%,1,1.45%,0,,0.00%,0,0.00%,0,0.00%,18,26.09%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,7.25%,0,0.00%,0,0.00%,1,1.45%,37,53.62%,0,0.00%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,157",Vote by Mail,,0,0.00%,0,0.00%,16,9.70%,3,,1.82%,1,0.61%,0,,0.00%,0,0.00%,11,6.67%,32,19.39%,1,0.61%,13,7.88%,0,0.00%,0,0.00%,31,18.79%,0,0.00%,0,0.00%,12,7.27%,44,26.67%,1,0.61%,0,0.00%,165,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,157",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,157",Total,,0,0.00%,0,0.00%,23,9.83%,3,,1.28%,2,0.85%,0,,0.00%,0,0.00%,11,4.70%,50,21.37%,1,0.43%,13,5.56%,0,0.00%,0,0.00%,36,15.38%,0,0.00%,0,0.00%,13,5.56%,81,34.62%,1,0.43%,0,0.00%,234,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011990,,0011990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,801,Poll Place,,0,0.00%,0,0.00%,7,16.67%,1,,2.38%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,15,35.71%,0,0.00%,1,2.38%,0,0.00%,0,0.00%,6,14.29%,0,0.00%,0,0.00%,0,0.00%,12,28.57%,0,0.00%,0,0.00%,42,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,801,Vote by Mail,,0,0.00%,0,0.00%,9,12.33%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,5,6.85%,20,27.40%,0,0.00%,5,6.85%,0,0.00%,0,0.00%,8,10.96%,0,0.00%,0,0.00%,6,8.22%,19,26.03%,1,1.37%,0,0.00%,73,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,801,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,801,Total,,0,0.00%,0,0.00%,16,13.91%,1,,0.87%,0,0.00%,0,,0.00%,0,0.00%,5,4.35%,35,30.43%,0,0.00%,6,5.22%,0,0.00%,0,0.00%,14,12.17%,0,0.00%,0,0.00%,6,5.22%,31,26.96%,1,0.87%,0,0.00%,115,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011991,,0011991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,825,Poll Place,,0,0.00%,0,0.00%,1,2.17%,0,,0.00%,1,2.17%,0,,0.00%,0,0.00%,0,0.00%,12,26.09%,0,0.00%,0,0.00%,0,0.00%,1,2.17%,11,23.91%,0,0.00%,0,0.00%,0,0.00%,20,43.48%,0,0.00%,0,0.00%,46,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,825,Vote by Mail,,0,0.00%,1,1.69%,12,20.34%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,5.08%,13,22.03%,1,1.69%,5,8.47%,0,0.00%,2,3.39%,3,5.08%,0,0.00%,0,0.00%,7,11.86%,11,18.64%,1,1.69%,0,0.00%,59,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,825,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,825,Total,,0,0.00%,1,0.95%,13,12.38%,0,,0.00%,1,0.95%,0,,0.00%,0,0.00%,3,2.86%,25,23.81%,1,0.95%,5,4.76%,0,0.00%,3,2.86%,14,13.33%,0,0.00%,0,0.00%,7,6.67%,31,29.52%,1,0.95%,0,0.00%,105,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012171,,0012171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,891,Poll Place,,0,0.00%,0,0.00%,4,11.43%,0,,0.00%,0,0.00%,1,,2.86%,1,2.86%,0,0.00%,17,48.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,11.43%,0,0.00%,0,0.00%,0,0.00%,8,22.86%,0,0.00%,0,0.00%,35,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,891,Vote by Mail,,0,0.00%,1,1.35%,6,8.11%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,4,5.41%,21,28.38%,1,1.35%,5,6.76%,0,0.00%,2,2.70%,11,14.86%,0,0.00%,0,0.00%,4,5.41%,19,25.68%,0,0.00%,0,0.00%,74,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,891,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,891,Total,,0,0.00%,1,0.92%,10,9.17%,0,,0.00%,0,0.00%,1,,0.92%,1,0.92%,4,3.67%,38,34.86%,1,0.92%,5,4.59%,0,0.00%,2,1.83%,15,13.76%,0,0.00%,0,0.00%,4,3.67%,27,24.77%,0,0.00%,0,0.00%,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012173,,0012173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,605,Poll Place,,0,0.00%,0,0.00%,3,9.09%,0,,0.00%,0,0.00%,0,,0.00%,1,3.03%,0,0.00%,15,45.45%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,12.12%,0,0.00%,0,0.00%,0,0.00%,10,30.30%,0,0.00%,0,0.00%,33,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,605,Vote by Mail,,0,0.00%,0,0.00%,7,12.28%,0,,0.00%,1,1.75%,0,,0.00%,2,3.51%,0,0.00%,18,31.58%,0,0.00%,8,14.04%,0,0.00%,0,0.00%,8,14.04%,0,0.00%,1,1.75%,2,3.51%,10,17.54%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,605,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,605,Total,,0,0.00%,0,0.00%,10,11.11%,0,,0.00%,1,1.11%,0,,0.00%,3,3.33%,0,0.00%,33,36.67%,0,0.00%,8,8.89%,0,0.00%,0,0.00%,12,13.33%,0,0.00%,1,1.11%,2,2.22%,20,22.22%,0,0.00%,0,0.00%,90,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012505,,0012505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,028",Poll Place,,0,0.00%,0,0.00%,3,7.14%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,16,38.10%,0,0.00%,1,2.38%,0,0.00%,0,0.00%,3,7.14%,0,0.00%,0,0.00%,1,2.38%,18,42.86%,0,0.00%,0,0.00%,42,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,028",Vote by Mail,,1,1.30%,0,0.00%,6,7.79%,0,,0.00%,1,1.30%,0,,0.00%,0,0.00%,8,10.39%,9,11.69%,3,3.90%,7,9.09%,0,0.00%,0,0.00%,8,10.39%,0,0.00%,0,0.00%,4,5.19%,29,37.66%,1,1.30%,0,0.00%,77,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,028",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,028",Total,,1,0.84%,0,0.00%,9,7.56%,0,,0.00%,1,0.84%,0,,0.00%,0,0.00%,8,6.72%,25,21.01%,3,2.52%,8,6.72%,0,0.00%,0,0.00%,11,9.24%,0,0.00%,0,0.00%,5,4.20%,47,39.50%,1,0.84%,0,0.00%,119,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012591,,0012591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,200",Poll Place,,7,5.15%,0,0.00%,3,2.21%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.74%,73,53.68%,1,0.74%,4,2.94%,0,0.00%,3,2.21%,13,9.56%,1,0.74%,0,0.00%,0,0.00%,30,22.06%,0,0.00%,0,0.00%,136,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,200",Vote by Mail,,4,2.88%,0,0.00%,4,2.88%,0,,0.00%,0,0.00%,1,,0.72%,1,0.72%,0,0.00%,68,48.92%,0,0.00%,6,4.32%,0,0.00%,2,1.44%,21,15.11%,0,0.00%,0,0.00%,2,1.44%,29,20.86%,1,0.72%,0,0.00%,139,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,200",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,200",Total,,11,4.00%,0,0.00%,7,2.55%,0,,0.00%,0,0.00%,1,,0.36%,1,0.36%,1,0.36%,141,51.27%,1,0.36%,10,3.64%,0,0.00%,5,1.82%,34,12.36%,1,0.36%,0,0.00%,2,0.73%,59,21.45%,1,0.36%,0,0.00%,275,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012592,,0012592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,094",Poll Place,,0,0.00%,0,0.00%,3,3.53%,0,,0.00%,1,1.18%,0,,0.00%,0,0.00%,0,0.00%,54,63.53%,0,0.00%,1,1.18%,0,0.00%,1,1.18%,11,12.94%,0,0.00%,0,0.00%,0,0.00%,14,16.47%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,094",Vote by Mail,,4,3.03%,0,0.00%,5,3.79%,1,,0.76%,0,0.00%,0,,0.00%,0,0.00%,1,0.76%,68,51.52%,0,0.00%,7,5.30%,0,0.00%,0,0.00%,15,11.36%,0,0.00%,0,0.00%,1,0.76%,27,20.45%,3,2.27%,0,0.00%,132,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,094",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,094",Total,,4,1.84%,0,0.00%,8,3.69%,1,,0.46%,1,0.46%,0,,0.00%,0,0.00%,1,0.46%,122,56.22%,0,0.00%,8,3.69%,0,0.00%,1,0.46%,26,11.98%,0,0.00%,0,0.00%,1,0.46%,41,18.89%,3,1.38%,0,0.00%,217,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012593,,0012593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,656",Poll Place,,1,0.68%,0,0.00%,6,4.11%,0,,0.00%,0,0.00%,1,,0.68%,2,1.37%,0,0.00%,82,56.16%,1,0.68%,1,0.68%,1,0.68%,0,0.00%,11,7.53%,0,0.00%,2,1.37%,2,1.37%,36,24.66%,0,0.00%,0,0.00%,146,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,656",Vote by Mail,,4,1.97%,0,0.00%,7,3.45%,0,,0.00%,1,0.49%,4,,1.97%,0,0.00%,4,1.97%,101,49.75%,0,0.00%,6,2.96%,0,0.00%,0,0.00%,23,11.33%,0,0.00%,1,0.49%,7,3.45%,42,20.69%,2,0.99%,1,0.49%,203,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,656",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,656",Total,,5,1.43%,0,0.00%,13,3.72%,0,,0.00%,1,0.29%,5,,1.43%,2,0.57%,4,1.15%,183,52.44%,1,0.29%,7,2.01%,1,0.29%,0,0.00%,34,9.74%,0,0.00%,3,0.86%,9,2.58%,78,22.35%,2,0.57%,1,0.29%,349,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012620,,0012620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,345",Poll Place,,0,0.00%,0,0.00%,6,16.22%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,18,48.65%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,5.41%,0,0.00%,0,0.00%,0,0.00%,11,29.73%,0,0.00%,0,0.00%,37,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,345",Vote by Mail,,1,0.97%,0,0.00%,6,5.83%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,2.91%,47,45.63%,0,0.00%,1,0.97%,0,0.00%,0,0.00%,8,7.77%,1,0.97%,1,0.97%,11,10.68%,24,23.30%,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,345",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,345",Total,,1,0.71%,0,0.00%,12,8.57%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,2.14%,65,46.43%,0,0.00%,1,0.71%,0,0.00%,0,0.00%,10,7.14%,1,0.71%,1,0.71%,11,7.86%,35,25.00%,0,0.00%,0,0.00%,140,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012622,,0012622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,267",Poll Place,,0,0.00%,0,0.00%,2,6.25%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,13,40.63%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,9.38%,0,0.00%,0,0.00%,0,0.00%,13,40.63%,1,3.13%,0,0.00%,32,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,267",Vote by Mail,,0,0.00%,1,1.22%,6,7.32%,0,,0.00%,1,1.22%,0,,0.00%,0,0.00%,7,8.54%,19,23.17%,0,0.00%,4,4.88%,0,0.00%,0,0.00%,19,23.17%,0,0.00%,0,0.00%,11,13.41%,14,17.07%,0,0.00%,0,0.00%,82,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,267",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,267",Total,,0,0.00%,1,0.88%,8,7.02%,0,,0.00%,1,0.88%,0,,0.00%,0,0.00%,7,6.14%,32,28.07%,0,0.00%,4,3.51%,0,0.00%,0,0.00%,22,19.30%,0,0.00%,0,0.00%,11,9.65%,27,23.68%,1,0.88%,0,0.00%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012623,,0012623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,705",Poll Place,,0,0.00%,0,0.00%,5,14.71%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,11,32.35%,0,0.00%,2,5.88%,0,0.00%,0,0.00%,9,26.47%,0,0.00%,0,0.00%,0,0.00%,6,17.65%,1,2.94%,0,0.00%,34,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,705",Vote by Mail,,2,1.85%,0,0.00%,12,11.11%,0,,0.00%,2,1.85%,0,,0.00%,0,0.00%,3,2.78%,28,25.93%,0,0.00%,5,4.63%,0,0.00%,0,0.00%,22,20.37%,0,0.00%,0,0.00%,7,6.48%,25,23.15%,2,1.85%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,705",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,705",Total,,2,1.41%,0,0.00%,17,11.97%,0,,0.00%,2,1.41%,0,,0.00%,0,0.00%,3,2.11%,39,27.46%,0,0.00%,7,4.93%,0,0.00%,0,0.00%,31,21.83%,0,0.00%,0,0.00%,7,4.93%,31,21.83%,3,2.11%,0,0.00%,142,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012650,,0012650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,328",Poll Place,,0,0.00%,0,0.00%,4,13.79%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,15,51.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,3.45%,0,0.00%,0,0.00%,0,0.00%,9,31.03%,0,0.00%,0,0.00%,29,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,328",Vote by Mail,,0,0.00%,1,1.12%,6,6.74%,0,,0.00%,1,1.12%,0,,0.00%,0,0.00%,4,4.49%,21,23.60%,0,0.00%,6,6.74%,0,0.00%,3,3.37%,10,11.24%,0,0.00%,0,0.00%,6,6.74%,27,30.34%,4,4.49%,0,0.00%,89,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,328",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,328",Total,,0,0.00%,1,0.85%,10,8.47%,0,,0.00%,1,0.85%,0,,0.00%,0,0.00%,4,3.39%,36,30.51%,0,0.00%,6,5.08%,0,0.00%,3,2.54%,11,9.32%,0,0.00%,0,0.00%,6,5.08%,36,30.51%,4,3.39%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012670,,0012670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,461",Poll Place,,0,0.00%,0,0.00%,4,8.89%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,19,42.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,6.67%,0,0.00%,0,0.00%,2,4.44%,17,37.78%,0,0.00%,0,0.00%,45,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,461",Vote by Mail,,0,0.00%,0,0.00%,7,8.54%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,2,2.44%,28,34.15%,1,1.22%,7,8.54%,0,0.00%,0,0.00%,15,18.29%,0,0.00%,0,0.00%,1,1.22%,21,25.61%,0,0.00%,0,0.00%,82,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,461",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,461",Total,,0,0.00%,0,0.00%,11,8.66%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,2,1.57%,47,37.01%,1,0.79%,7,5.51%,0,0.00%,0,0.00%,18,14.17%,0,0.00%,0,0.00%,3,2.36%,38,29.92%,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012709,,0012709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,010",Poll Place,,0,0.00%,0,0.00%,3,8.57%,0,,0.00%,1,2.86%,0,,0.00%,0,0.00%,0,0.00%,14,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,11.43%,0,0.00%,0,0.00%,2,5.71%,11,31.43%,0,0.00%,0,0.00%,35,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,010",Vote by Mail,,1,1.23%,0,0.00%,6,7.41%,1,,1.23%,1,1.23%,0,,0.00%,0,0.00%,2,2.47%,26,32.10%,0,0.00%,3,3.70%,0,0.00%,0,0.00%,16,19.75%,0,0.00%,1,1.23%,7,8.64%,16,19.75%,1,1.23%,0,0.00%,81,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,010",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,010",Total,,1,0.86%,0,0.00%,9,7.76%,1,,0.86%,2,1.72%,0,,0.00%,0,0.00%,2,1.72%,40,34.48%,0,0.00%,3,2.59%,0,0.00%,0,0.00%,20,17.24%,0,0.00%,1,0.86%,9,7.76%,27,23.28%,1,0.86%,0,0.00%,116,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0012921,,0012921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,690",Poll Place,,1,1.20%,0,0.00%,2,2.41%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,29,34.94%,0,0.00%,1,1.20%,0,0.00%,0,0.00%,10,12.05%,0,0.00%,0,0.00%,0,0.00%,39,46.99%,1,1.20%,0,0.00%,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,690",Vote by Mail,,0,0.00%,0,0.00%,21,12.43%,1,,0.59%,0,0.00%,0,,0.00%,0,0.00%,8,4.73%,48,28.40%,1,0.59%,6,3.55%,0,0.00%,0,0.00%,27,15.98%,0,0.00%,0,0.00%,7,4.14%,47,27.81%,3,1.78%,0,0.00%,169,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,690",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
