COUNTY OF LOS ANGELES,GENERAL ELECTION,11/05/2024,,,,,,,,
L A UNIFIED SCH-BOE 5,Non Partisan,N,cc9499,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KARLA GRIEGO,GRACIELA ORTIZ,
LOS ANGELES,9001937A,1204,637,N, ,POLLING PLACE,446,225,162, 
LOS ANGELES,9001937A,1204,637,N, ,VBM PORTION,608,280,250, 
LOS ANGELES,9001937A,1204,637,N,2690,TOTAL,1054,505,412, 
LOS ANGELES,9001940A,1205,637,N, ,POLLING PLACE,511,240,219, 
LOS ANGELES,9001940A,1205,637,N, ,VBM PORTION,890,411,377, 
LOS ANGELES,9001940A,1205,637,N,3358,TOTAL,1401,651,596, 
LOS ANGELES,9001943A,1206,637,N, ,POLLING PLACE,428,197,142, 
LOS ANGELES,9001943A,1206,637,N, ,VBM PORTION,733,402,257, 
LOS ANGELES,9001943A,1206,637,N,2608,TOTAL,1161,599,399, 
LOS ANGELES,9002044A,1223,513,N, ,POLLING PLACE,888,400,306, 
LOS ANGELES,9002044A,1223,513,N, ,VBM PORTION,1755,896,519, 
LOS ANGELES,9002044A,1223,513,N,4387,TOTAL,2643,1296,825, 
LOS ANGELES,9002053A,1225,480,N, ,POLLING PLACE,493,225,152, 
LOS ANGELES,9002053A,1225,480,N, ,VBM PORTION,1158,676,307, 
LOS ANGELES,9002053A,1225,480,N,2414,TOTAL,1651,901,459, 
LOS ANGELES,9002065A,1228,513,N, ,POLLING PLACE,501,235,156, 
LOS ANGELES,9002065A,1228,513,N, ,VBM PORTION,1160,605,349, 
LOS ANGELES,9002065A,1228,513,N,2684,TOTAL,1661,840,505, 
LOS ANGELES,9002088A,7513,480,N, ,POLLING PLACE,215,120,55, 
LOS ANGELES,9002088A,7513,480,N, ,VBM PORTION,983,620,196, 
LOS ANGELES,9002088A,7513,480,N,1537,TOTAL,1198,740,251, 
LOS ANGELES,9002169A,1252,480,N, ,POLLING PLACE,420,241,119, 
LOS ANGELES,9002169A,1252,480,N, ,VBM PORTION,1185,691,328, 
LOS ANGELES,9002169A,1252,480,N,2542,TOTAL,1605,932,447, 
LOS ANGELES,9002533A,7537,453,N, ,POLLING PLACE,65,34,14, 
LOS ANGELES,9002533A,7537,453,N, ,VBM PORTION,284,147,77, 
LOS ANGELES,9002533A,7537,453,N,412,TOTAL,349,181,91, 
LOS ANGELES,9002607A,7538,454,N, ,POLLING PLACE,346,159,86, 
LOS ANGELES,9002607A,7538,454,N, ,VBM PORTION,1092,577,234, 
LOS ANGELES,9002607A,7538,454,N,1906,TOTAL,1438,736,320, 
LOS ANGELES,9002696A,7539,476,N, ,POLLING PLACE,2,2,0, 
