COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
L A UNIFIED SCH-BOE 2, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIA BRENES,ROCIO RIVAS,
LOS ANGELES,9000874A,1302,280,N, ,POLLING PLACE,382,152,154, 
LOS ANGELES,9000874A,1302,280,N, ,VBM PORTION,1923,685,961, 
LOS ANGELES,9000874A,1302,280,N,3564,TOTAL,2305,837,1115, 
LOS ANGELES,9000876A,1303,291,N, ,POLLING PLACE,228,86,117, 
LOS ANGELES,9000876A,1303,291,N, ,VBM PORTION,782,291,396, 
LOS ANGELES,9000876A,1303,291,N,2531,TOTAL,1010,377,513, 
LOS ANGELES,9000878D,7611,291,N, ,POLLING PLACE,40,13,20, 
LOS ANGELES,9000878D,7611,291,N, ,VBM PORTION,209,81,114, 
LOS ANGELES,9000878D,7611,291,N,470,TOTAL,249,94,134, 
LOS ANGELES,9000885C,1304,291,N, ,POLLING PLACE,226,90,107, 
LOS ANGELES,9000885C,1304,291,N, ,VBM PORTION,863,327,431, 
LOS ANGELES,9000885C,1304,291,N,2034,TOTAL,1089,417,538, 
LOS ANGELES,9000892A,1305,291,N, ,POLLING PLACE,224,88,105, 
LOS ANGELES,9000892A,1305,291,N, ,VBM PORTION,778,328,345, 
LOS ANGELES,9000892A,1305,291,N,2470,TOTAL,1002,416,450, 
LOS ANGELES,9000896A,1306,291,N, ,POLLING PLACE,250,107,92, 
LOS ANGELES,9000896A,1306,291,N, ,VBM PORTION,881,386,378, 
LOS ANGELES,9000896A,1306,291,N,2840,TOTAL,1131,493,470, 
LOS ANGELES,9000902B,1307,291,N, ,POLLING PLACE,247,110,101, 
LOS ANGELES,9000902B,1307,291,N, ,VBM PORTION,581,242,280, 
LOS ANGELES,9000902B,1307,291,N,2461,TOTAL,828,352,381, 
LOS ANGELES,9000905A,1308,291,N, ,POLLING PLACE,262,131,96, 
LOS ANGELES,9000905A,1308,291,N, ,VBM PORTION,826,379,344, 
LOS ANGELES,9000905A,1308,291,N,2548,TOTAL,1088,510,440, 
LOS ANGELES,9000916A,1309,291,N, ,POLLING PLACE,259,128,94, 
LOS ANGELES,9000916A,1309,291,N, ,VBM PORTION,821,356,390, 
LOS ANGELES,9000916A,1309,291,N,2487,TOTAL,1080,484,484, 
LOS ANGELES,9000922D,1311,291,N, ,POLLING PLACE,253,106,120, 
LOS ANGELES,9000922D,1311,291,N, ,VBM PORTION,855,338,426, 
