COUNTY OF LOS ANGELES,GENERAL ELECTION,11/3/20,,,,,,,,,,,,
PRES AND VICE PRES, , , , ,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSEPH R BIDEN,DONALD J TRUMP,GLORIA LA RIVA,ROQUE D GUERRA,HOWIE HAWKINS,JO JORGENSEN,
ANTELOPE,0300006B,6036,13,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ANTELOPE,0300006B,6036,13,Y,1,TOTAL,2,1,1,0,0,0,0, 
ANTELOPE,0300007A,6037,49,Y, ,POLLING PLACE,25,0,25,0,0,0,0, 
ANTELOPE,0300007A,6037,49,Y, ,VBM PORTION,58,25,33,0,0,0,0, 
ANTELOPE,0300007A,6037,49,Y,106,TOTAL,83,25,58,0,0,0,0, 
ANTELOPE,0300013A,6038,44,Y, ,POLLING PLACE,93,24,67,0,0,0,2, 
ANTELOPE,0300013A,6038,44,Y, ,VBM PORTION,232,82,142,1,1,0,3, 
ANTELOPE,0300013A,6038,44,Y,479,TOTAL,325,106,209,1,1,0,5, 
ANTELOPE,0300013B,6039,66,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ANTELOPE,0300013B,6039,66,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ANTELOPE,0300013B,6039,66,Y,0,TOTAL,0,0,0,0,0,0,0, 
ARCADIA,0350005A,48,405,N, ,POLLING PLACE,380,122,252,2,1,1,0, 
ARCADIA,0350005A,48,405,N, ,VBM PORTION,2075,1243,732,4,10,6,18, 
ARCADIA,0350005A,48,405,N,2951,TOTAL,2455,1365,984,6,11,7,18, 
ARCADIA,0350006D,6040,398,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ARCADIA,0350006D,6040,398,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ARCADIA,0350006D,6040,398,Y,0,TOTAL,0,0,0,0,0,0,0, 
ARCADIA,0350008A,49,405,N, ,POLLING PLACE,320,95,216,0,0,1,4, 
ARCADIA,0350008A,49,405,N, ,VBM PORTION,2002,1243,673,2,5,8,17, 
ARCADIA,0350008A,49,405,N,2680,TOTAL,2322,1338,889,2,5,9,21, 
ARCADIA,0350010C,6041,415,Y, ,POLLING PLACE,1,0,1,0,0,0,0, 
ARCADIA,0350010C,6041,415,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ARCADIA,0350010C,6041,415,Y,1,TOTAL,1,0,1,0,0,0,0, 
ARCADIA,0350012A,50,405,N, ,POLLING PLACE,479,162,299,0,2,1,3, 
ARCADIA,0350012A,50,405,N, ,VBM PORTION,2147,1297,744,4,9,8,26, 
ARCADIA,0350012A,50,405,N,3072,TOTAL,2626,1459,1043,4,11,9,29, 
ARCADIA,0350022C,6042,418,Y, ,POLLING PLACE,6,1,5,0,0,0,0, 
ARCADIA,0350022C,6042,418,Y, ,VBM PORTION,25,17,6,0,0,0,0, 
ARCADIA,0350022C,6042,418,Y,36,TOTAL,31,18,11,0,0,0,0, 
ARCADIA,0350023A,51,405,N, ,POLLING PLACE,427,192,225,1,2,2,0, 
ARCADIA,0350023A,51,405,N, ,VBM PORTION,1894,1270,532,2,8,8,19, 
ARCADIA,0350023A,51,405,N,2902,TOTAL,2321,1462,757,3,10,10,19, 
ARCADIA,0350027A,52,405,N, ,POLLING PLACE,437,153,269,0,2,3,5, 
ARCADIA,0350027A,52,405,N, ,VBM PORTION,1814,1213,521,9,3,11,12, 
ARCADIA,0350027A,52,405,N,2798,TOTAL,2251,1366,790,9,5,14,17, 
ARCADIA,0350030A,53,405,N, ,POLLING PLACE,297,106,180,0,2,1,3, 
ARCADIA,0350030A,53,405,N, ,VBM PORTION,1795,1057,648,5,10,2,7, 
ARCADIA,0350030A,53,405,N,2668,TOTAL,2092,1163,828,5,12,3,10, 
